Statistic,Estimate,P
Predictor_vs_PRE_Pearson,-0.599679072910866,0.00195312478395725
Predictor_vs_PRE_Spearman,-0.645625278550374,0.000656083632816118
Predictor_vs_TEST_Pearson,0.566552861179686,0.00389679654364624
Predictor_vs_TEST_Spearman,0.60078414322287,0.00190618650806656
Predictor_vs_Delta_Pearson,0.694566902939193,0.000165983400355369
Predictor_vs_Delta_Spearman,0.748803424886476,2.56142270654013e-05
PRE_vs_TEST_PairedTTest,-0.803977555605279,0.429641751372507
PRE_vs_TEST_Permutation,NaN,1
