AnimalID,AnimalNumber,FractionLosses,BOLD_Pre,BOLD_Test,BOLD_TestMinusPre
0007CA3BEA,11,0.075,0.0382470643419462,0.103688156468173,0.0654410921262267
0007CB2246,12,0.1375,-0.605464119343863,0.133871666751802,0.739335786095665
0007CB2584,13,0.0125,0.366311616087332,-0.303995981595168,-0.670307597682501
0007CB2275,14,0.05,0.377434424714496,-0.158744779878762,-0.536179204593257
0007CB39B0,17,0.125,-0.350691680333888,-0.166931663583964,0.183760016749923
0007CA3D87,18,0.025,0.14393576397871,-0.281218568142504,-0.425154332121213
0007CB3395,19,0.075,-0.00177360063030695,-0.0733040885301307,-0.0715304878998237
0007CB6A8C,22,0.075,-0.514027049212406,-0.063502293836015,0.450524755376391
0007CB6B2C,23,0.0125,0.0718875313612322,-0.125205207563704,-0.197092738924936
0007CB24AD,24,0.0625,-0.297754090824164,0.00493538503767922,0.302689475861844
0007CB24DA,25,0.1625,-0.475361527167261,0.0555311175463915,0.530892644713652
0007CA38FF,26,0.0652173913043478,0.59656138251846,-0.107612428236753,-0.704173810755213
0007CB357C,27,0.0652173913043478,-0.119133908133954,-0.411802650913596,-0.292668742779642
0007CB239E,30,0.100917431192661,0.122860897571469,0.054039696866724,-0.0688212007047453
0007CB4123,31,0.055045871559633,-0.00595465762540698,-0.173716456862167,-0.16776179923676
0007CB42F2,32,0.128440366972477,0.14912257745862,0.275313597727412,0.126191020268792
0007CB08A5,33,0.16304347826087,-0.633128972848256,0.169148102498148,0.802277075346404
0007CB6EA3,34,0.0869565217391304,-0.260389884973411,-0.0618967648256027,0.198493120147808
0007CB0ABC,35,0.0543478260869565,-0.164226079750806,0.0201242911057003,0.184350370856506
0007CB1EC1,36,0.130434782608696,-0.233149313362471,0.0254019913434361,0.258551304705907
0007CA3A35,37,0,0.0357988984882832,0.0566246418723313,0.0208257433840481
0007CB330D,38,0.073394495412844,-0.195997136705555,-0.127061521511253,0.0689356151943017
0007CB2144,39,0.1875,-0.300642372258008,0.0054662777374809,0.306108649995488
0007CB0D91,40,0.220183486238532,-0.354213132838098,0.135664921392454,0.489878054230552
