SparsityPercent,PermutationP_Conditioning_PRE_vs_TEST,PermutationP_Delta_Conditioning_vs_Control,PearsonR_DeltaConditioning_vs_Rank,PearsonP_DeltaConditioning_vs_Rank
10,0.8901,0.9277,-0.393209132984126,0.0573187191559032
11,0.8755,0.8663,-0.393330718848351,0.0572348873377373
12,0.4303,0.9409,-0.437804701803717,0.03238362356171
13,0.082,0.5481,-0.401254387346895,0.0519729304395129
14,0.0022,0.1431,-0.307364006611439,0.144008180447534
15,0.0004,0.0678,-0.352179700413411,0.0914526485289328
16,0,0.1035,-0.353673080864387,0.0899915873757823
17,0.0005,0.1033,-0.363478185271249,0.0808287704168557
18,0.001,0.1512,-0.364149992733023,0.0802277969741784
19,0.0001,0.0654,-0.390416163387822,0.0592706899812051
20,0,0.0774,-0.393101880378048,0.0573927471378656
21,0.0001,0.0612,-0.362550590986942,0.0816641372871326
22,0,0.0663,-0.38183549430275,0.0655893748625835
23,0.0001,0.0491,-0.410822790496859,0.046128887551895
24,0,0.0146,-0.404312486636113,0.0500458302736662
25,0.0001,0.0162,-0.417834215037234,0.0421831639220501
26,0.0001,0.0305,-0.427529072377984,0.037170010241193
27,0,0.0245,-0.379510594673612,0.067387148955452
28,0,0.0175,-0.367527084154605,0.0772577636269451
29,0,0.0147,-0.360556139233947,0.0834823177855537
30,0,0.0203,-0.399619960330574,0.0530262728144648
31,0,0.0221,-0.413707655650335,0.0444718599769771
32,0,0.0195,-0.42352341133898,0.0391808032812358
33,0,0.012,-0.429772804901974,0.0360798952329508
34,0,0.0135,-0.464604930504827,0.0221761126141073
35,0,0.0159,-0.499176365421988,0.0130179848091951
36,0,0.0121,-0.505454372056186,0.0117494864771255
37,0,0.018,-0.532544531937886,0.00738327101749691
38,0,0.0199,-0.53806931826071,0.00668464628219671
39,0,0.015,-0.539928029576707,0.00646239447280109
40,0,0.013,-0.522404658030976,0.00882388668277966
41,0,0.0132,-0.537760314780245,0.0067222062191681
42,0,0.0143,-0.524124468820502,0.00856432841255843
43,0,0.0135,-0.511268404607184,0.0106673145306763
44,0,0.0154,-0.509077688375684,0.0110649732602829
45,0,0.0122,-0.482285008785562,0.0169989603952011
46,0,0.0139,-0.495652730142157,0.0137778872843924
47,0,0.0084,-0.455007526294652,0.0254796654859106
48,0,0.0091,-0.453701065045356,0.0259584354723211
49,0,0.01,-0.421957346135328,0.0399898978756423
50,0,0.0069,-0.441082198730304,0.0309648386670425
