Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,-0,-0,-0,-2.72580550410629,-0,-0,-0,-0,-0,-0,-0,0,0,-0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,2.45916291416484,0,-0,-0,0,0,-0,-0,0,0,-0,0,0,0,0,-0,0,-0,0,-0,-0,-0,0,-0
OF,-0,0,0,0,0,-0,0,-0,-0,2.23483485320333,-0,0,0,0,0,2.30468718623608,0,0,0,0,0,-0,-0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,-0,0,0,-0,0,-0,0,0,-0
PL,-0,0,0,0,0,0,-0,-0,-0,2.23916446437919,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,-0,-0,0,0,-0,0,0,-0,-0,0,-2.3415456942414,0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,0,0,-0,-0
IL,-0,0,0,0,0,0,-0,-0,-0,0,-0,0,-0,0,0,0,2.27496415783387,0,0,0,0,-0,-0,-0,-0,0,0,-0,0,0,0,-0,-0,-0,-2.12695272505269,-0,-0,-2.12168389460989,-0,-0,-0,-2.43700730499532,-0,-0,-0,-0,-0,0,-0,-0,-0,0
Cing,-2.72580550410629,0,0,0,0,0,0,-0,-0,0,-0,0,-0,0,0,2.1275996357411,0,0,2.58911693285178,0,-0,0,0,-0,0,0,0,-0,0,-0,-0,-0,0,0,-0,0,0,-0,-0,-0,-0,-0,0,-0,0,-0,0,0,0,0,-0,0
Th_PM,-0,-0,0,0,0,0,2.24595901718624,-0,0,4.18987856424254,0,2.15563511300703,-0,0,-0,0,0,-0,0,2.60284489545321,0,0,2.35336829029819,-0,0,0,0,0,0,0,-0,0,0,0,0,2.22843670734246,0,0,0,0,0,-0,0,0,2.40043701204781,0,0,0,-0,0,-0,0
Th_SM,-0,0,-0,-0,0,2.24595901718624,0,0,0,2.56011534192813,0,0,-0,-0,-2.70110426837517,0,0,0,0,3.1645946185405,0,0,0,-0,0,0,0,-0,0,0,-0,-0,-0,-0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,-0,0
M1,-0,-0,-0,-0,-0,-0,0,0,-0,0,0,0,-0,0,-0,-0,-0,-0,0,-0,-2.58138497705458,-2.23248279039807,-0,-0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,0,0,-2.12595015730979,0,-0,0,-0,-2.73153992515238,-0,0,0
M2,-0,-0,-0,-0,-0,0,0,-0,0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,-0,-0,-0,-0,-0,-0,0,-0,0,0,-0,-0,0,-0,-0,-0,-0,0,-0,0,-0,0,-0
S1,-0,2.23483485320333,2.23916446437919,0,0,4.18987856424254,2.56011534192813,0,-0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,-0,0,0,-0,-0,0,2.18389458400938,0,0,0,0,0,-0,0,2.11693516756177,0,0,0,0,0,0,0,0
