Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,-0,-0,-0,-0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-2.03103743113358,0,0,0,0,-0,-0,0,0,-2.24680857288091,-0,0,-2.40774090364784,0,0,0,0,-0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0
OF,-0,0,0,0,-0,-0,0,0,3.12893372478117,-0,0,-0,-0,-0,0,-0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0
PL,-0,0,0,0,0,3.55110203851964,2.71248671557063,2.18709248399328,2.40317644086633,0,0,-0,0,0,0,-0,0,2.33515551173089,0,-0,0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0
IL,-0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,-2.15668591239158,0,0,-0,0,0,-0,0,0,0,-0,0,-0,0,0,0,0,-0,-0,0,0,0,0,0,2.32809932843597,-0,0,0,0,-0,-0,-0,0,0,0,0
Cing,-0,-0,0,0,0,2.19213661963586,0,0,0,-0,0,0,-0,0,0,0,0,0,-0,0,0,-0,-0,0,0,-0,-2.06932182454548,0,-0,0,-0,-0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,0,0,-0,-0,-0,0,0
Th_PM,0,-0,3.55110203851964,0,2.19213661963586,0,-0,0,2.54804548284551,-0,-0,2.01891717390436,0,0,0,0,0,0,0,-0,0,-0,-0,-0,-0,0,-0,0,-0,0,0,0,0,-0,-0,0,0,-0,0,0,0,0,0,0,-0,-0,0,0,-0,-0,0,-0
Th_SM,0,0,2.71248671557063,0,0,-0,0,0,0,-0,-0,0,0,-0,0,0,0,-0,0,0,0,-0,0,-0,-0,0,-2.55255693591045,0,-0,-0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,-0,-0,-0,0,0,-0,-0,0,-0
M1,0,0,2.18709248399328,0,0,0,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,2.25523970334181,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,0,0,0,-0,-0
M2,0,3.12893372478117,2.40317644086633,0,0,2.54804548284551,0,0,0,0,-0,0,0,0,0,0,0,2.23031667590584,-0,2.44587146080681,2.18679649204384,0,-0,-0,-0,0,0,0,-0,0,-0,-0,0,-0,-0,3.19211445276426,0,0,0,0,0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,0
S1,0,-0,0,0,-0,-0,-0,-0,0,0,0,-2.44476848604722,0,0,0,0,0,0,-0,2.48988621585523,0,-0,0,0,-0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,-0,0,0,0,-0,-0,-0,-0,-0,0,0,0,0,-0,0
S2,0,0,0,0,0,-0,-0,-0,-0,0,0,0,0,0,-0,0,0,-0,0,0,0,0,-0,0,-0,0,0,-2.49217224422306,-0,0,-2.02527060818634,-0,-0,-0,0,-0,0,0,-0,-0,0,0,0,-0,-0,-0,0,0,0,0,0,-0
OB,-0,-0,-0,-0,0,2.01891717390436,0,-0,0,-2.44476848604722,0,0,0,0,-0,-0,-0,-0,0,0,0,0,-0,0,0,-0,-0,0,-0,0,0,0,-0,0,-0,0,0,0,0,0,0,-0,0,0,0,-0,-0,0,0,0,-0,0
AON,-0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,-0,0,-0,0,0,0,-0,-0,0,0,0,0,0,-0,-2.30293516927058,-0,0,0,0
Otu,-0,-0,0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,-0,-0,-2.06423897616134,-0,0,-0,-0,-0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,-0,0,0,-0
Pir,-0,0,0,0,0,0,0,0,0,0,-0,-0,0,-0,0,0,0,0,-0,-0,0,-0,-0,-0,-0,-0,-2.36384727754986,0,0,0,-2.08206878321356,-0,0,0,2.0252761913081,0,0,0,0,0,0,0,-0,0,0,0,0,-0,-0,0,0,-0
DPA,-0,-0,-0,-0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,-0,0,-0,0,0,0,0,-0,-2.02713186338935,0,0,0,-0,0,0,0,0,2.35690763953979,0,0,0,0,0,-0,0,0,0,-0,0,-0,-0,0,0,-0
TT,-2.03103743113358,0,0,-2.15668591239158,0,0,0,0,0,0,0,-0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,-0,0,0,0
