Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
Pall,0,0,2.43175942521932,2.28956890690027,3.09487046306024,2.28709262153548,0,0,2.44248491309143,0,0,0,0,0,0,0,0,-0,0,2.07365783717151,0,-0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,0,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0,-0,0
VP,0,0,0,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,-0,-0,-0,-0,-0,0,0,-0,0,-2.13764019145892,0,0,-0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,-2.13727821732362,-3.02427149988886,0,0,0
Cl,-0,-0,0,0,0,-0,0,-0,-0,0,-0,0,0,-0,-0,0,0,0,0,-0,0,0,0,-0,0,-0,-0,-2.8319755583204,-0,-0,-0,-0,-0,-0,0,-0,-0,0,0,0,0,0,-0,0,0,0,0,0,-0,-0,0,0
Amyg,0,0,0,0,0,0,-0,0,-0,-0,-0,0,0,-2.23573870435994,-2.25654214783035,0,0,0,0,-0,0,-0,-0,0,-0,-0,0,-2.47737492041195,0,-0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,0,0
ZI,0,0,0,-0,0,-0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,-0,-0,0,-2.12251400526956,-0,-0,-0,0,-0,-0,0,0,0,0,0,0,0,-0,-0,-0,0
I_dors,-0,0,-0,0,0,0,0,0,0,0,0,-0,0,-2.13915297930171,-0,0,0,-0,0,0,0,-2.13764019145892,-0,-0,0,0,0,-2.10199549480005,-0,-2.18512597810067,-0,0,-0,-0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,-0,0,0,0
I_ventr,-0,0,-0,-0,-0,0,-0,0,0,0,0,0,0,-0,-0,-0,0,-0,-0,0,0,0,-0,0,0,0,0,-0,-0,-0,-0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,0
I_post,-0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,0,0,-0,0,0,-2.8319755583204,-2.47737492041195,0,-2.10199549480005,-0,0,-0,-0,-0,-0,0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0
Gust,-0,0,0,0,0,0,0,-0,-0,0,-0,0,0,-0,-0,0,0,-0,-0,-0,0,-0,-0,0,0,-0,-0,-0,0,0,-0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0
Visc,-0,0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,-2.61038108960816,0,-0,-0,-0,0,-2.18512597810067,-0,-0,0,0,-0,-0,-0,-2.13958361994816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perih,0,0,0,0,-0,-0,0,0,-0,0,-0,0,0,-0,-3.8987132973011,-0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,-0,0,-0
Ect,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,0,-0,0,0,0,0,-0,0,0,0,0,0,-0,-0,0,0,0
Ent,0,-0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,0,-0,-0,-0,0,-0,0,0,0,0,-0,0,0,-0,-0,0,-0,0,-0,0,0,0,0,0
Temp,-0,0,0,-0,0,0,-0,0,-2.12824630961609,0,-0,0,0,0,-0,0,0,0,-0,0,-0,-0,-0,-0,0,-0,-0,-0,-0,-2.13958361994816,-0,-0,-0,0,0,-0,-0,-0,-0,-2.12931942352182,-0,-0,0,0,0,0,0,0,-0,0,-0,0
ParAss,0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-2.12251400526956,-0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,-0,-0,0,0,0,0,0,-0,-0,0,0,-0
