Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,-0,0,0,-0,-0,0,0,-0,0,-0,-0,-0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,-0,0,0,-0,-0
OF,-0,0,0,0,3.05362575608832,2.12595366146227,0,-0,-3.85011975461202,0,-0,0,-0,0,-0,2.10203989496291,0,0,0,0,-0,0,-0,0,0,-0,0,0,-0,0,0,0,0,-0,-0,-0,0,0,0,0,-0,0,0,-0,0,0,0,0,0,-0,0,-0
PL,-0,0,0,0,0,-0,-0,-2.18709248399328,-2.42375539926034,0,0,0,-0,0,0,0,0,0,0,0,2.12563683474138,0,0,0,0,-0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,0,-0,-0,0,0,0,0,0,-0,-0,0,0,0,0
IL,0,0,0,0,0,0,0,-0,-0,-0,0,0,0,0,0,0,2.37673670728019,0,0,0,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,-0,-0,-0,0,0,0,0,0,0,0,-0,0,0
Cing,0,3.05362575608832,0,0,0,0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,0,0,-0,-0,0,-0,-0,0,0,-0,0,0,0,0,-0,0,-0,0,0,0,0
Th_PM,-0,2.12595366146227,-0,0,0,0,2.24595901718624,-0,0,5.02510043562497,0,0,0,0,-0,0,0,0,0,3.41592421068504,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,-0,0,0,0,0,-0,0,0,0,2.73619832015688,0,0,0,0,0,-0
Th_SM,-0,0,-0,0,0,2.24595901718624,0,-0,0,3.85803898352881,0,0,-0,0,-0,0,0,0,0,0,-0,-0,0,-0,0,-0,0,-0,0,0,-0,-0,0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,-0,0,2.37319386741155,-0,0
M1,-0,-0,-2.18709248399328,-0,-0,-0,-0,0,-0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,0,-2.25523970334181,-0,-0,-0,0,0,-0,-0,-0,-0,0,-0,-0,0,0,0,0,0,-0,0,-0,-0,0,0,0
M2,-0,-3.85011975461202,-2.42375539926034,-0,-0,0,0,-0,0,0,0,-0,-0,0,0,-0,-0,-0,0,-0,-0,0,-0,-0,-0,-0,0,0,0,-0,-0,-0,-0,-0,0,-0,-0,0,-0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,-0
S1,-0,0,0,-0,0,5.02510043562497,3.85803898352881,0,0,0,0,2.44476848604722,0,0,-0,-0,-0,-0,0,0,-0,0,-0,-0,0,0,0,-0,-0,-0,0,-0,0,0,0,-0,0,0,0,-0,-0,0,0,0,0,0,-0,0,-0,0,0,0
S2,-0,-0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,-0,0,0,-0,0,0,0,0,-0,0,0,-0,0
OB,-0,0,0,0,0,0,0,0,-0,2.44476848604722,-0,0,-0,-0,0,0,0,-0,-0,0,-0,-0,0,0,0,0,0,-0,0,0,-0,-0,0,-0,0,-0,0,-0,-0,-0,-0,0,0,0,0,-0,0,-0,-0,-0,0,-0
AON,0,-0,-0,0,0,0,-0,0,-0,0,0,-0,0,0,0,-0,-0,-0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,-0,0,-0,-0,0,0,0,0,0,-0,0,0,0,0,0,0
Otu,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,-0,-0,0,-0,0,-0,0,-0,-0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0
Pir,0,-0,0,0,0,-0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,-0,0,0,-0,-0,0,-0,0,0,-2.13770779305766,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0
DPA,0,2.10203989496291,0,0,0,0,0,-0,-0,-0,0,0,-0,0,0,0,2.23551795138766,0,0,0,0,0,-0,-0,-0,0,0,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,-0,0,0,-0,0,0,0,0,0,-0,0,0
