Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,-0,-0,-0,-2.23372970504065,0,-0,-0,-0,0,-0,-0,0,-0,-0,0,-0,0,0,0,-0,0,0,-0,-0,0,2.15115269232429,0,0,-0,-0,-0,-0,-0,-2.29759646504786,0,-0,0,0,0,0,0,0,-0,0,-0,0,-0,-0,-0,0,-0
OF,-0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,2.10297431770822,0,0,0,2.24649377412457,0,0,0,0,0,-0,0,0,0,-0,0,-0,-0,-2.10927449132833,-0,0,0,-2.75367299228486,-0,0,-0,-0,-0,-0,-0,0,0,-0,-0,0,-0,-0,-0
PL,-0,0,0,0,0,0,0,-0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,-0,-0,-2.12605203334818,-0,-0,-0,-0,0,-0,-0,-2.10663868448258
IL,-0,0,0,0,0,0,0,-0,-0,0,-0,0,-0,0,0,0,2.27496415783387,0,0,0,-0,0,0,-0,-0,0,0,-0,0,0,-0,-0,-0,-0,-2.4081943922956,-0,-0,-0,-0,-0,-0,-2.82782898328631,-0,-2.12376812877486,-0,-0,-0,-0,-0,0,-0,-0
Cing,-2.23372970504065,0,0,0,0,0,0,0,-0,0,-0,2.158195002739,0,-0,-0,2.14044536249369,2.48149722725582,0,0,-0,0,0,0,0,0,0,0,0,0,-0,0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-2.20054754883073,0,0,-0,0
Th_PM,0,-0,0,0,0,0,2.24595901718624,0,0,3.91817326475292,2.39857508893068,2.19160879430005,-0,0,-0,0,0,-0,2.96372423060744,2.31589248046399,2.36271784176659,0,2.27311031405095,-0,0,0,-0,0,0,0,-0,-0,-0,-0,0,2.12647348049529,0,0,0,0,0,0,0,0,0,2.41429190395646,0,0,0,-0,-0,0
Th_SM,-0,0,0,0,0,2.24595901718624,0,0,0,2.47003344968829,0,0,-0,0,-0,0,0,0,0,0,2.39953453767102,0,0,-0,0,0,0,-0,0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,-0,0,-0,-0,0,0,0,0,-0,0,0,0,0,-0,-0,-0,-0,-0,0,-0,-3.31050450997388,-0,-0,-2.3881473476271,0,0,0,-0,0,-3.0169491313223,-0,-0,-0,0,-0,0,0,0,-0,-0,-0,0,-0,-0,0,-0,0,-0,-2.37922804632917,-0,-0,-0
M2,-0,-0,-0,-0,-0,0,0,-0,0,-0,-0,0,0,-0,-0,-0,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0,0,-2.71961188866233,-0,-0,0,-0,-0,0,0,0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,2.09986361349702,0
S1,0,0,0,0,0,3.91817326475292,2.47003344968829,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,-0,0,2.20255566085115,0,-0,0,-0,-0,-0,-0,-0,2.58222475981227,0,0,0,0,2.19318097038858,0,-0,0,0,0,2.13849039216084,0,-0,-0,0,2.36595441680265,2.30858186228248
S2,-0,0,-0,-0,-0,2.39857508893068,0,0,-0,0,0,0,0,0,0,0,0,-0,-0,0,-0,-0,0,-0,0,2.17190431896918,0,0,2.76209029141877,0,0,0,0,-0,0,-0,-0,-0,-0,-0,0,-0,-2.40829434162175,-0,0,-0,0,-0,-0,0,-0,0
OB,-0,0,0,0,2.158195002739,2.19160879430005,0,0,0,0,0,0,-0,0,0,2.1392674256788,0,0,-0,0,0,0,0,-0,-0,0,0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,0,-0,-2.16785163966658
AON,0,-0,-0,-0,0,-0,-0,0,0,0,0,-0,0,0,0,-0,-0,0,0,0,0,0,-0,0,-0,0,0,-0,0,0,0,0,-0,0,0,-0,0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,0,0,0,-0
Otu,-0,0,0,0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,-2.13968761296089,0,-0,-0,-0,0,-0,0,0,-0,-2.86138683234242,-0,-0,-0,-0,-0,-0,-2.21680936288403,-0,0,-0,0,-0,-0,0,0,0,0,0,-0,0,0,-0,-0,0
Pir,-0,2.10297431770822,-0,0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,-0,0,0,-0,-0,0,-0,-0,-0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,0
DPA,0,0,0,0,2.14044536249369,0,0,-0,-0,0,0,2.1392674256788,-0,0,0,0,2.76383269666623,0,0,2.45843722732066,0,0,0,-0,0,0,0,0,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,0,-0,-0,-2.12845475105998
TT,-0,0,0,2.27496415783387,2.48149722725582,0,0,-0,-0,0,0,0,-0,0,0,2.76383269666623,0,0,0,2.52309980057586,0,0,0,-0,-0,0,2.28557553541473,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-3.12202559055121,-0,-0,-0,-0,0,-0,-0,-0,-2.43753514013038,-0,-0,-0,0,-2.66206993364225
Sept,0,0,0,0,0,-0,0,-0,0,-0,-0,0,0,-2.13968761296089,-0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,-2.44323657682495,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0
Nacc,0,2.24649377412457,0,0,0,2.96372423060744,0,0,0,0,-0,-0,0,0,0,0,0,0,0,2.41332123900329,0,0,0,-0,0,0,0,-0,0,-0,-0,0,-0,0,-0,0,-0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,-0,-0
