Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,-0,0,-0,0,0,0,-2.22378513995945,0,0,-0,0,-0,-0,-0,-0,-0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-2.47192472760599,0,-0,-0,0,0,0,-0,-0,-0,-0,-0,-2.42520166478151,-0,-0,0,-0,0,-0,0,0,-0
OF,-0,0,2.45746686595219,2.19371074743156,0,4.5129598495557,4.6133893902624,-0,0,3.84668173450725,0,0,0,-0,-0,0,0,3.25798897924027,3.11833612952993,0,2.98956327828194,0,0,-0,0,3.17352846586841,0,-0,-0,-0,-2.40750073873119,-0,-0,-0,0,3.75910097988919,2.21843504568599,3.26885360194501,4.46313807976439,4.36167487627417,2.26532476827513,-0,-0,-0,-0,2.34426277830525,-0,0,0,2.3276177285501,0,2.30006390728654
PL,0,2.45746686595219,0,2.26338576313269,2.23599119813694,6.11840645158061,5.94857595039114,0,0,4.62778481647493,-0,2.22562148336267,2.81990477016447,0,-2.09367586827145,0,2.10920819899006,4.20832802710694,3.42391803720538,2.71908685566864,3.39983566191311,0,0,-0,0,0,0,-0,-0,-0,-0,-0,-0,-0,0,3.8163676093831,0,3.79494855062704,4.62158816048387,4.90066943947785,3.4463986797945,0,-0,0,0,3.87905854834128,-0,0,0,3.05906793715899,3.01044388201321,2.794185004173
IL,-0,2.19371074743156,2.26338576313269,0,2.14399809212765,4.03716095917197,4.25226126795901,0,2.74668237305189,4.3975061531828,-0,0,0,0,-0,0,0,2.70046587260967,4.14211970156703,2.18494406249086,2.74815228284454,0,0,-0,0,3.61832340268299,0,-0,-0,-0,-0,-0,0,-0,0,4.35568869068121,0,3.58855543620169,5.11095745106448,4.76470629538841,3.80973681065873,0,-0,-0,-0,0,-0,0,0,0,2.8856674962593,2.38167243112094
Cing,0,0,2.23599119813694,2.14399809212765,0,6.07161122498917,5.06042811487238,0,3.0750486254894,5.29789209302985,0,2.82871256933009,0,-0,-0,2.69127126152209,2.41609505434578,2.62542707061655,3.81535226060749,3.5019887550953,3.2246617060429,0,0,-0,0,2.32295028335582,0,-0,-0,-0,-0,0,0,0,0,5.31188829480449,2.78664267471537,3.06780857411152,5.3719240302493,5.05136009225485,2.77721816446505,0,0,-0,-0,3.40318882785403,0,-0,-0,2.67730550850933,2.32551280638859,0
Th_PM,0,4.5129598495557,6.11840645158061,4.03716095917197,6.07161122498917,0,3.22268784999207,0,6.18982002890117,4.95472722780602,0,3.37245763510534,2.90911310973155,-0,-0,4.46673417569065,4.69733225876676,3.27095454018542,5.61444148329445,4.54817049919101,3.59260891462408,0,0,-0,0,2.36020269345528,0,-0,-0,-0,-0,0,2.25566290465045,-0,0,2.83261341939053,0,0,3.2479907927752,2.98075785148634,2.97989611704698,0,0,0,0,3.64867995037175,0,-0,-0,0,-0,0
Th_SM,0,4.6133893902624,5.94857595039114,4.25226126795901,5.06042811487238,3.22268784999207,0,0,4.93702167426265,5.0477295488682,2.70706973248386,4.26372167541636,5.26957137372584,-0,-0,5.09286977559417,5.09699316666094,2.25440672344982,4.42983713366255,4.67619332100699,2.65972171258165,-0,0,-0,0,2.41856651576419,0,0,-0,-0,-0,0,0,0,2.42393936613785,2.32768382964517,0,0,3.4283122918861,0,2.10450665344379,0,-0,-0,0,2.24239463296484,0,-0,-0,2.87805224827822,-0,-0
M1,-2.22378513995945,-0,0,0,0,0,0,0,3.64389677950538,0,0,0,-0,-0,0,0,-0,0,0,0,3.10465062760091,-0,0,-0,0,2.94619725127692,0,-0,0,-0,0,-0,0,0,0,2.6190115071647,0,0,0,0,0,0,-0,-0,-0,0,-0,-0,0,0,0,-0
M2,0,0,0,2.74668237305189,3.0750486254894,6.18982002890117,4.93702167426265,3.64389677950538,0,3.75069783885361,2.12130660728296,2.83392556087483,3.38772377178791,-0,-0,3.84844798866857,2.63892020965097,5.04463674352316,4.29486960445516,4.71990421524815,7.18868570988102,0,0,-0,0,2.92025050221239,0,-0,0,-0,-0,-0,-0,-0,0,5.84042083325938,0,3.39280064824303,3.97346620780526,3.55291680067892,3.46353727989811,0,-0,0,0,3.07199707815053,0,0,0,2.20432665200094,3.62041548449046,0
S1,0,3.84668173450725,4.62778481647493,4.3975061531828,5.29789209302985,4.95472722780602,5.0477295488682,0,3.75069783885361,0,2.55208729755469,3.05599168777024,0,0,0,4.44395307422393,3.95651897682652,3.35691396504058,6.01110997087257,6.86279519922394,5.26744270139024,3.36545651017678,2.47808449264449,-0,0,4.76599268642297,3.85388789297609,0,2.30139404036586,0,-0,0,0,0,0,4.59301382464631,2.6487888343525,2.12964658069786,2.45694165983519,2.37179988073846,0,2.15773773987597,-2.94853865338746,0,0,0,-0,-0,0,3.05179751740188,2.15869035684628,0
S2,-0,0,-0,-0,0,0,2.70706973248386,0,2.12130660728296,2.55208729755469,0,-0,0,-0,0,-0,-0,0,2.25875589858777,0,0,0,2.27380798253828,-0,0,0,0,-0,3.3145562768815,0,-0,0,0,0,0,3.51775099464856,0,0,-0,-0,-0,-0,-2.30846257955524,-0,-0,-0,-2.66682459004517,-0,0,0,0,-0
OB,0,0,2.22562148336267,0,2.82871256933009,3.37245763510534,4.26372167541636,0,2.83392556087483,3.05599168777024,-0,0,0,0,-0,0,0,2.55179237430744,2.8092943045371,2.96002138420096,3.3576063437519,0,0,0,0,3.40586542265964,2.22453041297734,-0,-0,-0,-0,-0,-0,-0,0,3.11078881180867,0,3.11963806610636,0,2.49652442980763,2.1946479550751,0,-0,0,0,3.01142805689184,-0,-0,-0,0,0,0
AON,-0,0,2.81990477016447,0,0,2.90911310973155,5.26957137372584,-0,3.38772377178791,0,0,0,0,-0,0,0,0,0,0,0,2.13560710363453,0,0,-0,0,0,0,-0,0,0,0,-0,0,0,-0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,0,0,0
Otu,-0,-0,0,0,-0,-0,-0,-0,-0,0,-0,0,-0,0,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-2.27970130120929,0,-0,-2.50139297736136,-0,0,0,0,-0,-0,0,0,0,0,0,-0,-0,0,-0
Pir,-0,-0,-2.09367586827145,-0,-0,-0,-0,0,-0,0,0,-0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,-2.60302530248612,-0,0,-0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0
DPA,-0,0,0,0,2.69127126152209,4.46673417569065,5.09286977559417,0,3.84844798866857,4.44395307422393,-0,0,0,0,-0,0,0,2.54300647543374,2.35055035988231,0,2.37220954441214,0,-0,-0,2.34180037353329,2.19285109027159,0,-0,0,0,-0,-0,0,-0,0,3.74109814180717,0,2.83613146919788,4.5788184506778,4.7088243403787,3.16652345291661,0,0,-0,-0,0,-0,0,0,0,0,2.21960285819437
TT,-0,0,2.10920819899006,0,2.41609505434578,4.69733225876676,5.09699316666094,-0,2.63892020965097,3.95651897682652,-0,0,0,-0,-0,0,0,0,0,0,0,-0,-0,-0,0,0,0,-0,0,-0,-0,-3.15993876296487,0,-0,0,2.86070012354873,0,3.19893831129517,2.46537495461477,2.86254816867809,0,0,0,-0,0,0,-2.12484433733808,0,-0,0,0,0
Sept,0,3.25798897924027,4.20832802710694,2.70046587260967,2.62542707061655,3.27095454018542,2.25440672344982,0,5.04463674352316,3.35691396504058,0,2.55179237430744,0,-0,-0,2.54300647543374,0,0,3.18809202221265,0,0,-0,-0,0,0,0,0,-0,-0,-0,0,0,0,0,0,3.68097903518321,0,2.66779975988706,4.45393045797564,5.04152706282179,3.89426972855497,-0,0,0,-0,0,0,-0,-0,0,0,0
Nacc,-0,3.11833612952993,3.42391803720538,4.14211970156703,3.81535226060749,5.61444148329445,4.42983713366255,0,4.29486960445516,6.01110997087257,2.25875589858777,2.8092943045371,0,-0,-0,2.35055035988231,0,3.18809202221265,0,2.96969894472013,3.50347750589023,0,0,-0,0,0,-0,0,-0,0,-0,-0,0,-0,0,4.03598921846234,0,0,2.37852666972756,4.08921002207822,3.11432560648888,0,-0,0,2.42395454432967,2.86248560443777,-0,-0,0,0,3.0800060565492,0
