Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
Nacc,-0,0,0,0,0,0,0,-0,0,0,0,0,0,-0,-0,-0,-0,0,0,0,0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,0,0,0,2.2236908795884,0,0,0,0,-0,0,-0,-0,0,0,2.97161185004952,0
CP,-0,-0,0,0,0,0,0,2.17024669368908,3.52792339246957,3.59003158978993,0,0,0,0,-0,-0,-0,-0,0,0,2.36487169203186,0,-0,-0,0,0,0,0,-0,0,-0,0,0,0,0,2.17893214332643,0,0,0,3.17955435071579,0,0,-2.26185692997571,0,-0,0,-0,-0,-0,0,0,0
Pall,0,0,0,0,0,0,0,2.83285791359986,4.30835485835132,3.25492888473846,0,0,0,0,-0,0,-0,-0,0,2.36487169203186,0,-0,0,-0,0,2.0664007763633,2.20448635836227,0,2.41550903150175,0,0,0,0,0,0,2.39730383098807,0,0,3.50707619530558,2.69112306270902,2.81106637851047,0,-0,0,-0,2.11096999341548,0,-2.45127785847245,0,0,0,0
VP,0,-0,-0,-0,-0,-0,-0,0,0,0,0,-0,-0,-0,-0,-2.21288500962507,-0,-2.09645164087118,-0,0,-0,0,0,-0,-0,0,-0,-0,0,-0,0,-0,0,-0,0,0,-0,-0,0,0,0,-0,-0,0,0,-0,0,-0,-2.41306672581874,-0,-0,0
Cl,-0,-0,-0,-0,-0,-0,-0,2.07084653702402,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,0,0,0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-2.15317823504821,0,-0,-0,0,-0
Amyg,-0,-0,0,0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,0,0,0,-0,-0,-0,-0,-0,0,-0,-0,-2.56560700531903,0,-0,0,-0,-0,-0,-0,-0,-0,-2.3793343535995,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,-0
ZI,0,0,0,0,0,-0,-0,-0,0,-0,0,0,0,-0,-0,0,0,0,-0,0,0,-0,-0,-0,0,-0,-0,-2.15357513126162,-0,-0,0,0,0,-0,-0,-0,-0,-0,0,-0,-0,-0,-2.601115562593,0,0,0,0,-0,-0,-0,-3.22127562753961,-0
I_dors,-2.78169467635322,-0,0,0,-0,0,0,0,0,0,-0,0,0,-0,-0,0,0,-0,0,0,2.0664007763633,0,-0,-0,-0,0,-0,-0,-0,-0,-0,0,-0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,-0,-0,0,0,0,0,0
I_ventr,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,-0,0,2.20448635836227,-0,-0,-2.56560700531903,-0,-0,0,-0,-0,-0,-0,-0,0,-0,-0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0
I_post,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,0,0,-0,-0,0,-2.15357513126162,-0,-0,0,0,-0,-0,0,0,-0,0,0,-0,-0,-0,0,0,-0,0,-0,-0,-0,-0,0,-0,-0,0,0
Gust,-2.79568578581888,-0,-0,-0,-0,-0,-0,0,-0,0,0,-0,0,-0,0,-0,0,-0,-0,-0,2.41550903150175,0,0,-0,-0,-0,-0,0,0,0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,0,-2.2740646999676,0,-0,-0,-0,0,0,0,-0,-0,-0
Visc,-0,-0,0,-0,0,-0,-0,0,0,0,0,-0,0,-0,0,-0,0,-0,-0,0,0,-0,-0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,2.02320463809115,0,0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,-0,-0,0,-0
Perih,-0,-0,-0,-0,-0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,0,-0,-0,0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-2.18177731854142,-0,-0,0,0,-0,-0,-2.06282114712876,0,0,0,-0,-0,-0
Ect,0,-0,-0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,-0,0,0,-0,-0,-0,0,0,-0,0,-0,-0,-0,0,-0,-0,0,0,-0,-0,-2.70216735222054,0,-0,0,0,-0,-0,-0,0,-0,0,-0,-0,-0
Ent,-0,0,0,0,0,2.22174666589247,0,-0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,-0,-0,0,-0,0,0,-0,0,-0,-0,0,0,0,0,0,2.43728197418539,0,0,0,0,-0,0,-0,0,0,-0,0,0,0,0
Temp,0,0,-0,-0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,-0,0,0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,0,-0,0,0,0,-0,0,-0
ParAss,0,-0,2.24752307068827,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,-0,0,-0,0,0,0,-0,-0,-0,-0,-0,0,-0,0,-0,0,0,-0,0,0,0,0,0,2.03640592140893,0,-0,0,0,-0,0,0,-0,0,-0,0,0
RS,0,0,2.22491147573335,2.66616324594577,2.05711730640232,-0,0,0,3.1905281100514,0,2.37123770447493,0,0,-0,-0,0,0,0,0,2.17893214332643,2.39730383098807,0,-0,-0,-0,0,0,0,0,2.02320463809115,-0,0,0,-0,0,0,0,0,3.26344022204163,0,0,-0,-0,-0,-0,2.53085171789697,0,-0,-0,0,-0,0
CA,-0,0,2.60468445636976,2.38408497896428,0,0,0,0,2.31807543960455,0,0,2.49328699145463,0,-0,-0,0,2.16925781043515,2.05673585379959,0,0,0,-0,-0,-2.3793343535995,-0,0,0,-0,-0,0,-0,-0,0,-0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,-0,0
DG,-0,3.13267765808757,3.60424307895359,3.26974888161031,2.71427776923516,0,0,0,2.03390289185121,0,0,2.04786574532756,0,0,-0,2.3913024742903,3.55343218671485,2.82477861241937,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,-0,-0,2.43728197418539,-0,0,0,0,0,0,-0,0,-0,-0,-0,0,0,-0,-0,-0,0,-0,0
Sub,-0,2.11103774522306,2.6697918136256,3.13737067360724,3.21342978299668,0,0,0,2.6058442384818,0,-0,2.57336121761882,0,0,-0,3.46834281841706,0,2.83071878906316,0,0,3.50707619530558,0,-0,-0,0,0,-0,-0,-0,-0,-2.18177731854142,-2.70216735222054,0,-0,0,3.26344022204163,0,0,0,0,-0,0,-0,0,-0,0,0,0,-0,0,0,0
SC,-0,0,2.92719837893977,3.10152937553305,3.24409219070913,0,0,0,2.40361611709101,0,0,0,-0,0,0,2.69510470196953,0,2.36864193648412,2.2236908795884,3.17955435071579,2.69112306270902,0,0,-0,-0,0,-0,0,0,-0,-0,0,0,0,2.03640592140893,0,0,-0,0,0,0,0,-0,0,-0,2.43578190416382,-0,-0,0,0,0,0
PAG,-0,2.50842481442117,2.23155273084632,2.35012364085485,2.20947024619784,0,0,0,2.56947395405628,0,-0,2.64327323424876,0,0,-0,2.2451713652287,0,0,0,0,2.81106637851047,0,0,-0,-0,0,-0,0,0,0,-0,-0,0,0,0,0,0,0,-0,0,0,0,-0,0,-0,0,-0,-0,0,0,0,0
VTA,-0,0,0,0,0,0,-0,0,-0,0,0,0,-0,-0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-2.2740646999676,-0,0,0,0,-0,-0,-0,-0,-0,0,0,0,0,-0,-0,0,0,2.10287126500025,-0,-0,2.05838321937335,-0,-0
SN,0,-0,0,-0,0,-0,-0,-0,-0,-2.21309480111788,-0,-0,0,-0,-0,0,0,0,0,-2.26185692997571,-0,-0,-0,-0,-2.601115562593,-0,-0,0,0,0,0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,0,-0,-2.46918403234194,-0,-0,-0
NclR,0,-0,0,0,0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,0,-0,0,0,0,-0,-0,0,-0,0,0,-0,-0,0,-0,-0
RN,-0,-0,0,0,0,-0,-0,-0,0,-0,-0,0,-0,0,-0,-0,0,0,-0,-0,-0,0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,0,-0,-0,-0,0,0,-0,0,0,0,-0,-0,-0,-0,-0
MB,-0,0,0,0,0,0,0,0,2.2063053829,0,-0,2.24390073532082,-0,0,-0,0,0,0,0,0,2.11096999341548,-0,-0,-0,0,-0,-0,-0,-0,-0,-2.06282114712876,-0,0,-0,0,2.53085171789697,0,0,0,2.43578190416382,0,0,-0,0,0,0,0,-2.21834196722831,-0,2.11423663032064,0,0
Pons,-0,-0,0,-0,0,0,0,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0,-0,0,0,-2.15317823504821,0,0,-0,-0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,-0,2.10287126500025,0,0,0,0,0,-0,-0,0,0,0
Periv,0,-0,0,0,0,-0,-0,0,0,-0,0,0,-0,-0,-0,0,0,0,-0,-0,-2.45127785847245,-0,0,-0,-0,0,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-2.21834196722831,-0,0,0,-0,0,-2.13724669600428
Hyp,-0,0,-0,-0,-0,-0,-0,2.13574462401543,0,0,-0,-0,0,-0,-0,-0,0,-0,0,-0,0,-2.41306672581874,-0,-0,-0,0,-0,-0,0,-0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-2.46918403234194,-0,-0,-0,-0,0,0,-0,0,-0
Aud,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,-2.23277173241376,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,0,-0,-0,0,0,0,0,0,0,2.05838321937335,-0,0,-0,2.11423663032064,0,-0,-0,0,0,0
V,-0,0,2.76402308299612,2.33790904882689,0,-0,-0,0,0,0,-0,0,0,-0,0,0,-0,0,2.97161185004952,0,0,-0,0,-0,-3.22127562753961,0,0,0,-0,0,-0,-0,0,0,0,-0,-0,-0,0,0,0,-0,-0,-0,-0,0,0,0,0,0,0,-0
IC,-0,2.68281227088731,3.82552309025169,3.05163364882209,0,0,-0,-0,0,-0,-2.41802143634423,3.01438275576287,0,-0,-0,0,0,0,0,0,0,0,-0,-0,-0,0,0,0,-0,-0,-0,-0,0,-0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-2.13724669600428,-0,0,-0,0
