Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,0,0,0,-0,0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0,-0,0,-0,-0,0,0,-0,-0,-0,-2.2090785300856,-0,-0,-2.04428337083588,-0,-0,0,-0,0,0,0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,0,-0,-0
OF,0,0,0,0,0,2.45344407901684,2.86807778639248,-0,2.44538431250645,0,-0,0,0,-0,-2.25397268203399,-0,0,-0,0,-0,0,-0,-0,-0,0,0,-0,-2.57124209033427,-0,-0,-0,0,0,0,0,2.19147432630485,2.86862161448634,3.17685343785271,2.79343423640558,2.39656892767229,0,-0,0,0,-0,0,0,0,0,0,0,2.90829810223972
PL,0,0,0,0,0,3.84509142898866,4.1088152105076,0,0,2.37652380068933,0,0,0,0,-0,0,-0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,0,-0,0,0,-0,2.03621012467175,2.45079872715297,2.39826506170073,3.76699241781727,3.07869627483054,3.49781879849518,2.57700130832376,0,0,0,0,2.50636481841915,0,0,-0,0,2.78589957221965,4.03477342624935
IL,-0,0,0,0,0,2.16902148221847,2.81697745519446,0,2.09573828058199,2.09590966165035,-0,-0,0,0,-0,0,-0,0,0,0,0,0,-0,0,0,0,0,-0,-0,-0,-0,0,0,-0,0,2.84778152108421,2.59646810113046,3.60954786746086,3.84426508478858,3.46327333826441,2.39837608233065,0,-0,-0,0,0,0,0,-0,0,2.4052122063519,3.57528964238208
Cing,0,0,0,0,0,2.11182468461898,2.11428542499204,0,0,2.93200278922509,0,-0,0,-0,0,0,-0,0,0,0,0,-0,0,-0,0,0,0,-0,-0,-0,-0,0,0,-0,0,2.43533254502039,2.43976928101414,2.95208098225987,4.65590523252116,3.28266177699605,2.27615553580144,0,0,0,0,0,0,0,-0,0,0,2.61073369301378
Th_PM,0,2.45344407901684,3.84509142898866,2.16902148221847,2.11182468461898,0,-0,0,2.98585912657984,0,-0,0,0,-0,-0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,-0,0,0,2.27719936254679,0,-0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,-0,0
Th_SM,0,2.86807778639248,4.1088152105076,2.81697745519446,2.11428542499204,-0,0,0,2.57686403353151,0,0,0,3.09121631288786,-0,-0,2.29804796173466,2.60385490746924,0,0,0,0,-0,-0,-0,-0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,2.1097291580201,0,0,-0,-2.09483065589102,-0,-0,0,2.637801038257,-0,-0,0,-0,0
M1,-0,-0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,-0,0,0,2.09687328842367,3.92617691298355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,0,2.29872027636564,0,0,-0
M2,0,2.44538431250645,0,2.09573828058199,0,2.98585912657984,2.57686403353151,0,0,2.73529727667408,2.19359815073908,0,2.07526228455451,-0,0,0,2.02005436232051,3.682208490483,2.77343480551388,3.57012714064122,3.50510281947429,2.04271185088273,0,-0,0,2.71285623160788,0,0,0,0,0,0,0,0,0,2.87776588289424,0,2.21789589961308,2.4502674375011,3.03637309785517,3.3577575492931,0,-0,0,0,3.19055599093133,0,0,0,0,2.4036933656248,0
S1,-0,0,2.37652380068933,2.09590966165035,2.93200278922509,0,0,0,2.73529727667408,0,0,0,0,-0,0,0,0,0,0,3.63724669113477,3.42531605474362,0,0,0,0,0,0,0,0,2.20226415385153,-0,0,0,0,-0,0,0,0,0,0,0,0,-2.39059531387599,-0,0,0,-0,0,0,0,-0,-0
S2,-0,-0,0,-0,0,-0,0,0,2.19359815073908,0,0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,-0,0,-0,-0,-2.25752185213518,0,0,-0,-0,0,0,0,2.11515691666422,2.17885840285991,0,0,-0,-0,0,-0,-0,-0,-0,-2.23427582056209,-0,0,0,0,-0
OB,0,0,0,-0,-0,0,0,-0,0,0,-0,0,0,0,-0,-0,-0,0,0,0,2.21088110984705,0,-0,0,0,2.11731583530465,0,-0,-0,-0,0,0,0,0,-0,0,2.56303510032122,2.80652583711602,0,0,2.20143869229893,0,-0,0,0,0,-0,0,-0,0,0,2.82291993128104
AON,-0,0,0,0,0,0,3.09121631288786,0,2.07526228455451,0,-0,0,0,-0,0,0,0,-0,0,-0,-0,-0,0,-0,0,0,0,-0,0,-0,0,0,0,0,-0,0,0,2.65728797866864,0,0,0,0,0,0,-0,-0,-0,0,0,0,0,0
Otu,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,0,-0,-0,0,0,0,-0,-0,-0,-0,0,-0,-0,-0,-0,0,-0,0,0,-0,0,0,0,0,-0,-0,-0,0,0,0,-0,-0,0,0,-0
Pir,-0,-2.25397268203399,-0,-0,0,-0,-0,0,0,0,-0,-0,0,-0,0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-2.24872205358845,-0,-0,-0,-0,-0,-2.2857694937865,0,-0
DPA,-0,-0,0,0,0,0,2.29804796173466,0,0,0,-0,-0,0,-0,-0,0,-0,0,0,-0,0,-0,-0,0,0,0,-0,-0,-0,-0,-0,-0,0,-0,0,0,0,2.95535366320035,3.2742857024889,3.27654831581633,2.58519113153919,0,0,0,-0,0,-0,0,-0,0,2.08338139299682,3.24631340076531
TT,-0,0,-0,-0,-0,0,2.60385490746924,-0,2.02005436232051,0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,0,0,2.50704546983945,0,0,0,0,3.93124706935203,2.26310376947367,0,0,0,0,0,0,0,-0,0,-0,0,0,0
Sept,0,-0,0,0,0,0,0,0,3.682208490483,0,-0,0,-0,0,-0,0,-0,0,0,-0,-0,-0,-2.08407713875481,0,0,-0,0,-0,-0,-0,0,0,0,0,0,2.27696260622131,0,2.80305541758475,4.05357677567629,2.73949521957357,2.49627359835298,0,0,0,-0,0,0,-0,-0,0,0,2.02846085334271
Nacc,-0,0,0,0,0,0,0,0,2.77343480551388,0,0,0,0,-0,-0,0,-0,0,0,-0,0,-0,-0,-0,0,0,-0,0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,0,0,2.24134083540527,0
CP,-0,-0,0,0,0,0,0,2.09687328842367,3.57012714064122,3.63724669113477,0,0,-0,-0,0,-0,-0,-0,-0,0,2.34971051307,0,-0,-0,0,0,0,0,-0,0,-0,0,0,2.2745893368524,0,2.3738108473602,2.09442974352497,0,0,2.56516604714437,2.15983245835046,0,-0,0,0,0,-0,-0,-0,0,0,0
Pall,0,0,0,0,0,0,0,3.92617691298355,3.50510281947429,3.42531605474362,0,2.21088110984705,-0,0,-0,0,-0,-0,0,2.34971051307,0,-0,0,-0,0,2.1588195988137,2.03652290821558,0,2.07634048242429,0,0,0,0,0,0,2.62639858395952,0,0,3.52044285875615,2.88902507490466,2.28124476072434,0,-2.09902269089423,0,-0,2.20344176159547,0,-0,-0,0,0,0
VP,0,-0,-0,0,-0,-0,-0,0,2.04271185088273,0,0,0,-0,0,0,-0,-0,-0,-0,0,-0,0,0,-0,-0,0,0,-0,0,-0,0,-0,0,-0,0,0,-0,-0,0,0,0,-0,-0,0,-0,0,0,-0,-0,0,-0,-0
Cl,-0,-0,-0,-0,0,-0,-0,0,0,0,0,-0,0,0,-0,-0,-0,-2.08407713875481,-0,-0,0,0,0,-0,-0,-0,-2.03797977139546,-0,0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,0,-2.39130691121537,-0,0,-0,-0,-2.31337931204426,0,-0,-0,0,0
Amyg,-0,-0,0,0,-0,-0,-0,0,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,-0,0,-2.03096922299077,0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,-0,0,-0,-0,-0,0,-2.15367953215632
