Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
CP,0,0,0,0,0,2.9532768760132,2.48101742327556,-0,-0,0,0,2.23445402700556,0,0,-0,0,2.22834405871219,0,2.78577662485447,0,-0,0,0,-0,0,0,0,-0,0,-0,0,-0,-0,-0,2.22333952406385,0,0,-0,-0,0,-0,0,-0,-0,0,0,2.1107409173034,-0,0,0,0,0
Pall,0,0,0,0,0,0,0,-2.42544408228688,0,0,-0,0,2.07864092193855,-0,0,0,2.09604691166563,0,0,-0,0,0,0,0,0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,0,0,0,0,0,0,0,-0,0,0,-0,0,0
VP,0,0,0,0,0,0,0,-0,-0,0,-0,0,0,-0,0,2.1189468262007,2.5823099725927,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,-0,-0,-0,-0,0,0,2.54413619331563,0,0,-0,0,0,0,0,0,-0,0,0,-0,3.07930464468371,0
Cl,0,0,0,0,-0,2.44984893958652,0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,-0,0,2.47243499433686,3.5597174198002,0,-0,0,-0,-0,0,-0,0,0,0,0,-0,-0,-0,0,-0,-0,0,0,0,-0,0,-0,-0,-0
Amyg,-0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,-0,0,0,-0,-0,-3.16692071098545,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,0,0,-0,0
ZI,-0,-0,-0,0,0,0,0,-0,-0,0,0,-0,-0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,-0,-0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,-0,0,-0,2.07345294279399,2.11953417609998,0
I_dors,0,0,0,0,0,0,0,0,-0,2.33426738929624,2.6695963153129,0,0,-0,0,0,0,0,0,0,-0,0,2.47243499433686,-0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,-0,0,2.11196172488977,-0,-0,0,0,0,-0,-0,-0,-0,-0
I_ventr,0,0,0,0,0,0,-0,0,0,0,0,0,-0,-0,0,0,2.72101961320572,0,0,0,-0,0,3.5597174198002,-0,-0,0,0,0,0,0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,0,0,0,-0,-0,-0,-0
I_post,0,3.44220497001837,0,0,0,-0,-0,-0,-0,-0,2.40764535491546,0,0,-0,-0,0,0,0,0,-0,0,0,0,-3.16692071098545,0,0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0,-0,0,-0,-0,0,0,0,0,0,0,-0,0,0,-0,-0
Gust,0,0,0,-0,0,0,0,-0,-0,0,2.59740496225642,0,0,-0,-0,0,-0,0,0,0,-0,-0,-0,-0,0,0,0,-0,0,0,0,0,0,-0,0,0,-0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-2.18041281318165,-0,0,-0,-3.36594610721774
