TimeIndex,Animal_1,Animal_2,Animal_3,Animal_4,Animal_5,Animal_6,Animal_7,Animal_8,Animal_9
85,38693.0699180497,22232.0995353995,35093.8603082198,26331.3343638787,31914.1278870289,34555.7811306975,41532.2494366413,40965.1216632406,53070.7972286045
86,38559.4128574676,22236.3863332814,34771.4143303745,26366.3863198539,33206.9484418909,34971.8823669482,41758.4989073924,41017.1052707199,53019.6929405154
87,38376.2341694305,20850.3913298369,34460.1161964397,26849.4753738877,33477.583819941,35083.9185539873,41261.1785584506,40963.2517319056,53301.5439847972
88,38454.2446656192,15814.4998360493,34480.3146519658,27378.464114264,33898.9555485739,35251.7959647466,41081.1609095383,40513.6798521854,53291.1538645215
89,38232.5023953911,15636.0492623489,34278.0657136984,27236.9016479937,33871.5523312489,35402.5283151122,41088.1422247262,40495.1704700657,53347.7158487237
90,38141.6018364043,15636.0492623489,34260.9029047267,27252.0809550517,33790.0706569214,35291.0514669758,41116.9937175017,40718.3753507325,52429.2928199203
91,38199.0809526726,15803.2143814228,34159.7317495643,27620.4877952515,33659.0347618718,34841.8373260256,40886.3023115545,41094.9768851601,51857.9102487785
92,38135.9031192583,16347.0056831495,34137.6720335094,27087.1532811802,33728.7379889958,34685.2549533485,41342.1243558386,41094.9768851601,51851.8763285151
93,38361.6464559961,16347.0080131059,33873.8655891643,27087.1532811802,33852.0316094331,34553.6121874112,41347.6956534053,40797.4149910495,51903.6788632555
94,38263.1026365011,16923.0412387202,33863.2105492427,27401.9736306988,33212.4590838769,34386.8900506798,41306.9277235022,41017.291495851,51972.4422576216
95,38271.1858251388,17145.4059741762,34002.4105618519,27353.9592406477,33209.6879930044,34382.071487921,40998.340931066,41009.2768432815,51951.0888064746
96,38345.2705349364,17145.4059741762,33898.7864370603,27348.8590231878,31049.9855940515,34182.544686429,40913.6949176625,41001.9314635621,51961.4582073682
97,37963.6554789202,17093.919878827,33927.4200498779,28002.0757448287,31158.490467556,33198.5543350234,40735.3953202228,40699.4937513261,52065.4396992642
98,38061.130703814,17145.6576210949,33988.5193253216,28649.3538533765,30247.8381193297,33186.8046225482,40767.7233271117,40359.4522087852,51871.1294864598
99,37867.7273047331,17176.1657490641,34008.5027459836,29368.9637870737,30260.6229194667,33266.3103972484,40551.5447217807,40381.8865093326,51871.4819541459
100,33632.1049086008,17176.1657490641,34570.1009046058,29477.0350304579,31262.3432741799,33293.9509104942,40545.2258135517,40441.2331256394,51551.3002838701
101,33617.9147665549,17232.7597704999,34316.2988700349,29713.4407155153,31691.6591209433,33568.0023194317,40721.890788134,40247.6814686813,52779.5031051299
102,31359.5848765515,17559.7586438795,34327.7975657296,29264.065905488,31734.7211889391,33550.2505466462,40086.4200568071,40359.7852969915,52779.5031051299
103,31257.4827756117,17559.7586438795,34001.5182020871,29295.7887361223,31905.486889651,35007.932246227,39971.9263213029,40376.6893723215,53362.4293473775
104,31462.6466237372,17440.4033310536,34097.8702050076,29238.1487205866,31728.3413316796,35245.9583335016,39987.3475247171,40459.46460156,53001.3898966185
105,32877.8592625673,18655.1075547118,34071.0422131633,28725.1699933982,31261.834630138,35291.8165339387,40511.1151023785,40503.4816263746,53003.8262828549
106,33406.4157555651,18646.2447278317,34326.1295534412,28697.5797437668,31251.4911738355,35447.0106434328,40876.9242756695,40619.8978047354,53209.2687336306
107,34971.0610025494,21277.2295615572,34344.4421652638,28680.7034157765,30299.6876917874,35938.1931654469,40870.7217522707,40447.1392399821,53515.6407275419
108,34895.0277274919,21001.2803620662,34058.9085440784,28038.7762037621,31561.4513189859,35938.1931654469,40898.8673406642,40312.016689667,53513.4859005821
109,35399.649433388,20889.9399180999,34066.7520077414,27450.1217704178,31532.7035169325,36027.0516026647,40373.661161288,40590.7740400395,53470.7534584297
110,35683.803571481,20887.720401943,33775.7031675115,27459.7961336712,31562.5938176188,35588.0458271526,40370.9455129007,40512.0281451769,53370.3039876261
111,35695.6823354855,20702.9160545508,33781.1008215154,28062.9136667399,32213.0634930069,35722.7122612854,40905.273726656,40413.88281757,53454.3386083366
112,35674.8261684168,20616.4152648473,33799.5354338551,28327.3611166577,32204.3557860446,35722.7122612854,40888.2549846172,40545.1326261771,53517.3144321747
113,35316.1235027038,20625.8316464914,33743.3249582728,28497.3197071992,32473.9073672769,35465.1216568814,40905.1058204133,40545.1326261771,53552.1863880386
114,32288.9759250158,20311.5129244384,33554.5212532329,28607.5942188466,32259.5692268071,35539.352243704,40583.8443468617,40664.3774230063,53492.1139569025
115,32288.9902160627,20081.1066402717,33596.1926799578,29068.3249491949,32186.61819137,35539.352243704,40526.2441447163,40647.2135361979,53430.2605232555
116,32716.8687029636,19761.801452084,33469.2965284666,29268.3085250645,32235.2496613839,34804.3453746969,40543.7689670411,40674.0306067673,53466.6182641168
117,33481.8785078382,19718.092317378,33442.1058791533,29279.7775274622,30966.6876568835,34686.2291292897,40543.7689670411,40622.017593559,53751.9706055743
118,33464.5054910804,19748.1727186223,33562.5703823196,29083.4307029504,28954.7275311464,34678.9805992202,40281.2486033211,40460.2654916458,53760.6056085571
119,34021.1230136587,19595.2702764318,33528.375461195,29080.9065060561,28952.3464837213,34843.793816416,40438.0340913225,39973.2088199914,53729.9108641747
120,32009.0472048973,19501.7810668138,34003.3251477153,29806.1093863001,32935.5574953688,34257.7397795746,40418.3148662279,41815.552421944,52449.3043198835
121,32752.7158212947,19602.2570075477,33965.9422590404,29404.7314659783,32935.5574953688,34266.5920880599,38947.9207931109,42162.0586929551,52398.3063526875
122,33221.1772716777,19430.6807389711,34194.7251756374,29407.6475234083,33404.0357266313,34367.1137150037,39035.2979096901,41846.3984351283,52418.4554405238
123,33196.1885025939,19507.8245024962,34150.4916515523,29081.4455412577,33824.1301657576,34338.6414563539,39008.9329675991,41829.6067092946,52424.3983624207
124,33358.226614038,19298.3897574223,35319.5050922297,28721.9139033379,34218.8503608,34362.7643811747,39626.0568874044,42189.4887652502,52234.8019579106
125,33739.5071687032,19298.3897574223,35312.5531291947,28754.2367504997,34218.8503608,34081.0007969197,40407.3627473282,41979.0365969293,52234.8019579106
126,33822.7098186574,19313.8526084311,35682.3535220539,28761.8644743104,34149.9788705763,34079.0849306777,40398.198425787,41992.9643206677,52286.1400007465
127,33742.8236799948,19294.9025820093,35751.662045232,29194.0149327069,34081.5927850827,34103.2348081598,40618.9854786827,42007.9923410704,52127.9840321396
128,33581.0666893989,19282.5601133795,35767.4945224042,29662.1963360104,34110.8031399497,34167.7043761599,40566.3101834966,42000.3919331394,51972.5921413716
129,33548.9963441512,19374.8738043637,35945.058012484,29605.2925855308,33873.7558542045,34245.5417843271,40758.0421116174,41908.8554339579,52200.8643307541
130,33548.9963441512,19457.1720833212,36369.0227127448,29897.5468214969,33765.6476642114,34236.5500660106,40758.0421116174,41853.9215888843,51968.9766886778
131,33531.7741955781,19694.8258761526,36248.6142447112,29921.3021453494,33765.6476642114,34324.4792847709,40524.7769678046,41758.4316740582,51965.8285442406
132,33637.5101142908,19668.8593772451,36243.1596903865,30084.9503797825,33775.9518134087,34074.5137981234,40472.1267414659,41417.3330098678,51958.5804087504
133,33501.9831866847,19868.0143139634,35801.1347525659,30122.2378847539,33727.1004690718,34080.029890639,40472.1267414659,41337.8296268659,52370.8439828057
134,33560.0596750664,20023.8698441087,35855.1076429035,30440.1009345711,33748.3728292046,34107.5027092756,40546.2394705617,41314.6275950683,52424.870788949
135,33406.1945318456,20019.5069528682,35849.5087547153,30522.7419068475,33620.0866708847,33901.5866608421,40586.0312343858,41367.702191921,52831.6807071408
136,33318.6306399209,20584.5027100131,35518.6168443857,30546.018010052,32223.2370484162,33779.9601671432,40560.1403075192,41464.8622409807,52548.2205050462
137,33371.8571706792,20918.7267498019,35540.8900320304,NaN,30519.4932981593,34105.5440378314,40661.9491802678,41464.8622409807,52429.5794210754
138,30172.4821826631,20917.1111278868,35226.2542472875,NaN,30591.7233230471,33162.7819636961,40585.9634555548,41332.3937623724,52426.6426721669
139,31599.6939876029,20950.1237116637,35269.2943873721,NaN,32474.1304067181,33951.6846529963,39979.885735611,39077.109764833,52445.5754839244
140,31669.0495911078,24783.4199637419,35041.7449403754,NaN,32122.2215854887,33951.6846529963,39991.3594124024,39078.8941114113,52512.513683031
141,31762.1688006108,25949.7357292078,34362.1928546328,NaN,32162.5307541806,34328.2146372423,39399.5972968308,38772.3871163016,52657.7467675288
142,33785.1327760099,25879.7188074599,34331.3584583199,NaN,32141.5093899614,33880.9189670249,39059.580466938,39385.7817268161,52842.0179679619
143,34372.7169832232,27306.0580285613,34857.0205938291,NaN,33057.6688291249,33869.5156321607,39019.843322986,39385.7817268161,52602.4814026895
144,34391.40340212,28744.9236481605,35413.0194132905,NaN,32619.9758109795,NaN,38000.6168991737,38854.5213417558,52599.4995414306
145,34288.8478599288,31008.3328023846,35441.6622673391,NaN,32636.1214146926,NaN,38049.3543653162,38482.9530305717,52599.7831670897
146,34215.5898687309,31044.2151497834,35936.9583121406,NaN,29051.5365977717,NaN,38133.0331757579,38960.566807237,51948.1134906344
147,34233.6726480846,32224.6258297427,36134.8550603031,NaN,28708.7519880532,NaN,38082.9088509081,38960.566807237,51041.0348214451
148,34051.7408954762,32520.5482884831,35906.7588744995,25996.4233124144,28762.2406137257,NaN,38136.8082238277,39155.9171465465,51962.8683112505
149,34011.8158235577,32421.0957611335,35601.469255329,26010.6878132301,30110.026785377,NaN,38355.8363410392,39012.0200569682,51878.4669117403
150,33550.0564157704,32430.1164920072,35457.0324281829,26798.6449389673,28919.8618076109,NaN,38389.4459859264,39012.0200569682,51202.7228469897
151,33558.5643855168,33094.2437045695,34575.3573153213,26888.6787951122,27919.0878052504,NaN,38624.6189252202,37470.0313201515,51419.8369768506
152,33483.9526061381,33094.2437045695,34572.1609287288,27716.432814099,27886.791194103,NaN,38884.4830415372,38977.3459431845,51457.4777323457
153,32959.6960960189,32683.142916823,34460.4864559437,27734.7985056,29421.8905279199,NaN,38840.8972479448,39574.6030566433,51198.9436341243
154,33221.3940605079,32352.6744162829,34942.6498760306,26823.6396417462,30194.4658611527,NaN,38681.6438651598,39555.0067543811,52244.1440015523
155,32979.9581094912,32352.6744162829,34916.036062185,27652.1123260704,30209.2557868241,NaN,39404.0936610689,40062.1449307553,52240.512543171
156,32907.2454496751,32450.0514741796,35372.5753809372,27652.1123260704,30147.0276279966,29465.0598633614,39399.8011062484,40494.4013581668,52925.2065346338
157,33028.7753006917,32231.1439976514,35668.7950008613,26586.0397709651,31069.9280100738,29416.6051473312,40106.6254341371,40424.9944925162,52550.3038525441
158,33087.79199745,32021.629448953,36054.970004367,24831.3975499706,30917.6389383034,28603.2259212476,40343.6391210588,39745.8523043628,52158.7661053595
159,32808.1935581547,32004.4107094146,36054.970004367,25040.4047361545,31245.566536251,26364.6896250088,40461.5257445597,40246.0488623593,52148.7649254737
160,33009.3261269347,32024.5498648513,NaN,25033.6745274574,31213.2349525415,26334.7596068821,40462.981269843,40246.0488623593,52594.7986846426
161,32938.8281794354,31906.782222263,NaN,25776.4637545987,30521.4955343095,29496.4427726821,40662.8708736179,40809.5986122662,52806.9056786726
162,32963.0560976203,31934.4255115129,NaN,27200.046416362,30519.0123805668,30989.7054623727,40309.6771026289,40988.9789999502,52671.9243183083
163,33523.250182142,31746.2264958517,NaN,27200.046416362,31348.4142228883,30942.243318959,40326.7323233156,41107.3419414074,51881.9175203297
164,33262.4961875655,31142.6687880325,NaN,28155.6629483748,31147.7472323738,32237.3760750714,40242.3168498062,41104.9396017165,51885.3845723754
165,33034.5297807695,31560.7850778887,NaN,29514.3651353321,31154.5974912752,32948.6656674787,40059.1904667632,41078.8229797697,51840.6674496042
166,33570.4813352295,31560.7850778887,NaN,29520.2674903655,30968.4051490122,33368.9261701219,40075.8928984376,41533.8454478911,51428.8275500235
167,33570.4813352295,31658.960239353,35197.1703250577,29190.2619261061,31569.4418208022,33360.949797472,40067.8188100254,41524.1182217046,51858.5865373235
168,34701.5793737729,31415.6034175052,34484.3799312376,29538.500175972,31563.2875085581,33718.9566266112,40216.896734124,41785.4794187399,51862.7929756585
169,34808.0437119521,31415.6034175052,34484.3799312376,30297.306668623,32155.6743658002,34015.3827872633,40210.6731153905,41663.4373994425,51883.2813574212
170,36072.9342694751,31821.3699385341,34509.2314088896,30297.306668623,32539.4739596914,33922.3156520999,40234.8343236305,41551.4804517744,52057.7331222351
171,36041.6471342432,31851.8626279622,34923.2408584269,30722.115356437,30817.0554111493,33991.9158873032,40373.7089300926,41480.0484901319,51640.6493951538
172,36593.7755990529,31758.4453653339,34859.5093074588,30255.2323617148,30913.9481265399,34694.3592061369,40317.1265644541,41349.8701564905,51728.9943594695
173,37898.0591057523,31845.6187448081,35259.9618766315,30232.2064873572,33064.9961705866,34706.1426250044,40590.7804032114,40856.4421048147,50940.0206483287
174,37898.6981677906,31528.9753397864,35648.3421430237,29950.0127753889,33825.4675729315,35587.7780682098,40572.0649434356,40825.5977547,51764.8155805393
175,37642.6526910783,31519.2388242808,35810.6573427855,29948.2272064847,33826.1584125784,35742.0699708696,40580.9518993293,41031.6963563074,51765.0724340203
176,37973.5497488486,31310.2741616991,35805.0358695704,29643.3218822781,34057.9486609611,35708.8052999847,40643.5640905076,41420.355009397,52062.1518764357
177,37933.8721693992,31185.6139138733,NaN,29605.8692934351,34112.1601488645,35695.656238464,40659.2516229128,41420.355009397,50587.9091718879
178,38221.9163669637,31244.4332910966,NaN,29275.4048101569,34104.5666465524,35813.5361806977,40512.4605280699,42073.8063400885,50755.7907218636
179,37734.9572795056,31266.2821508581,NaN,28922.7215147471,34249.8154247369,35003.7302042921,40635.4890885431,40040.0030660069,50718.0487480154
180,37075.9215628215,31064.8346729804,NaN,28967.9282917571,34235.7960222493,35000.2627837484,40689.2623971462,40079.1144152286,50634.9349148473
181,37076.0019412486,31158.2177950958,NaN,28924.1478667828,34022.8788503467,35678.857166049,40460.7837630544,41318.2761865807,50790.1553161098
182,35863.4470045692,30778.1068766958,NaN,28771.9753714062,34034.9059653266,35446.8005839552,40616.9176067106,41543.498494329,50724.7347477895
183,35714.8882101156,30768.350524122,32587.6382474292,28771.9753714062,33825.679863341,34848.1479374625,40532.4439386908,41285.6559609288,52496.3039712839
184,35429.1727953477,29484.5881770359,33711.2347322553,28625.301290607,31194.1879824242,34840.5322350301,40513.0317743615,41372.5549533343,52906.6188715363
185,35429.1727953477,29242.3782179341,34025.5540352298,28696.4488940855,31186.1467755807,35586.0742048247,40571.6559089039,40926.9071554292,52840.0679915142
186,34186.1121004653,29273.9602822021,34012.5439952162,28678.8590022165,32365.220711577,34145.3992091556,40621.8582448621,39127.6199781423,52850.4773985567
187,34508.5660757586,29671.7036105041,34520.4436332011,29068.6715863374,32952.728842213,34153.6444156248,40695.4014692353,38965.6395920723,52367.4919756433
188,34523.8041767458,30457.5443614641,34973.9819082728,29266.3436237297,33071.3074980611,34052.4449234492,40710.6620168577,38303.2287960402,52450.4877721905
189,34167.7920192539,30480.0954937433,34788.5335588012,29315.2943427441,33252.814239749,33862.3903311146,40585.5167033465,37807.1572146922,52468.6794842056
190,33867.9493635001,30890.4217068282,35181.0618257575,29399.9100972574,32655.5141776701,33884.956487801,40490.9362847282,37093.0992637354,52501.0255317245
191,33858.3369187651,30722.2051265873,35505.5193875071,29270.2459356597,33520.2607358231,33455.7466639887,40543.0126754235,37093.0992637354,52269.8920439351
192,33448.3972831771,30583.9938544828,35577.9752497456,29303.5941838124,33520.2607358231,32330.8757221051,40566.0162926143,37267.6788117675,52184.9531581889
193,33469.9991835814,30514.1066636171,35315.9691257599,29308.7394505543,33473.0873865422,31345.0146631085,40588.615727053,37638.8016824657,52200.7214730473
194,33624.6297873398,30385.1572127278,35475.9412104562,29053.6772674649,33412.3871191197,31367.5473058297,40588.615727053,37639.2374638808,52169.7913190367
