TimeIndex,Animal_1,Animal_2,Animal_3,Animal_4,Animal_5,Animal_6,Animal_7,Animal_8,Animal_9
1,29536.3269799385,23939.7209490201,32140.5746010268,26569.2515759691,26363.486100988,34723.9451075054,40233.590678316,39250.7287185151,42322.0448537641
2,30717.9440916546,23939.7209490201,31975.844472965,26809.469803646,25367.5011924224,34738.98511256,40005.8369330963,38971.1410042899,42069.502032834
3,30717.9440916546,25028.1569579444,31720.7294167854,27740.8450874568,23934.6410882831,34175.7975743583,39905.3766709867,38770.3987550873,42106.4337225242
4,32654.8305632493,25405.9849175918,31793.3317854509,28304.7318535734,23928.5718563895,34103.6588928966,40161.8349475584,38213.4161342462,42123.776820007
5,33095.084352514,25381.6096221115,31692.0471422047,28326.7744405652,26287.4235855283,33703.4968998646,40161.8349475584,38330.9034539117,42045.3571480297
6,33829.5562531991,25855.0541646697,31497.4740736619,28909.0993568805,27293.7777955381,33692.60032643,40096.6802332829,37868.2595962845,42006.690256189
7,33711.4513650648,26030.8642074144,31435.5742161659,29001.5307970563,27718.9130927869,33683.9997162368,40109.9507984421,37989.5985179452,42011.3059915885
8,34288.3828700465,25951.6821811273,31351.63551652,28600.4456625296,27718.9130927869,34077.4185189431,40016.2227135943,37989.5985179452,42095.9424815326
9,33937.6936591225,25951.6821811273,31637.5796149291,28586.0352559927,27971.452791051,34576.0243096009,40016.2227135943,37806.7112464629,41843.4452976274
10,33902.6651654046,25474.3256013257,31823.3926734085,27901.4884218973,28203.9122909204,34577.8184534923,40174.1579338861,37787.7208514551,42097.2086401327
11,33691.4163937575,25239.2538663093,31826.8763202484,25759.0610294202,28171.6220483763,35111.731919221,40103.4427648634,37706.4975341897,42204.9254051455
12,33570.9839759642,25262.5196976069,31767.4828137454,25748.1401502931,28037.1017087627,35354.9300971111,40103.4427648634,37706.4975341897,42688.0282100159
13,33611.9882115661,25005.2871976518,31810.177174368,25993.2351633694,27744.785258321,35557.1700697026,40155.4419205192,37603.8270179431,42599.4294900513
14,33541.1272023604,24856.8291883807,31812.9995179568,26438.9165202853,27810.2864123243,35792.9720631141,39984.6464042796,37656.7098460284,42574.4343927941
15,33440.3995107301,24431.6503356741,31448.6175274229,26438.9165202853,27751.0471327087,35671.2934492469,40025.5426938311,37631.0500785105,42412.6808650314
16,32985.6534710692,24464.6522274493,31594.1897940131,27626.3395363749,27868.9767664678,35721.3248868987,38789.7552349894,37548.5482165457,42179.273329626
17,32990.9350499338,24412.2566784597,31649.8781292909,27911.1890413266,28088.6818954383,35788.3717337099,38489.5631039655,37662.8490206889,42315.7534284438
18,33013.3173648597,24194.6645340348,31522.7993543551,28220.0742328121,28109.7762451504,35544.1641152614,37836.0555960263,37636.5955015644,42481.597744454
19,33214.5497253922,24196.9186064968,31417.7811385466,28222.5688863974,28191.3715850151,35168.6559648573,37560.9225682145,37573.8858258909,42529.1818547652
20,33307.2607404851,26308.6482404976,31280.4121177145,28260.1814256748,28220.1748408104,34913.1716214544,37419.0748767827,37626.7332021771,42577.4931664982
21,33265.8250285837,28626.1715515489,31369.550306862,28085.4536612678,28221.8961662561,35011.5702165518,37543.6098478024,37605.2619260284,42579.8667949817
22,32858.749138851,28787.9025080126,30846.6791435976,28066.8213560177,NaN,34465.3551875426,37688.9724880889,37640.6234921117,44272.297216861
23,33006.571104495,NaN,30815.476574026,25976.2057915356,NaN,34066.1175286896,37674.647972335,37662.4878019426,42256.3161500141
24,33029.0401780932,NaN,30811.4435262932,NaN,NaN,34052.1492691251,37779.8506320771,37760.8130615941,42236.8553320785
25,32754.4600074372,NaN,30810.3662564335,NaN,NaN,33616.2365593109,37955.5731717735,37760.8130615941,44679.1846440197
26,31722.9719906019,NaN,31675.8238983779,NaN,NaN,33048.2407920577,37499.9114473758,37400.8137481718,46212.2041495234
27,31706.3875776902,NaN,31677.4968908048,NaN,NaN,32265.8668076425,36252.5735822978,33282.1813648099,47529.7739655139
28,33516.6017634391,NaN,32875.3272766584,NaN,NaN,32234.8205157957,36968.8952689432,33264.650317222,47436.0316859596
29,34668.9849980773,NaN,33249.3463462539,NaN,NaN,31682.0404663365,37126.5002359358,34567.041439025,49052.7760250764
30,34631.9467129042,NaN,34096.7245312465,NaN,NaN,32806.7906876068,37101.4815417309,33648.0841139687,49345.528164198
31,34794.334082419,NaN,34038.1203894271,NaN,NaN,32967.4396308164,37307.0462687405,31941.6946735333,49364.9814312503
32,35771.9442660136,NaN,35164.8354815942,NaN,NaN,NaN,37532.0531419123,31794.9830510083,50437.1625444434
33,36462.2759341053,34029.922151452,35344.5103844981,NaN,NaN,NaN,37532.0531419123,32022.9652035004,51175.6495261924
34,36462.1767048928,34754.3467016548,35394.8678968442,NaN,NaN,NaN,37572.8630882743,36591.5469036886,51080.9876531195
35,37102.1756852748,35535.9703605226,34546.0698398349,NaN,NaN,NaN,38056.6800757869,36811.5754101932,51653.7283191284
36,37462.108686044,35569.5520364731,34883.6313705329,NaN,NaN,NaN,38119.7406054079,37616.142404717,51581.9065979337
37,37467.2467958635,35795.2278134984,34912.99435026,25571.276995328,NaN,NaN,38448.537594927,38083.4377273635,50822.6184741549
38,38440.4405045337,36006.8439912604,34923.1240318987,27261.027677394,NaN,NaN,38559.248126088,38078.9881527436,50603.9552796179
39,37616.5335526296,36025.2680872966,35518.0898801071,27261.027677394,27943.5283156729,NaN,38559.248126088,39049.9487227257,51243.1525407586
40,37565.4637755021,36121.4747897153,35722.3310701441,28118.4041871168,29528.4417155128,32155.5871185701,38496.462789451,39200.008519617,51392.1713747958
41,37269.7806652697,35937.6535541673,35739.3254533132,27652.7147548937,30691.3824612126,32158.5999473068,38506.0989285705,39682.5567883481,51398.2695503882
42,37015.8231689609,35937.6532949388,35778.5085018428,27640.8394853809,30691.3824612126,33182.2821523651,38530.6309872515,39657.384655322,51021.9692794051
43,37587.2588081094,35617.1113210727,36291.4265803499,26418.9125914649,32057.9256813441,33769.6988994943,38363.9228092342,38957.2948289787,50101.1361055793
44,37574.7373586865,34859.7878262238,36528.5714552745,NaN,32191.4500174271,33594.5062537576,38960.5551883204,39757.4617922829,50074.0821206136
45,37812.8602385392,31969.8019194628,36549.3332060001,NaN,32187.8026068563,34425.3925696448,38956.9034260658,39758.4158022051,50907.4115922614
46,37445.5950801665,31774.4692525171,36934.6747237509,NaN,32365.7618546974,34574.556095844,38786.8120818822,40004.4643690051,50367.4285494739
47,37549.0963475476,28891.242019745,37508.7015303772,NaN,31527.5019923961,32555.7132120934,38778.8738807739,40173.1283046805,50129.3208531777
48,37791.7254809415,29405.1529106034,37290.6482563298,NaN,31552.0164534099,32446.1007363382,39144.1417177609,40187.2744589867,50139.0506348839
49,38056.5866575824,29313.2308828007,37134.8614357651,NaN,29915.9133366624,33716.4935248258,39152.7968272087,40189.8778635196,50396.6852888334
50,38057.7301233857,25528.622467543,37171.0069022065,23895.5901667996,30762.9829229556,33930.0706615431,39189.1557074193,39459.358249662,51684.190659874
51,38035.0900422003,12603.0001751711,37171.0106843691,25017.0512615145,30731.8055714579,33940.028139987,39687.1948958117,39976.9541547475,51695.2657776044
52,38384.4306672668,13269.2648902657,37107.6968934576,25814.8916597017,32469.9603423004,35012.8540431228,40402.8040676184,39762.4592610463,51594.627262623
53,39316.4835726375,13238.5157624998,37172.6483561106,25814.8916597017,32469.8340290181,34157.8164770489,40407.9773426554,39854.6913785978,52024.6927131719
54,39308.2334932035,14288.2138985538,36982.2635228074,26715.3497795929,32583.3398612394,34176.5387612904,40289.257199898,39497.6878155437,51946.009270564
55,40468.6276962707,15346.8413054813,36982.2635228074,27217.1019596293,32613.9599109178,34790.3232299322,40030.9073568312,39547.5956812684,51978.8700392856
56,40457.3715952967,15314.8402524329,37526.7506673634,27206.6885207511,33380.8959756317,35333.8345563696,40030.9073568312,39457.950406248,52238.8297601056
57,40493.512453244,16952.3044183441,37509.3324545263,27553.262675845,33412.8985235042,35462.1075531234,38797.6514332225,40020.7101321785,51714.8946968597
58,40734.5071398198,16829.9818576663,37468.4819857419,27657.7988477301,33426.6690636782,35485.5443826722,39988.0829849206,41067.305373802,51852.1074335602
59,40586.3071630675,16971.624425598,37414.3882339688,27647.6377119826,32987.9161324689,35404.9673249268,40053.3184693132,41277.3089966981,52100.5780544505
60,41266.4494399971,17478.136726992,37425.8810161523,27508.3185358057,33009.4322021101,34852.3408388412,39891.4613737125,41461.6915600129,52265.2165740776
61,41315.5132708913,17596.4729875382,37444.6686506687,27378.9621545637,33372.2052343787,34870.3130980155,40157.6542346997,41776.300794253,52123.7653992718
62,41139.4907851987,17429.5517559262,37119.8850538521,27384.9975706964,33330.5085137157,35318.546164282,40105.8637950314,41763.6791102623,51675.5089194965
63,40878.1084909179,17538.3379216961,36956.5138039345,27161.7957381384,33195.0689469069,35419.9265115846,40105.8637950314,40485.0356182227,51949.949190348
64,40880.5035753981,17904.23017937,36546.9205426054,27053.9512032243,33547.7536745421,35446.372955635,40782.4321879896,41565.7097524427,52384.0000238448
65,40921.0666987296,18016.6824367513,36557.6651951592,26962.169559491,33564.3674823437,35563.1701849779,39999.05828424,41517.438329708,52403.8047865388
66,41512.5590818271,18020.0245035374,35868.6211590002,26967.6482742966,33772.391283987,35650.6810837865,39981.0419712787,40904.5897303474,52468.6997384981
67,41489.3265073738,20843.4811104915,35529.4979665043,26846.628009287,34405.5451765728,35817.0609492446,40392.7687962095,40889.2848878066,52830.8235549127
68,41612.3571472384,22778.662794734,35167.5605148378,26682.9161921037,34760.354588796,35817.0609492446,40506.6465638191,41279.559728972,52893.3417573561
69,41034.3069062317,22765.198193669,35821.4847304587,26687.9565206207,34876.3371465928,35960.0688343797,40256.0763433174,41144.135864055,53230.5396775785
70,41164.1461580739,23592.1600041655,35625.8744418661,26370.1270221113,35082.072342706,35932.7156958117,40256.0763433174,41274.0446319232,52697.6148818612
71,41208.7394530356,23873.0204873946,35789.0738576617,26241.0477431991,35162.2639517582,35926.8430635735,40254.8927630034,41913.2013440384,52691.9886817738
72,40953.5299272641,23960.710341364,35813.7859299201,26009.6868048577,35009.5846674934,35621.2739103692,40511.936992599,41868.7252920632,53707.57968959
73,40642.0957515274,23960.710341364,35309.9860943873,26009.6868048577,34893.0454528879,35361.6376639506,40517.2679514142,42317.4078657284,53826.7876826137
74,40678.117111446,24330.2365182735,35383.8973684136,22514.3212237736,33796.9438184512,35165.9776797536,40686.3235969234,42343.6012742666,53425.3009842822
75,40559.2970137367,24362.2602131352,35238.9213987753,22041.433542586,33781.696198192,35184.8566729746,41261.7855313032,42594.7998689587,53395.5326844356
76,40334.4845780445,24362.2602131352,35461.0981643528,22025.1934721295,33488.0743553764,35124.977539711,41290.6590049572,42665.6570839805,53243.569641383
77,40302.6071935725,24531.4017918205,35889.8383183475,21873.1876899418,34423.107914066,35066.4215248655,41606.6186910469,42987.7884887071,53976.9457533249
78,39734.8595326574,24397.5756072754,35889.8383183475,22264.9500372802,34595.276730553,35018.374254899,41720.691612571,42750.8231671335,54008.5228416367
79,37838.4282257068,23242.3715015393,35168.647334792,22272.5110356612,34617.770403112,34755.8261569813,41704.7822270959,42776.8405328636,54670.4858889586
80,38743.2147150277,23199.1233615187,34965.8357157809,22963.7379622594,34602.6230929302,34843.4228004312,42336.681172928,43181.6168075905,53770.1936562346
81,38676.1108992569,22476.004091838,35028.4328102388,23482.2344850563,34645.0704863791,34846.9289052226,42426.2930644062,42493.3932821202,53837.2253339547
82,38560.8516086088,22395.0017246929,35028.4328102388,25162.140999479,34545.419982475,34298.694778095,42324.4707147032,42519.5630080917,53393.2582382547
83,38495.6838428703,22390.8568585332,35050.4243594137,25144.4237030238,34214.4130689443,34254.0903969595,42258.8075920568,42254.8089373952,53398.6013264595
84,38513.7399069632,22619.5910093388,35084.7383685758,25649.468759495,31963.9882314775,34566.3860759084,42046.4333740464,39887.769787752,53089.8911832425
