Statistic,Estimate,P
Predictor_vs_PRE_Pearson,-0.602047691372438,0.00185369863448481
Predictor_vs_PRE_Spearman,-0.629565217391304,0.00125596742070163
Predictor_vs_TEST_Pearson,0.377591808364757,0.0688990738190697
Predictor_vs_TEST_Spearman,0.361739130434783,0.0830830230883473
Predictor_vs_Delta_Pearson,0.634785781633446,0.000861948724905474
Predictor_vs_Delta_Spearman,0.628695652173913,0.00128063796718305
PRE_vs_TEST_PairedTTest,-0.379427781645856,0.707850865376464
PRE_vs_TEST_Permutation,NaN,1
