SubjectIndex,DeltaC_Pre,DeltaC_Test,DeltaC_TestMinusPre,BOLD_Pre,BOLD_Test,BOLD_TestMinusPre
1,0.249560612047178,0.0127330530419693,-0.236827559005208,0.156541915173089,0.137068838644605,-0.0194730765284836
2,0.246577985417667,0.108813654323455,-0.137764331094211,-0.571257571015415,0.168366012666878,0.739623583682293
3,0.298180198016989,0.0709239305825368,-0.227256267434452,0.388680062911196,-0.28805498491872,-0.676735047829916
4,0.310287389935034,0.143134872561759,-0.167152517373276,0.539375091961644,-0.106229774984279,-0.645604866945923
5,0.0577108644780462,0.0557306805662767,-0.00198018391176946,-0.390872451497728,-0.296857838334331,0.0940146131633974
6,0.268794868816165,0.0026173842311696,-0.266177484584996,0.20092906676409,-0.278060646484363,-0.478989713248453
7,0.144386652804539,0.00109042455132201,-0.143296228253217,-0.0507365691922353,-0.0720272289719097,-0.0212906597796744
8,0.0857045003703627,0.0919680904481006,0.00626359007773789,-0.634737105922656,-0.0181124379464031,0.616624667976253
9,0.0903786098818213,0.00612081297706279,-0.0842577969047585,0.120698893988119,-0.0366856996074889,-0.157384593595608
10,0.00103570315400687,0.0268632090279709,0.025827505873964,-0.303254646324628,0.0420750430071945,0.345329689331823
11,0,0.0537142831187975,0.0537142831187975,-0.511085658795662,0.0686976211256954,0.579783279921357
12,0.128142234392018,0.0442115142188314,-0.0839307201731863,0.678372911571919,-0.0652597907527878,-0.743632702324707
13,0.210488724933285,0,-0.210488724933285,0.160485471695292,-0.425155910285744,-0.585641381981036
14,0.359201862921123,0.149034601506876,-0.210167261414247,0.350123281273907,-0.0113790255891545,-0.361502306863061
15,0.322162437751796,0.188956550787102,-0.133205886964694,0.0841534250596253,-0.0838744173346608,-0.168027842394286
16,0.219139732490358,0.0860858945658581,-0.1330538379245,0.245166749596965,0.253245254548535,0.00807850495157009
17,0.24225762322032,0.178693598903145,-0.0635640243171749,-0.572546969159498,0.141317898558604,0.713864867718102
18,0.0635269027647331,0,-0.0635269027647331,-0.15971736569138,-0.0784630481794011,0.0812543175119785
19,0.230956553422393,0.0621003123675833,-0.16885624105481,-0.194395635079861,-0.0832897807282148,0.111105854351646
20,0.20454666981012,0.136509118343911,-0.0680375514662095,-0.203894365771867,0.093435169320327,0.297329535092194
21,0.138333550177439,0.0134569442713679,-0.124876605906071,-0.0120142959184139,0.109638215397993,0.121652511316407
22,0.131507811059698,0.0797565988373033,-0.0517512122223947,-0.268040819576027,-0.0298448177654955,0.238196001810531
23,0.138009429012619,0.000629861623007208,-0.137379567389612,-0.274679601888869,0.000759212155448827,0.275438814044318
24,0.0151453057581502,0.0718508665155686,0.0567055607574184,-0.197199116951811,0.263200610931145,0.460399727882956
