"Losses","ACME","CI_low","CI_high","p","label"
"Lower fraction of losses
(-1 SD)",0.520760303818783,0.0824105479621493,1.1744180944159,0.026,"ACME = 0.52
p=.026"
"Higher fraction of losses
(+1 SD)",0.139292002822184,-0.402971148865558,0.736388542362563,0.522,"ACME = 0.14
p=.522"
