"fraction_losses","deltaL_change","vHC_BOLD_fraction_losses_T001","fraction_losses_z","deltaL_change_z","vHC_BOLD_fraction_losses_T001_z"
0.075,0.291573635981172,0.0654,-0.250072340247811,1.05235825472223,-0.00256262973348144
0.1375,0.0733048276244939,0.7393,0.84353847716244,-0.603745759657588,1.66197344486232
0.0125,0.509939846849297,-0.6703,-1.34368315765806,2.70920130594122,-1.8197449862851
0.05,0.260902588424977,-0.5362,-0.687516667211911,0.819643166545065,-1.48851737446836
0.125,0.138929020282749,0.1838,0.62481631368039,-0.105825375522015,0.289885910453703
0.025,0.230363490774249,-0.4252,-1.12496099417601,0.587929241886345,-1.21434686804288
0.075,0.199602500975556,-0.0715,-0.250072340247811,0.354531721299417,-0.340706254324913
0.075,0.0972945618841951,0.4505,-0.250072340247811,-0.421724812594582,0.948636127243585
0.0125,0.114936342903558,-0.1971,-1.34368315765806,-0.287868653361638,-0.650938827361318
0.0625,0.0307505238082583,0.3027,-0.468794503729861,-0.926624479296,0.583569452922083
0.1625,-0.00367379058209916,0.5309,1.28098280412654,-1.18781729783644,1.14722449405988
0.0652,0.237340619575386,-0.7042,-0.421550516417738,0.640867868817986,-1.90347814095018
0.0652,0.290911996614147,-0.2927,-0.421550516417738,1.04733809806287,-0.88707126352597
0.1009,0.16803151807361,-0.0688,0.203119982486997,0.114988417263096,-0.334037242006455
0.055,0.142584112202947,-0.1678,-0.600027801819091,-0.0780925425646125,-0.578567693683239
0.1284,-0.0466885362917363,0.1262,0.684308742147507,-1.51418959804549,0.147613647659937
0.163,0.107821159132961,0.8023,1.28973169066582,-0.34185476568915,1.81758373229301
0.087,0.335213198064766,0.1985,-0.0400990633050427,1.38347131891378,0.326194977520862
0.0543,0.134450575758108,0.1844,-0.612276242974086,-0.139805356497196,0.291367913191138
0.1304,0.114963785439852,0.2586,0.719304288304635,-0.287660434446331,0.474642251720606
0,0.0733025030747683,0.0208,-1.56240532114011,-0.603763397066071,-0.112724833216154
0.0734,0.0734858946224006,0.0689,-0.278068777173513,-0.602371922578608,0.00608238623488972
0.1875,0.195051174132853,0.3061,1.71842713109064,0.319998749265053,0.591967468434215
0.2202,-0.101356977369123,0.4899,2.29060431075968,-1.92898374756134,1.04595430700182
