"effect","estimate","p","N"
"a",-0.497413016103639,0.0133938421750528,24
"b",-0.385239706658333,0.0255332926574608,24
"c_prime",0.50295620513169,0.00496201323805601,24
"c_total",0.694579449543493,0.000165919365096511,24
"ACME",0.191623244411803,0.034,24
"ADE",0.50295620513169,0,24
"proportion_mediated",0.275883838109154,0.034,24
