SparsityPercent,Animal_01,Animal_02,Animal_03,Animal_04,Animal_05,Animal_06,Animal_07,Animal_08,Animal_09,Animal_10,Animal_11,Animal_12,Animal_13,Animal_14,Animal_15,Animal_16,Animal_17,Animal_18,Animal_19,Animal_20,Animal_21,Animal_22,Animal_23,Animal_24
10,0.0676405625201835,0.0521224492288729,0.176930486792191,0.0255903349213421,-0.053761407262831,0.08833034614745,0.130552393340043,0.0953039982190395,0.0863125536923327,0.160151519906598,-0.10318958343734,-0.0812604317766836,0.21387163401323,0.146555182032413,0.112446547296655,-0.0062889925665226,0.157106688064306,-0.101183640822898,-0.0348352391882492,0.157298256926923,-0.178916622163397,-0.0902942526231899,-0.116908393556982,-0.0597571748401718
11,0.139430289862063,-0.0191337464401505,0.28930290041624,0.00456240252083731,0.00444628037165368,0.121519205358019,0.0330594774177351,0.142820078049246,-0.0392824448835058,0.152872049889479,-0.0434151056146461,-0.0775985223825663,0.16258411082727,0.149558404108099,0.162103925630025,-0.0173066670196476,0.191735969444682,-0.0209402869422116,-0.147700631863859,0.20536434332315,-0.286046715000367,-0.0455726845250399,0.010260869658112,-0.0208117242163039
12,0.168637619190375,0.0379165072761686,0.254216315771359,0.0412758941538028,-0.069066142365064,0.0702562802949855,0.0125765321032397,0.120455344783558,-0.0860163619110821,0.0998115616346472,-0.0111944970519867,-0.100464027154202,0.157040631295011,0.113836011608735,0.137004481232894,-0.00318829183038646,0.241722146180424,0.0240490328711786,-0.0915356072543282,0.15468814539425,-0.0985846424792241,-0.0352484400046549,-0.00540728281078476,-0.0729570945617239
13,0.090555267831829,-0.00495429911546968,0.273171967581655,0.0201875535557061,-0.0537560673780212,0.00029326667811308,0.0453264173794673,0.134844745781187,-0.113766816466688,0.120281751568507,-0.131983166790803,-0.11945087337888,0.139027818891624,0.125770437725634,0.187744949450882,0.0209107619699763,0.268115841857835,0.0663343733144785,-0.100052040612705,0.20795861619142,-0.119502644241233,-0.0133232972669923,-0.00481061632585367,-0.0897453070121725
14,0.102301189249353,-0.0374910614703169,0.285613726201472,0.0147664821432725,0.00565040895371804,-0.0624316405063338,-0.0292491704070089,0.0936845711870534,-0.0801585909762901,0.0950403337888363,-0.101107297440907,-0.104982816892362,0.0711486459154322,0.16619924532871,0.0298402628912157,-0.0154665051313973,0.203849959080842,0.0894838739122358,-0.113445324974371,0.14518119448567,-0.158711584159966,-0.0255424930843262,0.0379985694802814,-0.00461801082468932
15,0.209143128191826,0.0363868614978802,0.140972523033548,-0.00489685702368603,0.0654238501091999,-0.0356163043393503,0.0300667203617753,0.120123712802004,-0.152160224382476,0.0521296658736278,-0.0846610598785002,-0.134256198136592,0.0928389144562075,0.0582223097959674,0.0191833729006092,-0.104952456108373,0.175010739481317,0.0782809808113631,-0.0620139053774172,0.153754751596199,-0.115552852032199,-0.010030904122335,-0.0561264720943026,-0.0535789139942218
16,0.103612870092425,-0.0916292448847794,0.119913926248863,-0.0297429543702757,0.156829977503946,-0.0833061405891422,0.0651554335893729,0.0714570557111296,-0.120243071074521,0.10379155192664,-0.130179607006258,-0.21761981412323,0.170815025193739,0.0811630974883323,-0.00563339879498084,-0.215514665683067,0.0839280319989002,0.0581801063062273,-0.0442208974579279,0.18704554246918,-0.0670119651739817,0.0461057406193983,-0.0654470019489055,-0.166882641501509
17,0.0978693772806469,-0.0489441594307283,0.0681312673333038,-0.0480558092616259,0.124985006496107,-0.0485425541860592,0.0474075536197289,0.0204414010869609,-0.138213820104409,0.112737961214891,-0.0149652981809016,-0.138623704732917,0.11770264458338,0.101633633905972,-0.0876979594051491,-0.114588540459918,0.0851964346581074,0.0744497007640548,-0.0424712868918486,0.0843516366779788,-0.021036868687451,0.0455222901412448,-0.0354861834247329,-0.137973917514686
18,0.09390243757223,-0.0463839500182685,0.0883878545084868,-0.0711225740354294,0.122898689835071,0.0272739469266423,0.0170660636561479,0.0173397483876317,-0.149480036270982,0.0383625504538163,-0.0115735053676343,-0.12248469397997,0.0798826026884118,-0.0117195213987989,-0.0457748770431199,-0.0382015199776508,0.0436578892922333,0.0982100580528583,-0.0147077619039651,0.097861785925894,-0.0253106998297413,-0.00751367737134373,-0.02834278935817,-0.12853804128301
19,0.0813819713544881,-0.0557170665424097,0.0758526290647928,-0.0843790599283531,0.095703758197846,-0.0329331650722622,0.106438644695898,0.00754197643137236,-0.105696417977728,0.0452595182013909,-0.0271165930209208,-0.109424047559759,0.0994329707672279,-0.0319593779457228,-0.0545015678099158,-0.0572799051978966,-0.00535431524564478,0.130521124465033,-0.00952616117141358,0.10974366180989,-0.0238789514143714,0.0137100923176403,-0.0308887737685994,-0.0358090357271283
