SparsityPercent,PermutationP_Conditioning_PRE_vs_TEST,PermutationP_Delta_Conditioning_vs_Control,PearsonR_DeltaConditioning_vs_Rank,PearsonP_DeltaConditioning_vs_Rank
10,0.1413,0.1343,-0.127065787580297,0.554072772851907
11,0.1103,0.0619,0.113056787580589,0.598897132524426
12,0.0506,0.0096,0.074712599494283,0.728620090492669
13,0.1303,0.0074,0.0340922762845512,0.874341064700754
14,0.2654,0.0189,0.149069078168208,0.486929532863328
15,0.4056,0.0609,0.28028538511923,0.184645719453608
16,0.9867,0.0598,0.0756609417928259,0.725304489829974
17,0.8113,0.0377,0.208301514819347,0.328688553372594
18,0.9489,0.0025,0.28127766043436,0.183030582970693
19,0.7789,0.0139,0.227656648820682,0.284675493010031
20,0.4338,0.0246,0.232150854907055,0.27501426593932
21,0.2338,0.1488,0.328239085298606,0.117362140169104
22,0.1189,0.2015,0.282714944246051,0.180708405264853
23,0.0646,0.1809,0.376889434502447,0.0694589444550371
24,0.0483,0.4056,0.394611604391531,0.0563574811772549
25,0.1243,0.1631,0.403999364808007,0.0502405504705263
26,0.0322,0.3137,0.47442546044906,0.0191630633345243
27,0.0045,0.4853,0.413668818985394,0.0444938528708524
28,0.0047,0.3767,0.359307293757001,0.0846362009291866
29,0.0019,0.3482,0.356804793666477,0.08698445123173
30,0.0024,0.3105,0.326631628380486,0.119275658507703
31,0.0077,0.3214,0.362036989464323,0.0821294647172522
32,0.0031,0.6457,0.413201253775839,0.0447593012564628
33,0.003,0.4807,0.425933808141175,0.0379607935717263
34,0.0023,0.5187,0.445345280112995,0.0291940732422301
35,0.0025,0.5964,0.509248513609361,0.0110335317173517
36,0.003,0.7733,0.536635579784343,0.00686041095346363
37,0.0035,0.9374,0.571666201532811,0.00351902365544999
38,0.0022,0.8077,0.604473384110414,0.00175638361280198
39,0.0005,0.3952,0.602524546172207,0.00183421304809375
40,0.0005,0.2906,0.578001162768609,0.003094337278779
41,0.0003,0.2588,0.53100273289741,0.00758874535042666
42,0.0002,0.1394,0.559354321320971,0.00448618348916191
43,0,0.1051,0.525097321041815,0.00842033255515575
44,0.0001,0.0979,0.504358257103362,0.0119633051171446
45,0.0001,0.0671,0.504384310688376,0.0119581859373507
46,0,0.0805,0.487618055929103,0.0156473293278863
47,0.0001,0.045,0.475303478205839,0.0189107397020415
48,0,0.0365,0.483547335647927,0.0166707376395051
49,0,0.0393,0.480174865817452,0.0175593795372331
50,0,0.0449,0.407442464072757,0.0481315528797031
