SparsityPercent,Animal_01,Animal_02,Animal_03,Animal_04,Animal_05,Animal_06,Animal_07,Animal_08,Animal_09,Animal_10,Animal_11,Animal_12,Animal_13,Animal_14,Animal_15,Animal_16,Animal_17,Animal_18,Animal_19,Animal_20,Animal_21,Animal_22,Animal_23,Animal_24
10,0.23922665981021,0.187560065048145,0.187701043636912,0.146201485757232,0.375880686787931,0.185344682269282,0.385010588587761,0.131150330982938,0.101806488768943,0.147559661427081,0.374756894600905,0.17556762291749,0.13797629408977,0.165400822097756,0.124986511903635,0.338962832593599,0.240902523806763,0.326526753922518,0.366528476384703,0.289919964951106,0.358143466698169,0.398851359879957,0.257149285443885,0.535560917158253
11,0.190906588759282,0.247640583585744,0.173639241233439,0.180062310217546,0.323343896880448,0.185926595231803,0.393698736401537,0.0769786999378037,0.168259054559816,0.147633248676296,0.170393662470976,0.151215415381413,0.180103859639546,0.183518788886642,0.120178356645806,0.325972330762169,0.248406950379928,0.238910506944208,0.376459759109581,0.185285298976702,0.451359680006385,0.398027302099978,0.174088579209151,0.454832258944777
12,0.191965730735755,0.176848915941457,0.215958318302791,0.161041399319745,0.357790074873297,0.19572362571538,0.328379816067928,0.0682991519387522,0.179027263198396,0.153552930707607,0.139014143926653,0.183904044575435,0.178000010710583,0.177383390014912,0.106925958260204,0.249428642181622,0.190349851345152,0.227982149519738,0.343305404704138,0.188658241649795,0.375563569057499,0.333177717075148,0.166407537662709,0.447542474519192
13,0.242624290360144,0.17255118560827,0.192268052559296,0.164431464143837,0.313054716234465,0.282502219027035,0.356025732229064,0.0590389660986272,0.200271052139444,0.114691169761175,0.237230462920874,0.232915937173709,0.140560213257883,0.144972510647049,0.0745055505172575,0.210881380013621,0.17502506028733,0.186454519898704,0.340149960895098,0.134766007930943,0.384928050967513,0.265193584962955,0.181972696291584,0.444020215736784
14,0.208800211459531,0.186766843200051,0.150920876038277,0.153488353267296,0.292509744634247,0.282071772958943,0.422006219098691,0.0870766518882622,0.190436764842704,0.113050348576923,0.169078788483362,0.225751351236874,0.154782169086245,0.176967514865684,0.130486534481393,0.205007964806138,0.205878759325517,0.175037496672043,0.308736949109167,0.200459767280095,0.411013559953945,0.30603511873909,0.173738205288941,0.376383937797538
15,0.163285898907326,0.145193243611818,0.170302913760602,0.17571099363691,0.23392232983468,0.242408640891172,0.373739772941372,0.0860062784511623,0.18839683762706,0.161717573215773,0.197861288311799,0.240254194111116,0.13095931874139,0.237591978503436,0.16312889127937,0.262323240104806,0.202004669211571,0.192385260388996,0.302044188686736,0.220036707327509,0.388920707906616,0.274215510327398,0.25630739000246,0.423739137296207
16,0.173622886238777,0.236634965975815,0.202137172126503,0.223418873575722,0.155055270353213,0.285095532848732,0.344560284286758,0.119581699827006,0.189008714721872,0.121165087646921,0.235942747988249,0.253896672969529,0.0762513172861068,0.229155029047088,0.184403883013806,0.258147929572359,0.189430502629584,0.176468817063753,0.290909298507432,0.189058761863723,0.338134527682582,0.252760234662555,0.252572080389256,0.381928505575167
17,0.136928252367856,0.239775649408477,0.231348655098159,0.22959017520074,0.140817264770033,0.306029677376302,0.354096122493076,0.20967216021516,0.206060906318475,0.128865851133873,0.205381884257123,0.203697339082808,0.0884395992806868,0.221065838820407,0.274100081189386,0.220758868439384,0.195275557352713,0.134274198969059,0.334475744445026,0.178364911895433,0.280138164160086,0.276621738942878,0.230993853246114,0.394356773155676
18,0.137574161571963,0.231371380434538,0.234056847310358,0.235970060746992,0.150839438938131,0.214990497715446,0.346551869755127,0.218068487334012,0.200925225397002,0.138205267221423,0.183567831061447,0.184806559152569,0.0837638242749593,0.246463201106532,0.258353085578017,0.207294682234638,0.225142847675628,0.134691820460871,0.275137720639757,0.176204001795698,0.298838247770655,0.284881408840176,0.241051327158063,0.379928131240178
19,0.124677402260606,0.262204914510613,0.283213343122698,0.2492627499716,0.171581107133511,0.249871347079434,0.287042767889064,0.23320619446616,0.214245835634611,0.138430207942891,0.179071654525512,0.176244427701203,0.102296475322124,0.239478017699542,0.259434703690828,0.214259491957288,0.250176696488421,0.135214884908627,0.279876328433754,0.178622703199422,0.316339736735501,0.26308317036493,0.231538219420286,0.291113389316284
