"social_rank","deltaL_change","vHC_BOLD_social_rank_T001","social_rank_z","deltaL_change_z","vHC_BOLD_social_rank_T001_z"
8,0.291573635981172,0.0784,0.438760063974948,1.05235825472223,0.0623029778400361
10,0.0733048276244939,0.8505,1.00796230913164,-0.603745759657588,1.78517881811314
3,0.509939846849297,-0.6688,-0.984245548916775,2.70920130594122,-1.60501061865273
2,0.260902588424977,-0.6323,-1.26884667149512,0.819643166545065,-1.52356395608315
11,0.138929020282749,0.1498,1.29256343170998,-0.105825375522015,0.2216260383186
5,0.230363490774249,-0.4501,-0.415043303760086,0.587929241886345,-1.11700006785914
4,0.199602500975556,-0.0819,-0.699644426338431,0.354531721299417,-0.295392912842231
6,0.0972945618841951,0.4583,-0.130442181181741,-0.421724812594582,0.910017693187467
1,0.114936342903558,-0.2349,-1.55344779407346,-0.287868653361638,-0.636799471010583
7,0.0307505238082583,0.3942,0.154158941396603,-0.926624479296,0.766983965222817
12,-0.00367379058209916,0.6093,1.57716455428833,-1.18781729783644,1.24696142053009
3,0.237340619575386,-0.8176,-0.984245548916775,0.640867868817986,-1.93704523208704
4,0.290911996614147,-0.4081,-0.699644426338431,1.04733809806287,-1.02328062051881
4,0.16803151807361,-0.2891,-0.699644426338431,0.114988417263096,-0.757742186387868
3,0.142584112202947,-0.2205,-0.984245548916775,-0.0780925425646125,-0.604667089065326
8,-0.0466885362917363,0.1306,0.438760063974948,-1.51418959804549,0.178782862391591
12,0.107821159132961,0.8144,1.57716455428833,-0.34185476568915,1.70462472170871
6,0.335213198064766,0.1264,-0.130442181181741,1.38347131891378,0.169410917657558
7,0.134450575758108,0.1765,0.154158941396603,-0.139805356497196,0.281204829842097
11,0.114963785439852,0.284,1.29256343170998,-0.287660434446331,0.521081986725089
1,0.0733025030747683,0.0366,-1.55344779407346,-0.603763397066071,-0.0309701864177228
7,0.0734858946224006,0.1907,0.154158941396603,-0.602371922578608,0.312890928704781
9,0.195051174132853,0.2818,0.723361186553293,0.319998749265053,0.516172872816786
11,-0.101356977369123,0.4333,1.29256343170998,-1.92898374756134,0.854232307865841
