"effect","estimate","p","N"
"a",-0.459022254472198,0.0240526757650558,24
"b",-0.348229738532045,0.0154690508027453,24
"c_prime",0.624290390167029,0.000115160162006702,24
"c_total",0.784135589822272,0.00000578595644062087,24
"ACME",0.159845199655243,0.012,24
"ADE",0.624290390167029,0,24
"proportion_mediated",0.203848928335816,0.012,24
