"Rank","ACME","CI_low","CI_high","p","label"
"High rank
(-1 SD)",0.511196973101036,0.173048925851003,1.03761176868502,0.008,"ACME = 0.51
p=.008"
"Low rank
(+1 SD)",0.0424269779847234,-0.339382549264318,0.376732165023561,0.754,"ACME = 0.04
p=.754"
