"block","animal_ID","lid_TP1","block_label"
"1","3",1.029,"PRE"
"1","3",0.968,"PRE"
"1","3",1.01,"PRE"
"1","3",0.965,"PRE"
"1","3",1.117,"PRE"
"1","3",0.954,"PRE"
"1","3",0.991,"PRE"
"1","3",0.979,"PRE"
"1","3",1.009,"PRE"
"1","3",1.029,"PRE"
"1","3",1.012,"PRE"
"1","3",0.996,"PRE"
"1","3",1.03,"PRE"
"1","3",0.992,"PRE"
"1","3",1.008,"PRE"
"1","3",1.011,"PRE"
"1","3",0.966,"PRE"
"1","3",1.056,"PRE"
"1","3",1.034,"PRE"
"1","3",0.997,"PRE"
"1","3",0.956,"PRE"
"1","3",1.06,"PRE"
"1","3",1.012,"PRE"
"1","3",1.038,"PRE"
"3","3",0.989,"TEST_81_100"
"3","3",1.009,"TEST_81_100"
"3","3",1.004,"TEST_81_100"
"3","3",1.013,"TEST_81_100"
"3","3",1.005,"TEST_81_100"
"3","3",1.054,"TEST_81_100"
"3","3",1.02,"TEST_81_100"
"3","3",1.011,"TEST_81_100"
"3","3",0.998,"TEST_81_100"
"3","3",1.005,"TEST_81_100"
"3","3",1.004,"TEST_81_100"
"3","3",1.027,"TEST_81_100"
"3","3",1.002,"TEST_81_100"
"3","3",0.988,"TEST_81_100"
"3","3",1.015,"TEST_81_100"
"3","3",1.008,"TEST_81_100"
"3","3",0.967,"TEST_81_100"
"3","3",1.014,"TEST_81_100"
"3","3",1.007,"TEST_81_100"
"3","3",0.983,"TEST_81_100"
"4","3",0.988,"TEST_101_120"
"4","3",1.018,"TEST_101_120"
"4","3",0.896,"TEST_101_120"
"4","3",0.99,"TEST_101_120"
"4","3",0.963,"TEST_101_120"
"4","3",1.066,"TEST_101_120"
"4","3",0.966,"TEST_101_120"
"4","3",0.982,"TEST_101_120"
"4","3",1.002,"TEST_101_120"
"4","3",1.014,"TEST_101_120"
"4","3",0.987,"TEST_101_120"
"4","3",1.1,"TEST_101_120"
"4","3",0.958,"TEST_101_120"
"4","3",0.993,"TEST_101_120"
"4","3",1.012,"TEST_101_120"
"4","3",1.035,"TEST_101_120"
"4","3",1.021,"TEST_101_120"
"4","3",0.995,"TEST_101_120"
"4","3",1.004,"TEST_101_120"
"4","3",1.054,"TEST_101_120"
"5","3",0.969,"TEST_121_140"
"5","3",1.015,"TEST_121_140"
"5","3",1.062,"TEST_121_140"
"5","3",0.993,"TEST_121_140"
"5","3",1.014,"TEST_121_140"
"5","3",1.029,"TEST_121_140"
"5","3",1.029,"TEST_121_140"
"5","3",1.003,"TEST_121_140"
"5","3",1.053,"TEST_121_140"
"5","3",1.026,"TEST_121_140"
"5","3",1.049,"TEST_121_140"
"5","3",0.991,"TEST_121_140"
"5","3",0.99,"TEST_121_140"
"5","3",1.111,"TEST_121_140"
"5","3",1.016,"TEST_121_140"
"5","3",1.058,"TEST_121_140"
"5","3",1.069,"TEST_121_140"
"5","3",1.037,"TEST_121_140"
"5","3",1.069,"TEST_121_140"
"6","3",0.987,"TEST_141_160"
"6","3",0.973,"TEST_141_160"
"6","3",0.985,"TEST_141_160"
"6","3",1.024,"TEST_141_160"
"6","3",1.078,"TEST_141_160"
"6","3",1.062,"TEST_141_160"
"6","3",1.047,"TEST_141_160"
"6","3",1.023,"TEST_141_160"
"6","3",1.175,"TEST_141_160"
"6","3",1.045,"TEST_141_160"
"6","3",1.055,"TEST_141_160"
"6","3",0.975,"TEST_141_160"
"6","3",1.006,"TEST_141_160"
"6","3",0.869,"TEST_141_160"
"6","3",1.02,"TEST_141_160"
"6","3",0.988,"TEST_141_160"
"6","3",1.002,"TEST_141_160"
"6","3",1.006,"TEST_141_160"
"6","3",0.946,"TEST_141_160"
"6","3",0.993,"TEST_141_160"
"1","4",1.012,"PRE"
"1","4",0.97,"PRE"
"1","4",0.985,"PRE"
"1","4",1.047,"PRE"
"1","4",1.007,"PRE"
"1","4",0.987,"PRE"
"1","4",1.058,"PRE"
"1","4",1.014,"PRE"
"1","4",1.071,"PRE"
"1","4",0.983,"PRE"
"1","4",1,"PRE"
"1","4",1.111,"PRE"
"1","4",1.035,"PRE"
"1","4",0.98,"PRE"
"1","4",0.97,"PRE"
"1","4",1.038,"PRE"
"1","4",1.179,"PRE"
"1","4",1.002,"PRE"
"1","4",1.031,"PRE"
