"Term","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.00976823697934,0.0179516170636236,10.9339550058356,56.2494305332245,8.09723455669448e-15
"block_labelTEST_81_100",-0.0358521961887716,0.0127538394126144,923.045741862517,-2.81109045118691,0.00504192938945403
"block_labelTEST_101_120",-0.0281045929959994,0.0127573013338741,923.117318046737,-2.20302023605682,0.0278397362979693
"block_labelTEST_121_140",-0.0187738497035796,0.0128000151158795,923.059578568359,-1.4667052760187,0.142796842342985
"block_labelTEST_141_160",-0.0204019360701691,0.0129204055102077,923.109113139519,-1.57904765868615,0.114667709261506
