TimeBin,Mean,SEM,Condition
1,0.995553717490085,0.00566145201005804,PRE
2,0.996382764959383,0.00557154992508682,PRE
3,0.998092512729562,0.00521137162927492,PRE
4,0.997547261819164,0.00443039508692261,PRE
5,0.999611177756326,0.00417959831947687,PRE
6,1.00040287557288,0.00377677983688644,PRE
7,1.00154705666931,0.00342140950937978,PRE
8,1.00163244363562,0.00296961044550522,PRE
9,1.00138078159594,0.00323477882297003,PRE
10,1.00167059667856,0.0035376926697334,PRE
11,1.00146134958204,0.00350042331199891,PRE
12,1.00216578292519,0.00325368403105207,PRE
13,1.00055690678782,0.00341057401361723,PRE
14,0.998997555566219,0.00375274158384404,PRE
15,0.998972401850344,0.0040313296591988,PRE
16,0.998583597804293,0.00455481492510647,PRE
17,0.999726893071282,0.00451146308531243,PRE
18,1.00211815887077,0.00488525601184758,PRE
19,1.0035961646352,0.00530966631029752,PRE
20,1.00275644595098,0.00588218311592067,PRE
21,1.00225584759892,0.00631402818750326,PRE
22,1.00095936759216,0.00683499685084409,PRE
23,1.00319371511522,0.00695469143261798,PRE
24,1.00517232705534,0.00713728880168478,PRE
25,1.01223601390931,0.00766896572755304,PRE
26,1.0211719528583,0.00796658627028962,PRE
27,1.03034619489454,0.00826658041551548,PRE
28,1.03783723544931,0.00872839230639727,PRE
29,1.0384184909534,0.00883685771899192,PRE
30,1.03687130368293,0.00906569414341503,PRE
31,1.03362493821932,0.00913008854571615,PRE
32,1.03006601675972,0.00923441819967542,PRE
33,1.02661910082445,0.00946022466917627,PRE
34,1.023449573691,0.00934217470439646,PRE
35,1.02061215216273,0.00954399729726191,PRE
36,1.01754176047052,0.00938290278977335,PRE
37,1.01563242290327,0.00954499629414223,PRE
38,1.01282776254091,0.00967901667317357,PRE
39,1.01016074306298,0.00964930497119147,PRE
40,1.00949851716841,0.00949302304960287,PRE
41,1.00940135015601,0.00963911080176644,PRE
42,1.0108022985149,0.00958891499014445,PRE
43,1.0098230921972,0.00971049898852759,PRE
