Statistic,Estimate,P
Pearson_behavior_vs_PRE,-0.28538895058258,0.176442383603205
Pearson_behavior_vs_TEST,0.235256498829527,0.268461181739982
Pearson_behavior_vs_delta,0.480280942158914,0.017530852809035
Spearman_behavior_vs_delta,0.41706609362863,0.042602012839096
Paired_PRE_vs_TEST_ttest,5.71655713289927,8.03456428125572e-06
Paired_PRE_vs_TEST_permutation,NaN,9.99900009999e-05
