AnimalID,AnimalNumber,ScanDay,fr_loser,Pre,Test,Delta_TestMinusPre
0007CA3BEA,11,3,0.075,0.249560612047178,0.0127330530419693,-0.236827559005208
0007CB2246,12,3,0.1375,0.246577985417667,0.108813654323455,-0.137764331094211
0007CB2584,13,3,0.0125,0.298180198016989,0.0709239305825368,-0.227256267434452
0007CB2275,14,3,0.05,0.310287389935034,0.143134872561759,-0.167152517373276
0007CB39B0,17,3,0.125,0.0577108644780462,0.0557306805662767,-0.00198018391176946
0007CA3D87,18,3,0.025,0.268794868816165,0.0026173842311696,-0.266177484584996
0007CB3395,19,3,0.075,0.144386652804539,0.00109042455132201,-0.143296228253217
0007CB6A8C,22,3,0.075,0.0857045003703627,0.0919680904481006,0.00626359007773789
0007CB6B2C,23,3,0.0125,0.0903786098818213,0.00612081297706279,-0.0842577969047585
0007CB24AD,24,3,0.0625,0.00103570315400687,0.0268632090279709,0.025827505873964
0007CB24DA,25,3,0.1625,0,0.0537142831187975,0.0537142831187975
0007CA38FF,26,1,0.0652173913043478,0.128142234392018,0.0442115142188314,-0.0839307201731863
0007CB357C,27,1,0.0652173913043478,0.210488724933285,0,-0.210488724933285
0007CB239E,30,2,0.100917431192661,0.359201862921123,0.149034601506876,-0.210167261414247
0007CB4123,31,2,0.055045871559633,0.322162437751796,0.188956550787102,-0.133205886964694
0007CB42F2,32,2,0.128440366972477,0.219139732490358,0.0860858945658581,-0.1330538379245
0007CB08A5,33,1,0.16304347826087,0.24225762322032,0.178693598903145,-0.0635640243171749
0007CB6EA3,34,1,0.0869565217391304,0.0635269027647331,0,-0.0635269027647331
0007CB0ABC,35,1,0.0543478260869565,0.230956553422393,0.0621003123675833,-0.16885624105481
0007CB1EC1,36,1,0.130434782608696,0.20454666981012,0.136509118343911,-0.0680375514662095
0007CA3A35,37,2,0,0.138333550177439,0.0134569442713679,-0.124876605906071
0007CB330D,38,2,0.073394495412844,0.131507811059698,0.0797565988373033,-0.0517512122223947
0007CB2144,39,3,0.1875,0.138009429012619,0.000629861623007208,-0.137379567389612
0007CB0D91,40,2,0.220183486238532,0.0151453057581502,0.0718508665155686,0.0567055607574184
