Metric,AUC_Structure_Field,DisplayedInMainFigure,Pearson_R,P_Raw,FDR_Q,FDR_Significant
deltaC,g_delta_C,1,0.480280942158914,0.017530852809035,0.0262962792135525,1
deltaL,g_delta_L,1,-0.497478996319628,0.0133796198473483,0.0262962792135525,1
SWP,g_swp,0,0.448926326764832,0.0277700215730096,0.0277700215730096,1
