AnimalID,AnimalNumber,NoSeMaze,HierarchyWindow,Rank,FractionLosses,DeltaC_TestMinusPre,DeltaL_TestMinusPre,SWP_TestMinusPre
0007CA3BEA,11,2,AM2_day1to14,8,0.075,-0.236827559005208,0.291573635981172,-0.152220870270688
0007CB2246,12,2,AM2_day1to14,10,0.1375,-0.137764331094211,0.0733048276244939,-0.00321888464690712
0007CB2584,13,2,AM2_day1to14,3,0.0125,-0.227256267434452,0.509939846849297,-0.291338593307219
0007CB2275,14,2,AM2_day1to14,2,0.05,-0.167152517373276,0.260902588424977,-0.101946411415888
0007CB39B0,17,2,AM2_day1to14,11,0.125,-0.00198018391176946,0.138929020282749,-0.0974396169729853
0007CA3D87,18,2,AM2_day1to14,5,0.025,-0.266177484584996,0.230363490774249,-0.0984194343857373
0007CB3395,19,2,AM2_day1to14,4,0.075,-0.143296228253217,0.199602500975556,-0.12688022578557
0007CB6A8C,22,2,AM2_day1to14,6,0.075,0.00626359007773789,0.0972945618841951,-0.0686486258041654
0007CB6B2C,23,2,AM2_day1to14,1,0.0125,-0.0842577969047585,0.114936342903558,-0.0738991324061464
0007CB24AD,24,2,AM2_day1to14,7,0.0625,0.025827505873964,0.0307505238082583,-0.0224273467427071
0007CB24DA,25,2,AM2_day1to14,12,0.1625,0.0537142831187975,-0.00367379058209916,-0.000316689268433312
0007CA38FF,26,1,AM1_day3to16,3,0.0652173913043478,-0.0839307201731863,0.237340619575386,-0.153053681943446
0007CB357C,27,1,AM1_day3to16,4,0.0652173913043478,-0.210488724933285,0.290911996614147,-0.165652034944388
0007CB239E,30,1,AM1_day8to21,4,0.100917431192661,-0.210167261414247,0.16803151807361,-0.0162611228058172
0007CB4123,31,1,AM1_day8to21,3,0.055045871559633,-0.133205886964694,0.142584112202947,-0.0312030184419513
0007CB42F2,32,1,AM1_day8to21,8,0.128440366972477,-0.1330538379245,-0.0466885362917362,0.0613714766416558
0007CB08A5,33,1,AM1_day3to16,12,0.16304347826087,-0.0635640243171749,0.107821159132961,-0.0425613952341943
0007CB6EA3,34,1,AM1_day3to16,6,0.0869565217391304,-0.0635269027647331,0.335213198064766,-0.233220614055167
0007CB0ABC,35,1,AM1_day3to16,7,0.0543478260869565,-0.16885624105481,0.134450575758108,-0.0476531841130869
0007CB1EC1,36,1,AM1_day3to16,11,0.130434782608696,-0.0680375514662095,0.114963785439852,-0.0558974780691408
0007CA3A35,37,1,AM1_day8to21,1,0,-0.124876605906071,0.0733025030747683,-0.039085972718965
0007CB330D,38,1,AM1_day8to21,7,0.073394495412844,-0.0517512122223947,0.0734858946224006,-0.0438327178460926
0007CB2144,39,2,AM2_day1to14,9,0.1875,-0.137379567389612,0.195051174132853,-0.120746127184957
0007CB0D91,40,1,AM1_day8to21,11,0.220183486238532,0.0567055607574184,-0.101356977369123,0.0690916183752546
