AnimalID,AnimalNumber,ScanDay,Rank,Pre,Test,Delta_TestMinusPre
0007CA3BEA,11,3,8,0.0741828568081548,0.000103563820992346,-0.0740792929871625
0007CB2246,12,3,10,0.116456574927269,0.146840520991341,0.0303839460640712
0007CB2584,13,3,3,0.0054547857931348,0.00336888165756063,-0.00208590413557418
0007CB2275,14,3,2,0.0317078775935426,0.0641781060698663,0.0324702284763237
0007CB39B0,17,3,11,0.0218129554839471,0.0790095578241374,0.0571966023401903
0007CA3D87,18,3,5,0.244233286323489,0.0357477033015521,-0.208485583021937
0007CB3395,19,3,4,0.204757220807093,0,-0.204757220807093
0007CB6A8C,22,3,6,0,0,0
0007CB6B2C,23,3,1,0.00278507203223479,0.0106731540965382,0.00788808206430344
0007CB24AD,24,3,7,0,0.331492233859372,0.331492233859372
0007CB24DA,25,3,12,0.106559438007002,0.109802224293222,0.00324278628621992
0007CA38FF,26,1,3,0.0527467503280251,0.075887157765846,0.0231404074378209
0007CB357C,27,1,4,0,0,0
0007CB239E,30,2,4,0.0643877267024603,0,-0.0643877267024603
0007CB4123,31,2,3,0.237220791549006,0.141460896530229,-0.0957598950187769
0007CB42F2,32,2,8,0.0974596375386945,0.12595253488187,0.0284928973431754
0007CB08A5,33,1,12,0.0127830745153581,0.157111345763651,0.144328271248293
0007CB6EA3,34,1,6,0.182364131866552,0.0709865964513076,-0.111377535415244
0007CB0ABC,35,1,7,0.337760264098607,0.0351140268952932,-0.302646237203313
0007CB1EC1,36,1,11,0.171599186781156,0.0688471099998844,-0.102752076781272
0007CA3A35,37,2,1,0.0782090244190429,0.0845913282876815,0.00638230386863863
0007CB330D,38,2,7,0.126089772213819,0,-0.126089772213819
0007CB2144,39,3,9,0.084334244273062,0.0149547028226738,-0.0693795414503882
0007CB0D91,40,2,11,0,0.0500177372905243,0.0500177372905243
