SubjectIndex,DeltaL_Pre,DeltaL_Test,DeltaL_TestMinusPre,BOLD_Pre,BOLD_Test,BOLD_TestMinusPre
1,0.369081790437987,0.66065542641916,0.291573635981172,0.120262280711764,0.141623411476275,0.0213611307645116
2,0.322270370084946,0.39557519770944,0.0733048276244939,-0.566374676445841,0.2561480657882,0.822522742234041
3,0.391161346253863,0.901101193103159,0.509939846849297,0.426001982898059,-0.230480253693636,-0.656482236591695
4,0.28831952938988,0.549222117814858,0.260902588424977,0.474391990307584,-0.17670553098559,-0.651097521293173
5,0.385824042441657,0.524753062724406,0.138929020282749,-0.29584552309229,-0.327867131587679,-0.0320216084953891
6,0.351933568267428,0.582297059041677,0.230363490774249,0.194214728191012,-0.241799542416695,-0.436014270607707
7,0.53458480307542,0.734187304050976,0.199602500975556,-0.0372695727252783,-0.102176552898593,-0.0649069801733145
8,0.440795546292498,0.538090108176693,0.0972945618841951,-0.573953861942941,-0.0434857957788844,0.530468066164057
9,0.41359929960013,0.528535642503689,0.114936342903558,0.170097443151725,0.0166467546852844,-0.153450688466441
10,0.501592817717351,0.532343341525609,0.0307505238082583,-0.331178552386946,-0.0016610253278267,0.329517527059119
11,0.508638103433345,0.504964312851246,-0.00367379058209916,-0.477010660109121,0.0354538563301777,0.512464516439299
12,0.334411698067923,0.571752317643309,0.237340619575386,0.656834790056728,-0.075934773877667,-0.732769563934395
13,0.363764411343116,0.654676407957263,0.290911996614147,0.073863759145971,-0.387757195159793,-0.461620954305764
14,0.298416853490446,0.466448371564056,0.16803151807361,0.295800890878729,0.00677931385503308,-0.289021577023696
15,0.313418300261448,0.456002412464395,0.142584112202947,0.0989741063676775,-0.0582406890349945,-0.157214795402672
16,0.466904027972596,0.42021549168086,-0.0466885362917362,0.20476343136853,0.310763478514048,0.106000047145518
17,0.302030695868734,0.409851855001695,0.107821159132961,-0.559740113150553,0.102017848463505,0.661757961614057
18,0.395990570963633,0.731203769028399,0.335213198064766,-0.112400094921356,-0.0602542295666616,0.052145865354694
19,0.337663386525989,0.472113962284096,0.134450575758108,-0.22166637214832,-0.0311922668989577,0.190474105249362
20,0.349672664556342,0.464636449996193,0.114963785439852,-0.237353850850353,0.0560202591642962,0.293374110014649
21,0.565067115344591,0.638369618419359,0.0733025030747683,-0.0758574016648906,0.134014955138886,0.209872356803777
22,0.471334582005283,0.544820476627684,0.0734858946224006,-0.256526177175377,-0.0530348121301139,0.203491365045263
23,0.385717882903566,0.580769057036419,0.195051174132853,-0.172365781750126,0.010101558956183,0.182467340706309
24,0.787125677698679,0.685768700329556,-0.101356977369123,-0.275334262314354,0.206906064321267,0.482240326635621
