ID,x0007CA38FF,x0007CA3A35,x0007CB08A5,x0007CB0ABC,x0007CB0D91,x0007CB1EC1,x0007CB239E,x0007CB330D,x0007CB357C,x0007CB4123,x0007CB42F2,x0007CB6EA3
0007CA38FF,0,0,1,0,3,0,0,1,0,1,1,1
0007CA3A35,2,0,5,1,4,1,1,3,0,1,1,2
0007CB08A5,0,0,0,0,2,0,0,0,0,0,0,0
0007CB0ABC,0,0,1,0,0,1,1,0,0,1,0,0
0007CB0D91,1,0,2,0,0,2,0,0,0,1,1,0
0007CB1EC1,0,0,1,0,0,0,0,0,0,0,1,0
0007CB239E,2,0,1,0,3,0,0,0,3,1,2,2
0007CB330D,0,0,0,1,1,0,0,0,0,0,0,0
0007CB357C,1,0,1,1,2,4,0,0,0,0,1,2
0007CB4123,0,0,0,1,1,1,0,0,1,0,0,1
0007CB42F2,0,0,2,1,0,2,0,0,1,2,0,0
0007CB6EA3,0,0,1,0,3,1,0,0,1,1,0,0
