ID,DSz,Rank
0007CA3A35,1.96277413469549,1
0007CB239E,1.2112286481764,2
0007CA38FF,0.543593580055071,3
0007CB357C,0.481572836021942,4
0007CB330D,0.153227720552436,5
0007CB6EA3,-0.0583724649723566,6
0007CB0ABC,-0.124041488066258,7
0007CB42F2,-0.211600185524793,8
0007CB4123,-0.306455441104872,9
0007CB0D91,-0.656690230939012,10
0007CB1EC1,-1.33162185718189,11
0007CB08A5,-1.66361525171216,12
