Region,T_Raw_ConditioningVsControl,T_Plotted_Negated,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom,N_Conditioning,N_Control,MeanDelta_Conditioning,MeanDelta_Control
FP,0.307614650616373,-0.307614650616373,0.759764071661231,0,0,46,24,24,0.0423274062275585,0.0318066476339563
OF,2.55249204268154,-2.55249204268154,0.014079919654408,1,0,46,24,24,0.091367371736485,0.023284477082201
PL,2.75441831716878,-2.75441831716878,0.00839364779955586,1,1,46,24,24,0.0809765368304307,0.0285804693536994
IL,2.43941331545131,-2.43941331545131,0.0186266587071314,1,0,46,24,24,0.0778399628213094,0.0229464827035548
Cing,3.23695661137285,-3.23695661137285,0.00224294629711402,1,1,46,24,24,0.0971226744498254,0.0220359847787405
Th_PM,2.42610900118239,-2.42610900118239,0.019240927728779,1,0,46,24,24,0.0975337550084191,0.0317315519422571
Th_SM,2.52764526091245,-2.52764526091245,0.0149821370584614,1,0,46,24,24,0.0850349017490127,0.0215758075574889
M1,1.92222785684375,-1.92222785684375,0.0607830988615131,0,0,46,24,24,0.0794349249888118,0.0265478844777462
M2,2.25705417873802,-2.25705417873802,0.0287975109312784,1,0,46,24,24,0.0757872503666107,0.024952496004096
S1,1.48984925188937,-1.48984925188937,0.143089094919887,0,0,46,24,24,0.0596421764894351,0.026179422921535
S2,0.899611765736505,-0.899611765736505,0.373012326746675,0,0,46,24,24,0.0367356628068021,0.014540588594889
OB,2.0223219909534,-2.0223219909534,0.0489802030859105,1,0,46,24,24,0.0921560458681637,0.0334671218702859
AON,2.09702368470622,-2.09702368470622,0.0415175740276597,1,0,46,24,24,0.0937648109638644,0.0266965558633697
Otu,-0.108185560332988,0.108185560332988,0.914319021660371,0,0,46,24,24,0.0225568098381349,0.02554463505838
Pir,0.612736797516663,-0.612736797516663,0.543067941676461,0,0,46,24,24,-0.00508449919133454,-0.0187458114842949
DPA,2.20716503963215,-2.20716503963215,0.0323309137185297,1,0,46,24,24,0.09179715000159,0.033117137350792
TT,3.34876716652485,-3.34876716652485,0.00162701401237774,1,1,46,24,24,0.109856588579965,0.0200219500440353
Sept,2.8920676095765,-2.8920676095765,0.00582734533809182,1,1,46,24,24,0.101555939217528,0.0194561530562431
Nacc,2.43615047822449,-2.43615047822449,0.0187756439110598,1,0,46,24,24,0.0805817517764502,0.0200872290574861
CP,1.67885740621092,-1.67885740621092,0.0999613489733717,0,0,46,24,24,0.0600853063041285,0.0185232034689707
Pall,2.30358937892287,-2.30358937892287,0.0258155912232161,1,0,46,24,24,0.0598489806951116,0.000328999146704666
VP,0.688073344301635,-0.688073344301635,0.494861951055543,0,0,46,24,24,0.0335793601835832,0.0156835783766111
Cl,-0.160200748135955,0.160200748135955,0.87342437038788,0,0,46,24,24,0.039131277715257,0.0425980686163882
Amyg,1.41500022349822,-1.41500022349822,0.163802717974743,0,0,46,24,24,0.0263969765349268,-0.0100214199820353
ZI,1.06209123579302,-1.06209123579302,0.293738632800311,0,0,46,24,24,0.0603733667806048,0.0314658113342614
I_dors,0.74645461484289,-0.74645461484289,0.459190998338134,0,0,46,24,24,0.0307997935562029,0.0143242513924298
I_ventr,0.556821256465281,-0.556821256465281,0.58034873179516,0,0,46,24,24,0.042125926308588,0.0272560536469092
I_post,1.13570906863543,-1.13570906863543,0.261961070729728,0,0,46,24,24,0.0322546260269215,0.00274846230436075
Gust,-0.266868595042411,0.266868595042411,0.790763105195274,0,0,46,24,24,0.045080614713714,0.0511460017463746
Visc,0.578429458714107,-0.578429458714107,0.565795594263347,0,0,46,24,24,0.0292168687682529,0.0146728919627579
Perih,0.843624052131,-0.843624052131,0.403245302125245,0,0,46,24,24,0.0423397143814081,0.0231273834562455
Ect,0.0757394109908353,-0.0757394109908353,0.939954867021239,0,0,46,24,24,0.0345611646820416,0.0326214726979525
Ent,2.65002223059693,-2.65002223059693,0.0109973688998903,1,0,46,24,24,0.0601613109285975,-0.0271534382146224
Temp,0.448704941670653,-0.448704941670653,0.655751215168261,0,0,46,24,24,0.0420612439937719,0.0310416296918868
ParAss,2.17508343289863,-2.17508343289863,0.0348009561679979,1,0,46,24,24,0.0570095323284797,-0.0103398425489121
RS,2.77851291532387,-2.77851291532387,0.00787979183762686,1,1,46,24,24,0.079569660675149,0.011689905118603
CA,1.28076440046856,-1.28076440046856,0.206696471469651,0,0,46,24,24,0.0517624952540431,0.0146271745288255
DG,2.86786366852823,-2.86786366852823,0.00621785195871164,1,1,46,24,24,0.0910779215524623,0.00383467306002739
Sub,1.59923730969276,-1.59923730969276,0.116614799177575,0,0,46,24,24,0.0800515007066934,0.0315178873432261
SC,4.06265707843818,-4.06265707843818,0.000187197043888378,1,1,46,24,24,0.0946242618345183,-0.00856548014942425
PAG,3.66672641001168,-3.66672641001168,0.0006351562955037,1,1,46,24,24,0.104847210018154,0.00897499315154449
VTA,1.05554090341738,-1.05554090341738,0.296690466839484,0,0,46,24,24,0.0605009783677247,0.0286228606926745
SN,0.0817575933275209,-0.0817575933275209,0.935194188608072,0,0,46,24,24,0.0246461102233817,0.0217973066719103
NclR,1.98258112030489,-1.98258112030489,0.0534051418724469,0,0,46,24,24,0.0668740224367883,0.016148892436784
RN,2.60679242870418,-2.60679242870418,0.0122781693998849,1,0,46,24,24,0.0786606938320779,0.00626911872206244
MB,3.06067297057887,-3.06067297057887,0.00367943947717894,1,1,46,24,24,0.0859712594015249,0.00477720607352856
Pons,3.26732767537207,-3.26732767537207,0.00205672591045831,1,1,46,24,24,0.133019643652576,-0.00903260318489107
Periv,1.24660983355921,-1.24660983355921,0.218851371865567,0,0,46,24,24,0.0466567272411102,-0.00956759862412264
Hyp,-0.733801597494815,0.733801597494815,0.466793453836251,0,0,46,24,24,0.00741390276061952,0.0246463578563679
Aud,1.66618821576374,-1.66618821576374,0.102472281154061,0,0,46,24,24,0.063116996257387,0.0234388039196945
V,1.59025641943233,-1.59025641943233,0.118627084050737,0,0,46,24,24,0.0585427493764593,0.0201628423710452
IC,0.912598384919349,-0.912598384919349,0.366212109081725,0,0,46,24,24,0.06310564024817,0.0378641441628757
