Region,T_Raw_ConditioningVsControl,T_Plotted_Negated,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom,N_Conditioning,N_Control,MeanDelta_Conditioning,MeanDelta_Control
FP,-1.04337576515794,1.04337576515794,0.302226769472652,0,0,46,24,24,-1.28177300801633,0.209205885692438
OF,1.37584390356259,-1.37584390356259,0.175532253495429,0,0,46,24,24,2.72649885330146,0.798578987143976
PL,3.18943099046095,-3.18943099046095,0.00256667457218968,1,1,46,24,24,3.57852243271894,-0.616016533830164
IL,2.54338029813493,-2.54338029813493,0.0144048671170041,1,0,46,24,24,3.09117608646003,-0.255515311186954
Cing,2.14995368356851,-2.14995368356851,0.0368505216520177,1,0,46,24,24,3.88197658799016,1.09744287820048
Th_PM,1.87842460727828,-1.87842460727828,0.0666694729199252,0,0,46,24,24,4.43927968512312,2.38032691593223
Th_SM,2.09117081308419,-2.09117081308419,0.0420641253177381,1,0,46,24,24,4.38280359122667,1.75724649727436
M1,1.71705661667642,-1.71705661667642,0.0926957780862845,0,0,46,24,24,1.5323665076411,-0.8376117595165
M2,4.13187226601387,-4.13187226601387,0.000150439821892415,1,1,46,24,24,4.78997248742624,-1.32018734356338
S1,2.38824893498327,-2.38824893498327,0.0210902308413608,1,0,46,24,24,5.78721264694974,2.53344586946067
S2,0.0271533809471818,-0.0271533809471818,0.97845485910093,0,0,46,24,24,1.3103887906005,1.27606600303065
OB,1.68348969743687,-1.68348969743687,0.0990560092505542,0,0,46,24,24,3.42685232434476,0.665016359298168
AON,1.30184521903674,-1.30184521903674,0.199451058613266,0,0,46,24,24,1.72542005066903,0.049551703791762
Otu,-0.827983555015859,0.827983555015859,0.411955030737195,0,0,46,24,24,-1.05735841159679,-0.201642358023704
Pir,-1.85942248240578,1.85942248240578,0.0693700298393851,0,0,46,24,24,-1.1144518779383,1.06842720347329
DPA,1.34871420548798,-1.34871420548798,0.184031534415427,0,0,46,24,24,2.78788579696518,1.10875603993741
TT,1.20193981199236,-1.20193981199236,0.235538138255061,0,0,46,24,24,1.76311700050296,0.33210159052705
Sept,2.34723380238844,-2.34723380238844,0.0232727542298279,1,0,46,24,24,2.98803106468234,0.068714826560564
Nacc,1.3651898784513,-1.3651898784513,0.178833219754331,0,0,46,24,24,3.79220071890071,2.04987278265348
CP,2.49160206120343,-2.49160206120343,0.0163845480510916,1,0,46,24,24,4.32630840280094,1.52228544436331
Pall,3.35980000250811,-3.35980000250811,0.00157582809062677,1,1,46,24,24,5.10398579048816,0.897945914816955
VP,-0.494515433120517,0.494515433120517,0.623295789008541,0,0,46,24,24,0.923638935717509,1.58235272061708
