HighResSampleIndex,ApproxTime_s,PRE_Mean,PRE_SEM,TEST_Mean,TEST_SEM
1,-2.4,-0.141615559169881,0.0335233877825781,-0.128165127748929,0.0227878893166057
2,-2.2,-0.128469724652973,0.0315251939318903,-0.119184942918671,0.0246840008379334
3,-2,-0.121391101565925,0.0286670997081411,-0.108240250984339,0.0267777593284568
4,-1.8,-0.124103056172033,0.0253108302850855,-0.100169154909757,0.0280745531406373
5,-1.6,-0.138354894023622,0.0239811048133865,-0.0996224006821543,0.0263056220115195
6,-1.4,-0.153441690689036,0.0246376913840331,-0.111660182818877,0.0238880464126817
7,-1.2,-0.179664581994146,0.0266685513027581,-0.1230615674901,0.0230710184564203
8,-1,-0.198552926126131,0.0313826655524484,-0.134448008689954,0.0229409798992107
9,-0.8,-0.209114911780432,0.0353383039510168,-0.144261381813227,0.0223705100216229
10,-0.6,-0.20947718690018,0.0364144651150376,-0.148682158340719,0.0219015378873578
11,-0.4,-0.198408745540622,0.0365446913570513,-0.133330523728677,0.0207680450871423
12,-0.2,-0.178394236804644,0.0342340139069658,-0.108081545896737,0.0204620515051416
13,0,-0.140778312865309,0.0319259599957086,-0.0799442863078274,0.0187214040248633
14,0.2,-0.107801227973486,0.0313739935308832,-0.0528254895400196,0.0188565948200368
15,0.4,-0.0646633935630893,0.0338044126422904,-0.0221567183589344,0.0191967518390536
16,0.6,-0.0143368188137081,0.0364391749937533,0.0106469345501459,0.0228385970502755
17,0.8,0.0504716164003886,0.0397098089373697,0.0352178064686012,0.0270101622468217
18,1,0.1270852466736,0.0439246220051774,0.0675913314126365,0.0313027228987387
19,1.2,0.205847307596041,0.0503122794215604,0.108992326045649,0.0334251257086005
20,1.4,0.304131565471704,0.0550087098983292,0.167263222337136,0.0352937719385279
21,1.6,0.388093667731056,0.0591442001521729,0.227347375707439,0.0388606481594249
22,1.8,0.466211981506592,0.0631308812127451,0.286860804894531,0.0427626568320346
23,2,0.514019027472625,0.0624848236659858,0.338588785272994,0.0463847377362565
24,2.2,0.531667055497063,0.0603077601328171,0.369103230200385,0.0485199055355487
25,2.4,0.534128064366064,0.0540755726738069,0.374971233363607,0.0500584406999703
26,2.6,0.500931753894978,0.0482495347193971,0.355601723488778,0.0506361102909608
27,2.8,0.460761222477359,0.0426398862786387,0.332306874858759,0.0480016229685723
28,3,0.403524719687282,0.0376981552781973,0.301329137016223,0.0428313684414987
29,3.2,0.350377848464677,0.0350863868848923,0.277385639911391,0.0378589478389098
30,3.4,0.30762761631186,0.0326574571880149,0.263572865483526,0.0332239176735693
31,3.6,0.255885925890617,0.0323011372141721,0.255113715897516,0.0269024370365291
32,3.8,0.216398569403319,0.034493198456896,0.252062018171327,0.0229291334509506
33,4,0.175562088065673,0.0380046501067976,0.234540707090217,0.0197741588643812
34,4.2,0.142753159131598,0.0409407367699595,0.21237244004261,0.0181139971405325
35,4.4,0.104266185554594,0.0421795540231729,0.174533543382591,0.0176669322009665
36,4.6,0.057578150987938,0.0406268086749515,0.127561740234367,0.0186382970540904
37,4.8,0.0220906471441385,0.0391460993460214,0.0869061560738944,0.0210363293667519
38,5,-0.0145444374340941,0.037431813441546,0.040416996727798,0.0225874269052998
39,5.2,-0.0463419113278849,0.0358226061247627,0.00708947563648366,0.0246576502214576
40,5.4,-0.0789132957894373,0.0336776817567672,-0.0161196137196267,0.0259634478907027
41,5.6,-0.0977620269816476,0.0321828498119825,-0.0315603708805298,0.0269350507783426
42,5.8,-0.102122086142833,0.0298028986266556,-0.0407662734020957,0.0269246979512378
43,6,-0.109636437171961,0.0278553682907686,-0.0581262530734153,0.0258792750471408
44,6.2,-0.110799380020927,0.0265403816204991,-0.0655804135053533,0.0260578622842879
45,6.4,-0.111681255747401,0.024229730735057,-0.0783162994571682,0.0249500880782498
46,6.6,-0.107275481350206,0.0236052680385944,-0.0982934730939721,0.0242559189157687
47,6.8,-0.104991968725542,0.0243624127541306,-0.112345257503443,0.0235773718636341
48,7,-0.113422354483702,0.026739719446132,-0.12387506158998,0.0246480417429607
49,7.2,-0.11451832930054,0.0295895853793009,-0.1313161617304,0.0245676520913289
50,7.4,-0.125689364528754,0.0330287451827703,-0.13948774366312,0.0239222213143338
51,7.6,-0.131687458139224,0.0358026005476952,-0.140492534298103,0.0243401995546159
52,7.8,-0.138427428485199,0.0368394126039911,-0.133670212823637,0.0236899071458731
53,8,-0.148212166645397,0.037473331900707,-0.128934452009574,0.0237296561099407
54,8.2,-0.152306846647081,0.0356395303517309,-0.123620436696286,0.0233519136835651
55,8.4,-0.158397175022848,0.0354568115586453,-0.113575641557471,0.0222890697953731
56,8.6,-0.153316078881135,0.0341130861442364,-0.107345872245333,0.0219136543511315
57,8.8,-0.154864358631563,0.0336649768895631,-0.104174312142073,0.0209170552580132
58,9,-0.158696653835079,0.0318806440922647,-0.106943658984695,0.0200373938146481
59,9.2,-0.159343804474996,0.0317667382030928,-0.11026757030898,0.0205620085916618
60,9.4,-0.158097265663823,0.0318146042301494,-0.11696030052705,0.0211007062218617
