SubjectIndex,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60
1,-0.21462912766732,-0.185412441764482,-0.158266259621494,-0.123235975326892,-0.0932258229218094,-0.102291355916822,-0.0991306785233275,-0.115982483922018,-0.142742473985402,-0.171558131657995,-0.204947301477373,-0.23314384860684,-0.261517616107103,-0.284271025963645,-0.283430884146254,-0.298342467921548,-0.281694817740438,-0.203271030244056,-0.130554337661154,-0.0234694255808432,0.105355704154826,0.24106418340158,0.334165036224853,0.33991681483294,0.360850874469614,0.337167669545611,0.262194854506974,0.232528282128142,0.229528965245501,0.269863872854048,0.297401979611144,0.320367504435101,0.356637309125476,0.318774990870679,0.277239037365454,0.182944744269192,0.067220875278386,-0.00750146983367209,-0.0569063290056079,-0.071931088256478,-0.0754332916323708,-0.043231818530651,0.0236482355659626,0.0842198531519567,0.11297655398724,0.135457188971888,0.125769966540467,0.137205596558031,0.131333831155608,0.108044138171361,0.0826318900987568,0.0609694064651295,0.0638890519430181,0.0187076800966277,-0.0421643914748467,-0.119068663220813,-0.155139135917566,-0.199617122811931,-0.262047998542942,-0.261082567361269
2,-0.0213820601477469,-0.086126654201664,-0.150131531593499,-0.192505092962003,-0.2300619600908,-0.21985724097706,-0.188941764949549,-0.151731084369788,-0.151426133906872,-0.177548705223533,-0.217153324109313,-0.260469443360966,-0.295695766955645,-0.301939837145035,-0.269741095146752,-0.229881488294613,-0.169652065726549,-0.10862983129469,-0.0108522115400462,0.0623844774510572,0.123935310141713,0.192657230253641,0.242362776653942,0.262574389314147,0.263959626637095,0.260835783309757,0.26480437329497,0.266382971664207,0.281848275555956,0.309052251253433,0.286433378033273,0.266773313584979,0.217195111587126,0.172182222419166,0.103656144483197,0.0358339752107823,-0.0122490001183233,-0.0399689742889304,-0.0445770675267866,-0.0676722426387942,-0.05498689580516,-0.021571421643751,0.0349307283369452,0.0592154530676711,0.0741488779898407,0.113461734869669,0.124456260165533,0.107683026745084,0.0702588781938167,0.0262095263165067,-0.00325782809043575,-0.025592066708953,-0.0545938565265803,-0.0684306588071912,-0.0819488652270891,-0.0584293340248438,-0.0398264446791833,-0.0758940672274565,-0.0928711472216893,-0.111767070501816
3,-0.170897735663209,-0.175803431785191,-0.197909605213566,-0.215517592611039,-0.271943281619238,-0.324173225531636,-0.357316361172546,-0.339453032839198,-0.293013473209516,-0.247089487647301,-0.176788719267404,-0.0916012354060776,-0.0170687664025632,-0.00302975763580561,-0.0162370597557428,-0.0344266563832072,-0.0334057726754375,-0.083636285455972,-0.0957612520291529,-0.058238312752426,0.000165256511023338,0.0562112090370804,0.0836388417900542,0.150604143011893,0.192192071317953,0.189128364629979,0.192792009769914,0.207442082087382,0.233625867207043,0.263715252434061,0.270049418179622,0.304503371890082,0.313053566949464,0.311149055040682,0.308659942619396,0.257411923903368,0.24792572771324,0.234447232064764,0.204011898967976,0.186153146040532,0.159119927969587,0.156327672075113,0.11530931709039,0.0408025144292144,0.00897366171199728,-0.0350628812424536,-0.0729272373176981,-0.0840856406478332,-0.0725506603359317,-0.0143815919060263,0.0188083645352226,0.064195393591011,0.110560191385341,0.126306044341784,0.10362905657439,0.0344446901825471,-0.0309608002003123,-0.10975778244624,-0.184030341802634,-0.250141557786162
4,-0.183894316736854,-0.200146175098553,-0.228572873789964,-0.23949845035092,-0.247384680163151,-0.245098407859846,-0.227176196179295,-0.212434005711113,-0.167286341352192,-0.112508754432129,-0.0483579876362829,0.00189917471952133,0.0549629761508144,0.0909582008351164,0.112681285738845,0.114838555239365,0.122549342755761,0.175064192937273,0.227441620826032,0.297933631503935,0.363847399475926,0.445477866263476,0.516018845968668,0.509494196143279,0.489800047428119,0.462703580702497,0.439788948858054,0.384377586694485,0.323473907462309,0.299161723133903,0.280712674771255,0.26186651416571,0.233007317578998,0.228846875973254,0.209455057367913,0.179479915915748,0.142518473416711,0.09122172678772,0.0396465797513594,-0.0155913392231041,-0.0486152186708557,-0.0512008422455253,-0.0476526408443869,-0.01748520790629,0.0108511438425992,0.0130878740432474,0.0215109844364124,-0.0261640437870017,-0.0767439138364664,-0.143417975139965,-0.199260508485229,-0.212229080991892,-0.253749154550098,-0.252521670362626,-0.241701754675781,-0.228736347587874,-0.235766139859398,-0.266803593367196,-0.255714151712591,-0.236011247046484
5,-0.228395360232331,-0.240367286850688,-0.231986522975808,-0.21961740473358,-0.230442838918433,-0.242940973675664,-0.255115858162181,-0.24290233421012,-0.249903172568936,-0.266186648749599,-0.288008577363966,-0.285695583301116,-0.28021439771749,-0.303306401962842,-0.297190709362544,-0.274993457831196,-0.185877183057259,-0.066876652914972,0.0535148014018928,0.207748318720522,0.351861729925975,0.486284254475916,0.556422214393179,0.542942336975275,0.520942029284447,0.466240693545304,0.386919619200408,0.311183315179027,0.264729265208299,0.215732474874396,0.172329496863761,0.177156321407903,0.193555060214258,0.208397439065574,0.211065956177345,0.253652801751564,0.279447332099419,0.255684034823,0.213818346869045,0.171493218039393,0.106955351324177,0.036066619854368,-0.00649404600129943,-0.0536507675589438,-0.080324597821446,-0.105114984738146,-0.0912745654327796,-0.0910338998401354,-0.109593921147906,-0.0975734283419086,-0.0764120418838432,-0.0601617591479628,-0.0680211779367273,-0.0443636934312048,-0.0211008640690064,-0.0163640436987326,-0.0371410823010932,-0.0412251960191095,-0.018279095780876,-0.0465494209460936
6,-0.277533463689887,-0.246244914696648,-0.255450074212453,-0.269793346482479,-0.312628071312507,-0.361492520079656,-0.422913724006696,-0.469678334309522,-0.495293662129608,-0.496929739601377,-0.484975413552728,-0.483707745300445,-0.414318329201823,-0.3271118312898,-0.192913167548399,-0.055848642581987,0.10984182405295,0.307544228480256,0.46300486110682,0.577569864759589,0.625555985729947,0.656721369086833,0.632385611889766,0.579813681299092,0.49728361397892,0.451779462027013,0.434829976528749,0.414002634783269,0.401697062460549,0.373913138843685,0.37700954645318,0.347407337912497,0.279738624034356,0.189244272912497,0.116311292476845,0.0802328346896594,0.0155155457323246,-0.0559977725478336,-0.0957287152207302,-0.0884392049212006,-0.074707990056035,-0.0943405590882096,-0.0903630447026917,-0.063406300300248,-0.0555646493758462,-0.0643924532831358,-0.0788024845723897,-0.0442470388391917,0.0229453375651316,0.0762808123015035,0.150333539082879,0.193120413052628,0.218395104121921,0.188481870011551,0.112707444138889,0.0584616606888848,0.00389551473330356,-0.00773309451440886,-1.72854663766773e-05,0.0146549033755772
7,-0.356470405082798,-0.374804484008348,-0.327857469748525,-0.299505064471631,-0.278187345923668,-0.293055955490134,-0.310722649966755,-0.309268538663253,-0.349822167311483,-0.343328608664015,-0.317560500007528,-0.262335157421173,-0.218908702659752,-0.162992195908363,-0.0967007644928451,-0.023865482728125,0.0418840977325542,0.0834119992112498,0.163241191363353,0.239374807925302,0.297154590441643,0.332009402027104,0.343697040218759,0.369603585970637,0.353952568335876,0.321090364393359,0.306727065512912,0.279487632486868,0.258954062403386,0.220259548587619,0.205234441585944,0.16190678655537,0.0992669432030538,0.028349543677558,-0.0372631128152822,-0.0734923587578194,-0.118209394288569,-0.142101273481288,-0.127713832598496,-0.0930985357408343,-0.0541778434393363,-0.0310446873961161,-0.0218221751959803,-0.00678494423466104,-0.0259921969661973,-0.00725536815432923,0.00979483147877128,0.0200029768982745,0.0479266503120293,0.0776279557519012,0.112024704550521,0.0812361463154088,0.0578861812248095,0.0541398124529445,0.0500543475798797,0.0735099250670917,0.0965035155297666,0.111252516130554,0.125824824529982,0.131538236731291
8,-0.430595773838582,-0.418748097678363,-0.412298636374128,-0.384730205698062,-0.356828699663991,-0.328071756544916,-0.338421863252806,-0.362461357938074,-0.36939005450444,-0.39935333130405,-0.423213096247727,-0.425320908800841,-0.358390836707748,-0.337085629941293,-0.314001169712253,-0.31316880783131,-0.295789193585054,-0.272353122190393,-0.253360907781174,-0.15508674592274,-0.0591171507354329,0.0705703037345538,0.222412928199113,0.351935335973927,0.471194536660151,0.556264638566766,0.625138850130691,0.672792674873156,0.682595935604985,0.68675956944577,0.638044374374513,0.55119318911811,0.468598412803433,0.37379301401584,0.246994170593734,0.141777224586287,0.0892404683871675,0.068510986862179,0.0682774378700026,0.0833402599849239,0.134881604177465,0.165118685510626,0.174389067069735,0.175510203643441,0.14461343098433,0.131838502176341,0.104580751011105,0.079676594547316,0.0561508925293052,0.0170946863620065,-0.00431329404733564,-0.033129433321593,-0.0480756303259994,-0.0659956686931808,-0.0954226141751779,-0.0664860363121925,-0.0364070195769442,-0.0228633545716605,-0.0201512832199324,-0.0210382625641781
9,-0.358839368081522,-0.322689870332273,-0.282004583108999,-0.233965316543284,-0.179334975097374,-0.133755426665722,-0.115515033696761,-0.119787959288283,-0.138001774180012,-0.159199123705694,-0.170944658545384,-0.176242943855337,-0.140399135183773,-0.126765457256706,-0.116893973229657,-0.127166061087567,-0.151078030765377,-0.158010146760799,-0.205050098572939,-0.204029686042951,-0.190576243986766,-0.135084965272531,-0.062180533334433,-0.00598445664003895,0.0732272433734502,0.141140794898404,0.23129062748941,0.279810799198426,0.296783310588525,0.322386600374532,0.349196560990361,0.341347206728403,0.291113085232586,0.24498563123785,0.212669750145038,0.146680828416864,0.0527856924299008,-0.0249011696334166,-0.0744315132127173,-0.0914055782045453,-0.0964799587565873,-0.0707254161419593,-0.00920123068375264,0.0684491875319622,0.115532390151472,0.118913464985865,0.111117672335967,0.113562924667856,0.0959332745199401,0.0803414514206613,0.0757109009906823,0.111026078123053,0.161847443622605,0.179845830136264,0.192337777531076,0.158179716819099,0.156181385490257,0.137261831029823,0.0728015343731757,0.0210379708225112
10,-0.248270701712882,-0.25053398961692,-0.288073226235953,-0.297207162349149,-0.31808226295237,-0.312827685673971,-0.285811218725222,-0.259774654575612,-0.182858188990796,-0.13754475654429,-0.0758460437373358,-0.0359599027696226,0.0010400952629154,0.0218132807882568,0.0085158385746974,0.0283832032641817,0.0466658027718197,0.0646401757461537,0.04954211532242,0.0537573360370887,0.0618241596338541,0.0461006186381753,0.0372569632404298,0.0527965633663293,0.132086447025405,0.185588159109303,0.237986596109649,0.304400583845658,0.341532534466199,0.349212553352185,0.271259704814886,0.237923833449845,0.19641280261614,0.145181059942929,0.103052311302564,0.0651271808063661,0.0867192097773175,0.08474522489856,0.0741246858771776,0.0587594563366181,0.0504571974198507,0.0474484891003734,0.0258739928701806,-0.00835939121312339,-0.00943159108693795,0.0166415877134175,0.037689001666881,0.0631969509537615,0.0599809174467214,0.058007389151745,0.0318110782744603,-0.0446059173392751,-0.111052286353671,-0.183644302226163,-0.198524681122963,-0.187467335640752,-0.160891201847613,-0.0868711216878447,-0.0487693992564587,0.004887458445661
