Metric,AUC_Structure_Field,Rank_PRE_R,Rank_PRE_P_Raw,Rank_PRE_FDR_Q,Rank_PRE_FDR_Significant,Rank_TEST_R,Rank_TEST_P_Raw,Rank_TEST_FDR_Q,Rank_TEST_FDR_Significant,Rank_Delta_R,Rank_Delta_P_Raw,Rank_Delta_FDR_Q,Rank_Delta_FDR_Significant,FractionLosses_Delta_R,FractionLosses_Delta_P_Raw,FractionLosses_Delta_FDR_Q,FractionLosses_Delta_FDR_Significant
deltaC,g_delta_C,-0.315711389496978,0.13288052168363,0.398641565050891,0,0.188443357830125,0.377865592034698,0.377865592034698,0,0.484757737254462,0.016360889474204,0.0360790136475836,1,0.480280942158914,0.017530852809035,0.0262962792135525,1
deltaL,g_delta_L,0.162640248850247,0.447664849921519,0.671497274882279,0,-0.353328569775879,0.0903270824990346,0.135490623748552,0,-0.459022254472198,0.0240526757650557,0.0360790136475836,1,-0.497478996319628,0.0133796198473483,0.0262962792135525,1
SWP,g_swp,-0.0575349670877458,0.789440863380836,0.789440863380836,0,0.358065469053969,0.0857954483470008,0.135490623748552,0,0.386722298725519,0.0619305573940556,0.0619305573940556,0,0.448926326764832,0.0277700215730096,0.0277700215730096,1
