,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
Nacc,0.328922026778339,0.571763002708316,-0.394721232141987,-0.562293173733376,-0.357428300527125,-1.70615277978282,-1.86805187134524,-1.0345657537236,-1.76161069266331,-1.89723812930555,-1.23300605439459,-1.30190044843941,-1.43623131633358,0.476301418672845,0.919101560459817,0.27677202567427,1.00476149194187,-1.52125298744676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,-0.17007429164918,0.786055561820928,-0.629106658217544,-0.285806192733881,-1.02632985232841,-0.647929634685504,-1.16846758098929,-2.57155941076649,-3.50619319221264,-3.63838885514567,-1.91333491027808,-0.800519629949054,-0.17822279953388,-0.735674110080685,-0.656557148356488,0.63300699982574,0.949700230606174,0.303829110132325,0.36058559094354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pall,-1.09147248198316,-0.444991620720993,-0.926422290471353,-0.783874909115498,-1.36820286822556,-1.26979936637254,-1.0360012531245,-4.28467142236962,-4.08153355531025,-4.02509897194959,-2.32476581807398,-0.785702723371596,0.241486192707413,-1.00659492669091,-0.0624504140973446,-0.196951207177439,1.35673555841428,0.106420836601732,-1.4215006672768,-2.22335265158209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VP,-0.3734450529796,1.68248449132722,0.816679814659327,0.0271478436791422,-0.039178640646225,1.08063815068007,0.76151428462773,-1.37769528772779,-1.04300837790834,-2.1819689260663,-1.65961111396291,-0.741546464386717,0.405865819917793,-0.618607877757184,0.511117937535043,0.848527055216793,2.10283614690224,1.60029046935248,0.552355728765384,-0.254956396520604,0.192460587683469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cl,0.560720278068209,0.289897817287777,-0.821996684020176,-0.5349402538292,-1.33047123342166,0.785151822791038,-0.0856251939633398,-2.67666085532466,-2.2055240615551,-2.25338559271154,-1.26679382606095,-0.811368545100446,-1.41667487065243,0.510215955600628,0.713404037003191,0.504741597479453,0.175326256665858,1.22174095433262,0.932299788541073,0.241248931637091,-1.33701556806993,-0.316121262644601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amyg,0.286036371258715,0.913962360719282,0.410444926461987,-0.186449552019817,0.24937045963282,0.785674578624961,0.946349719294282,-1.30347456464886,0.213937529353976,-0.498357074231788,-0.0861840006576146,0.362314874545573,-0.894759518738482,1.57861046163925,1.18149634133482,0.156120846265405,0.029091810080766,0.296198822554234,0.171447502904069,0.117776820670299,0.964566854805157,0.974097668815678,0.677889719856128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZI,-0.694698368897828,-1.05620049005847,-1.34645371001653,-1.75515922465915,-0.743027846469695,0.403457711449973,0.0264994099317104,-0.658293404762316,-1.04697994040796,-0.448419273094438,-0.773908709355675,-0.56416172734688,-1.70319732584236,1.46734924277638,0.534320839369016,-1.47832452819968,-1.54639985170034,-0.602464745033287,-1.08697407532064,-1.49134638252998,-0.997178593190763,1.05721513348408,-0.349796739616587,1.37101541889182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_dors,1.23659059467391,-0.884728072625571,-2.18960491327503,-2.40919717314818,-1.48773873182597,-1.28412094116756,-1.60231503984909,-1.90252209105424,-2.43046441185055,-2.11549255988001,-1.03252877868048,-1.76375993907983,-2.34573701337675,1.18696569815458,0.436745985658977,-1.24668855985784,-0.543640655258729,-1.03443226417302,-1.16538912022126,-0.717976307291001,-2.87710798524634,-0.416322130244185,1.67877678780841,0.383375639717667,-0.404380066911589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_ventr,1.42822762727985,0.288402443117931,-1.31664063615081,-1.06437556706294,-1.55083625179868,-0.923727536363845,-1.57303134343294,-0.954243301529932,-1.34474446669112,-1.67449544826452,-0.781510992883995,-0.81963608452879,-1.98191082902784,0.27013927876942,1.61346575629142,0.822532134291174,0.40139180160922,-0.653046380391371,0.247994405422513,-0.0458964648943499,-2.2638930383368,-0.584125553431199,2.0241121522519,1.89231126649065,-0.696628975137842,1.6272897204805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_post,0.464351866992218,1.1208666641163,-0.202618532701982,-0.230090456005581,-1.1970085486567,-0.253997743572196,-1.05799502243456,-1.9422871651842,-0.872786284861338,-0.905227680013924,1.83331785557465,0.117579170164995,-0.475020364720406,-0.294603932511993,-0.451851582605958,0.249488915984302,1.26709633851071,0.07000068704314,-0.00194817330387738,-0.212662901794382,-1.46755200362555,-0.27270196861531,1.66679152800134,-1.62902783140348,-0.444559999006488,0.466169294714015,0.398074071775821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gust,2.10110647544847,0.703185912057158,-0.665990154726518,-0.46217364511331,-0.781265971531522,0.633475213231103,0.495344624083004,-1.2546909304257,-1.32864377072362,-0.949649060331282,-0.792318157013719,-0.968958424067955,-0.759648402936759,0.34361197047296,-0.36349683570117,0.248793902441686,0.887555222710451,0.263484488156336,0.491551200862512,-0.144824174106284,-2.21029896127104,-1.1387608614884,-0.0576045614479693,-0.213808937645881,-0.439118494811954,0.411511846561364,0.519450763021539,-0.685906268118947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visc,0.330264828366985,0.511828144388038,-0.588291490656987,-0.229865984835109,-1.20609752414785,1.03913495768707,0.76948224474376,-2.08780436946586,-2.00701833604635,-1.86998515371724,-0.373477643683199,0.0024824721001769,-0.63588479645376,0.74005166963945,-0.181004509601671,0.0945799532271307,0.364464978656027,0.282478509759684,0.43509932225542,-0.662611872120053,-1.55136145811948,-0.564573312778246,1.14870727656199,-0.974012824441877,0.164427582597757,0.225106694245538,0.59909657102148,1.4670439468621,-0.662260302418931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perih,0.164488524558548,0.0673691582899756,-0.0796689190083952,-0.0858371384875796,-0.14643960641323,-0.488561404346096,-0.338603821431477,-0.719721765447401,-0.792411265623901,-0.0813047808555593,0.532644563887677,-0.836907831644207,-1.2029705952872,1.37811040218047,0.945838966044173,0.230165220996704,-0.00274527788410812,0.0847781462498963,0.890565192891942,-0.317362579190112,-0.403440385271562,-0.193488123478724,0.989752623979898,0.421293314847059,-0.200322322192809,1.0651054652373,1.18554189024656,1.06530790280513,1.05195019651137,0.708201467998447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ect,-1.79680057810232,-1.44538739862971,-1.03847460274952,-1.4065251784314,-1.21467582216898,-1.51649714025582,-1.65198679688423,-1.22787197480365,-1.51396388210294,-1.23235060071624,-0.296069007064227,-1.54589672805004,-1.23703306545091,0.845137775303964,0.658031630467635,-1.03533560386601,-1.29335717681547,-0.813598581837828,-0.13484162997021,-1.96389603793727,-1.47300272402285,-0.462539703471307,-0.517641984594293,0.0124410431862493,-0.645122805174634,0.0556764551217574,0.17343061921283,0.284891375591501,-0.416949891198084,-0.382641533129982,1.38306589447764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ent,0.376778380758938,-0.837319522952021,-0.00875114870620756,-0.766291922941098,-0.772543150334972,-1.52990235275197,-1.66563945777171,-0.846566618260206,-0.465089471522263,-1.39570538896849,0.203428216822155,-0.794268603804262,-1.13183761841094,-1.27817730497756,0.803341241673456,-0.953463007794855,-1.28562524714273,-0.899351944853094,-0.579660964816165,-1.67176593050665,-2.38740110877334,-1.2194501270453,0.927569465835639,2.19946268634096,-1.82866456235762,0.349256453808922,-0.492204954189022,0.962733180059019,-0.148932475924008,0.492403068795943,2.02041915179863,1.30363217995053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temp,-1.12372932084551,-1.28244255273513,-0.983893265614225,-0.883478092078585,-0.303011762701044,-0.27929729570722,0.211744391586458,-1.55949631198829,-0.996728232586204,-0.553491842957395,-1.40788935347941,-1.71457172315399,-0.90595945803343,0.0892265737734355,1.39183865687631,-1.39331886291034,-1.03725203293432,-1.05320272397794,-0.491361555589089,-2.12063387529065,-1.45105713411792,-0.108796665242261,-0.513687175190944,1.55634223886862,0.898346969867012,-0.114347510889592,0.209015268276538,1.00693770353072,-0.590634449478679,-0.398174588746947,2.26662291743868,0.840445632350765,0.0230749828926364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParAss,-0.819921579418025,-0.935349058799183,-1.76909573196212,-1.8315170067792,-1.44620993217952,0.421089465137065,-0.770728037360935,-0.307347415988631,-1.12937104058677,-0.0847726527346602,-0.0404170934387636,-0.0755845367458235,-0.202233023673929,-1.23032938422054,-0.325692532756794,-1.23327058842967,-0.582661986878652,-2.04881752940532,-1.49158186826286,-1.09767452423529,-1.845022327489,-1.07695750888437,-0.587183314130439,0.512440865591241,-0.159026128890254,0.389639847309727,-0.647126713407329,-1.27049403116893,-0.0236848077906705,0.0300685889893367,1.00053733673413,-0.299723171145747,-1.74809289523326,1.57772623639097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS,-0.107134805894423,-1.81016272024752,-2.69735990326152,-2.64645583713311,-2.03925418433723,-0.265091551998982,-0.921035071979684,-1.01946341500362,-2.40224488384974,-1.92463922653263,-1.37339325293316,-1.23661185249609,-1.16066490636975,-0.0698742372281394,-0.440545711162069,-1.85452211471799,-1.11851625540453,-1.99527421424258,-2.01399443042862,-2.61252673659664,-2.31167031682432,-1.00576146187263,-1.28000015509893,0.471965414974289,0.254063375969118,-0.892133688961314,-2.41747377927147,-1.45598476908012,-0.120237162129094,-0.0547729614195533,0.81201132795211,-0.270392472450038,-2.02991866095378,0.99108852627072,-1.54709544828579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
