Statistic,Estimate,P
Pearson_fr_winner_vs_PRE,0.113922952698268,0.596081874912887
Pearson_fr_winner_vs_TEST,-0.268284420239901,0.204959334572773
Pearson_fr_winner_vs_delta,-0.304764925998537,0.147604658446822
Spearman_fr_winner_vs_delta,-0.386156184810642,0.0623461867680499
Paired_PRE_vs_TEST_ttest,5.71655713289927,8.03456428125572e-06
Paired_PRE_vs_TEST_permutation,NaN,9.99900009999e-05
