Comparison,Pearson_R,P_Raw,FDR_Q,FDR_Significant
Rank_vs_PRE,0.162640248850247,0.447664849921519,0.671497274882279,0
Rank_vs_TEST,-0.353328569775879,0.0903270824990346,0.135490623748552,0
Rank_vs_TESTminusPRE,-0.459022254472198,0.0240526757650557,0.0360790136475836,1
