AnimalID,AnimalNumber,NoSeMaze,HierarchyWindow,Rank,Pre,Test,Delta_TestMinusPre
0007CA3BEA,11,2,AM2_day1to14,8,0.369081790437987,0.66065542641916,0.291573635981172
0007CB2246,12,2,AM2_day1to14,10,0.322270370084946,0.39557519770944,0.0733048276244939
0007CB2584,13,2,AM2_day1to14,3,0.391161346253863,0.901101193103159,0.509939846849297
0007CB2275,14,2,AM2_day1to14,2,0.28831952938988,0.549222117814858,0.260902588424977
0007CB39B0,17,2,AM2_day1to14,11,0.385824042441657,0.524753062724406,0.138929020282749
0007CA3D87,18,2,AM2_day1to14,5,0.351933568267428,0.582297059041677,0.230363490774249
0007CB3395,19,2,AM2_day1to14,4,0.53458480307542,0.734187304050976,0.199602500975556
0007CB6A8C,22,2,AM2_day1to14,6,0.440795546292498,0.538090108176693,0.0972945618841951
0007CB6B2C,23,2,AM2_day1to14,1,0.41359929960013,0.528535642503689,0.114936342903558
0007CB24AD,24,2,AM2_day1to14,7,0.501592817717351,0.532343341525609,0.0307505238082583
0007CB24DA,25,2,AM2_day1to14,12,0.508638103433345,0.504964312851246,-0.00367379058209916
0007CA38FF,26,1,AM1_day3to16,3,0.334411698067923,0.571752317643309,0.237340619575386
0007CB357C,27,1,AM1_day3to16,4,0.363764411343116,0.654676407957263,0.290911996614147
0007CB239E,30,1,AM1_day8to21,4,0.298416853490446,0.466448371564056,0.16803151807361
0007CB4123,31,1,AM1_day8to21,3,0.313418300261448,0.456002412464395,0.142584112202947
0007CB42F2,32,1,AM1_day8to21,8,0.466904027972596,0.42021549168086,-0.0466885362917362
0007CB08A5,33,1,AM1_day3to16,12,0.302030695868734,0.409851855001695,0.107821159132961
0007CB6EA3,34,1,AM1_day3to16,6,0.395990570963633,0.731203769028399,0.335213198064766
0007CB0ABC,35,1,AM1_day3to16,7,0.337663386525989,0.472113962284096,0.134450575758108
0007CB1EC1,36,1,AM1_day3to16,11,0.349672664556342,0.464636449996193,0.114963785439852
0007CA3A35,37,1,AM1_day8to21,1,0.565067115344591,0.638369618419359,0.0733025030747683
0007CB330D,38,1,AM1_day8to21,7,0.471334582005283,0.544820476627684,0.0734858946224006
0007CB2144,39,2,AM2_day1to14,9,0.385717882903566,0.580769057036419,0.195051174132853
0007CB0D91,40,1,AM1_day8to21,11,0.787125677698679,0.685768700329556,-0.101356977369123
