Metric,Mean,SD,SEM,Minimum,Maximum,N
Translation_Right,0.00226068499926157,0.00054015049726204,0.000110257758550217,0.00131365887791288,0.00345289298161269,24
Translation_Forward,0.00395648250087378,0.000696524029827802,0.0001421773722221,0.00256186232153838,0.00546585823658867,24
Translation_Up,0.0141440476649996,0.00393123971433656,0.000802460946390774,0.00771779495204324,0.0231917181850041,24
Rotation_Pitch,0.00248351378511647,0.000630531338575487,0.000128706670528667,0.00102534676570933,0.00336640079607918,24
Rotation_Roll,0.00115087096756746,0.000302620825444666,6.17722173232741e-05,0.000304116076836393,0.00166728501013309,24
Rotation_Yaw,0.000499510074653313,0.000108215358615201,2.20893675782948e-05,0.000333268222855346,0.000720524102698589,24
FD,0.0373539261923731,0.00794237101848377,0.00162122969526286,0.0231752530496209,0.0494641978072318,24
