Animal,MotionFile,MeanAbsTranslation_Right_mm,MeanAbsTranslation_Forward_mm,MeanAbsTranslation_Up_mm,MeanAbsRotation_Pitch_rad,MeanAbsRotation_Roll_rad,MeanAbsRotation_Yaw_rad,MeanFD_mm
ZI_M11,data/processed/fMRI/preprocessing/reappraisal/ZI_M11/motion/rp_despiked_del5_ZI_M11_T1_1_1_20200723_091044_05_reorient.txt,0.00204434525612555,0.00326935569361855,0.00879115780109262,0.00170557257704207,0.00093378468007112,0.000472744915767208,0.0268678351768783
ZI_M12,data/processed/fMRI/preprocessing/reappraisal/ZI_M12/motion/rp_despiked_del5_ZI_M12_T1_1_1_20200722_142218_05_reorient.txt,0.00243638253067025,0.00334984908408416,0.0231917181850041,0.00333229467729412,0.00120284385912085,0.000419067092820905,0.0494641978072318
ZI_M13,data/processed/fMRI/preprocessing/reappraisal/ZI_M13/motion/rp_despiked_del5_ZI_M13_T1_2_1_20200722_094701_11_reorient.txt,0.00275817536504945,0.00388511102308943,0.0151197226586878,0.0031930406478847,0.00139560024527057,0.000628125459847452,0.0432793759570954
ZI_M14,data/processed/fMRI/preprocessing/reappraisal/ZI_M14/motion/rp_despiked_del5_ZI_M14_T1_1_1_20200723_114339_05_reorient.txt,0.00234837753691875,0.00456956016413125,0.0143273759428123,0.00288280376378948,0.00134213184174627,0.000570124780907479,0.0409408828184868
ZI_M17,data/processed/fMRI/preprocessing/reappraisal/ZI_M17/motion/rp_despiked_del5_ZI_M17_T1_1_1_20200722_154011_12_reorient.txt,0.00202150415324393,0.00350292907458053,0.0115131429861258,0.00185898256904455,0.000988574245519271,0.000393172857229624,0.0302475439650041
ZI_M18,data/processed/fMRI/preprocessing/reappraisal/ZI_M18/motion/rp_despiked_del5_ZI_M18_T1_1_1_20200722_121015_05_reorient.txt,0.00216481184650398,0.00335872572310503,0.0163228736249873,0.00303285784088534,0.00114593765835196,0.000422727275372434,0.040857028812245
ZI_M19,data/processed/fMRI/preprocessing/reappraisal/ZI_M19/motion/rp_despiked_del5_ZI_M19_T1_1_1_20200722_110202_05_reorient.txt,0.00194089597111415,0.00286232445379033,0.010407967177043,0.00195099429177225,0.000906819077575947,0.000393737791900424,0.028575390585733
ZI_M22,data/processed/fMRI/preprocessing/reappraisal/ZI_M22/motion/rp_despiked_del5_ZI_M22_T1_1_1_20200723_141612_05_reorient.txt,0.00150638406811479,0.00256186232153838,0.0105917087807895,0.00201964927224939,0.000754291244768867,0.000376546067226345,0.0277674451632552
ZI_M23,data/processed/fMRI/preprocessing/reappraisal/ZI_M23/motion/rp_despiked_del5_ZI_M23_T1_1_1_20200723_123708_05_reorient.txt,0.00298807669962498,0.00546585823658867,0.0173472367501859,0.00318700612137608,0.00124561602654083,0.000520978190980477,0.0462902992576332
ZI_M24,data/processed/fMRI/preprocessing/reappraisal/ZI_M24/motion/rp_despiked_del5_ZI_M24_T1_1_1_20200723_152915_05_reorient.txt,0.00192447320115825,0.00370876215071808,0.0123332111216111,0.00202657153235342,0.00106060620111717,0.000489112137992288,0.0326168011292671
