Animal,MotionFile,MeanAbsTranslation_Right_mm,MeanAbsTranslation_Forward_mm,MeanAbsTranslation_Up_mm,MeanAbsRotation_Pitch_rad,MeanAbsRotation_Roll_rad,MeanAbsRotation_Yaw_rad,MeanFD_mm
ZI_M25,data/processed/fMRI/preprocessing/reappraisal/ZI_M25/motion/rp_despiked_del5_ZI_M25_T1_1_1_20200722_132522_05_reorient.txt,0.0029120153418835,0.00490177351817205,0.0174614766184788,0.00315846216465421,0.00127953062084547,0.000580681339204673,0.0460424506236572
ZI_M26,data/processed/fMRI/preprocessing/reappraisal/ZI_M26/motion/rp_despiked_del5_ZI_M26_T1_1_1_20200724_150430_06_reorient.txt,0.00232608379362063,0.00420645549587012,0.0152030784253828,0.0027267565442751,0.00166728501013309,0.000543137885177986,0.0416176194669865
ZI_M27,data/processed/fMRI/preprocessing/reappraisal/ZI_M27/motion/rp_despiked_del5_ZI_M27_T1_1_1_20200724_134511_06_reorient.txt,0.00187443189370715,0.00382826836635067,0.0102958614785977,0.00204806583587899,0.00136790911805083,0.000413788487560812,0.0313195121202847
ZI_M30,data/processed/fMRI/preprocessing/reappraisal/ZI_M30/motion/rp_despiked_del5_ZI_M30_T1_1_1_20200729_140456_06_reorient.txt,0.00172126430795466,0.00338038990375723,0.0119069995446632,0.00236342548806417,0.00115125307359856,0.000468785359581935,0.0333205372299227
ZI_M31,data/processed/fMRI/preprocessing/reappraisal/ZI_M31/motion/rp_despiked_del5_ZI_M31_T1_1_1_20200729_113253_06_reorient.txt,0.00345289298161269,0.00418954689160904,0.0217957983002122,0.00286577109398786,0.00101941645370448,0.000639155825278804,0.0484036011198584
ZI_M32,data/processed/fMRI/preprocessing/reappraisal/ZI_M32/motion/rp_despiked_del5_ZI_M32_T1_1_1_20200729_090123_06_reorient.txt,0.00302476462771737,0.00377840694234454,0.0177780236914696,0.00242360837217034,0.000979008257529928,0.000401545009347405,0.0402877227441608
ZI_M33,data/processed/fMRI/preprocessing/reappraisal/ZI_M33/motion/rp_despiked_del5_ZI_M33_T1_1_1_20200724_111711_06_reorient.txt,0.00204474282313509,0.00479257967555253,0.0106110904510359,0.00221978729773896,0.00132446379996082,0.000720524102698589,0.0349239353531465
ZI_M34,data/processed/fMRI/preprocessing/reappraisal/ZI_M34/motion/rp_despiked_del5_ZI_M34_T1_1_1_20200724_085049_06_reorient.txt,0.00210505568968542,0.00490398853781955,0.0135310186892876,0.00261517247695584,0.000999555668873837,0.000422669205884827,0.0372587904183313
ZI_M35,data/processed/fMRI/preprocessing/reappraisal/ZI_M35/motion/rp_despiked_del5_ZI_M35_T1_1_1_20200724_123313_06_reorient.txt,0.00244314168858143,0.00380437952535954,0.0144959701839244,0.00227508149276684,0.00141486201588931,0.000708150405288894,0.0386806742417408
ZI_M36,data/processed/fMRI/preprocessing/reappraisal/ZI_M36/motion/rp_despiked_del5_ZI_M36_T1_1_1_20200724_100751_06_reorient.txt,0.00131365887791288,0.0042617201358916,0.0104792473142258,0.00102534676570933,0.000304116076836393,0.000333268222855346,0.0231752530496209
ZI_M37,data/processed/fMRI/preprocessing/reappraisal/ZI_M37/motion/rp_despiked_del5_ZI_M37_T1_1_1_20200729_124524_06_reorient.txt,0.00227343625315348,0.0042234415267763,0.0141534741224779,0.00264468922411434,0.00104778926618163,0.000463261985776332,0.0378514411425555
ZI_M38,data/processed/fMRI/preprocessing/reappraisal/ZI_M38/motion/rp_despiked_del5_ZI_M38_T1_1_1_20200729_152417_06_reorient.txt,0.00140913611677473,0.00352255946970231,0.00771779495204324,0.00153780745732557,0.000889550313980726,0.000455271097896471,0.0244498048135754
ZI_M39,data/processed/fMRI/preprocessing/reappraisal/ZI_M39/motion/rp_despiked_del5_ZI_M39_T1_1_1_20200723_101506_05_reorient.txt,0.00288691570140466,0.00394376629429825,0.0156285532620949,0.00314418253938319,0.00158396955267231,0.000645919887715222,0.0444335434829441
ZI_M40,data/processed/fMRI/preprocessing/reappraisal/ZI_M40/motion/rp_despiked_del5_ZI_M40_T1_1_1_20200729_101616_06_reorient.txt,0.0023354732566099,0.00468396581222249,0.0184526418977558,0.00336640079607918,0.00161598891327878,0.000505746407367589,0.0478225421373388
