Metric,AUC_Structure_Field,Rank_PRE_P_Raw,Rank_PRE_FDR_Q,Rank_PRE_FDR_Significant,Rank_TEST_P_Raw,Rank_TEST_FDR_Q,Rank_TEST_FDR_Significant,Rank_Delta_P_Raw,Rank_Delta_FDR_Q,Rank_Delta_FDR_Significant
deltaC,g_delta_C,0.988194410123984,0.988194410123984,0,0.201112213972954,0.603336641918861,0,0.433844356238188,0.836910190208114,0
deltaL,g_delta_L,0.855281243064431,0.988194410123984,0,0.957712244143025,0.957712244143025,0,0.836910190208114,0.836910190208114,0
SWP,g_swp,0.770072153724828,0.988194410123984,0,0.797500554041492,0.957712244143025,0,0.636471293795886,0.836910190208114,0
