NoSeMaze,MouseID,Rank_Week1,Rank_Week2,DavidsScore_Week1_Raw,DavidsScore_Week2_Raw,DavidsScore_Week1_Z,DavidsScore_Week2_Z
AM1,AM1-01,4,3,2,5.25,0.207227223239918,0.387442124614417
AM1,AM1-02,1,1,17,26,1.76143139753931,1.91876099809045
AM1,AM1-03,11,11,-14,-15.6666666666667,-1.45059056267943,-1.15617649884937
AM1,AM1-04,9,4,-4.66666666666667,4,-0.483530187559809,0.295193999706222
AM1,AM1-05,5,12,1.83333333333333,-19.75,0.189958287969925,-1.45752037354947
AM1,AM1-06,12,10,-15.8333333333333,-13.4166666666667,-1.64054885064935,-0.990129874014621
AM1,AM1-07,2,2,10.5,21,1.08794292200957,1.54976849845767
AM1,AM1-08,7,7,1.5,-2,0.155420417429939,-0.147596999853111
AM1,AM1-09,3,6,8.5,0.666666666666664,0.880715698769653,0.0491989999510369
AM1,AM1-10,10,5,-8.5,1.91666666666667,-0.880715698769653,0.141447124859232
AM1,AM1-11,6,9,1.66666666666667,-5.33333333333333,0.172689352699932,-0.393591999608297
AM1,AM1-12,8,8,0,-2.66666666666667,7.66894781900315e-18,-0.196795999804148
AM2,AM2-01,10,3,-7.83333333333333,6.5,-0.791428926911652,0.926140421969467
AM2,AM2-02,3,4,4.16666666666667,2.33333333333333,0.420972833463645,0.332460664296732
AM2,AM2-03,7,8,-0.333333333333334,-2,-0.0336778266770916,-0.284966283682913
AM2,AM2-04,11,12,-8.83333333333333,-10,-0.892462406942927,-1.42483141841456
AM2,AM2-05,1,7,17.8333333333333,-0.333333333333333,1.8017637272244,-0.0474943806138188
AM2,AM2-06,4,5,2.33333333333333,1.33333333333333,0.235744786739641,0.189977522455275
AM2,AM2-07,12,11,-16.6666666666667,-9.66666666666667,-1.68389133385458,-1.37733703780075
AM2,AM2-08,6,1,1.5,11.6666666666667,0.151550220046912,1.66230332148366
AM2,AM2-09,9,2,-5.83333333333333,9.5,-0.589361966849102,1.35358984749384
AM2,AM2-10,8,10,-4.66666666666667,-8,-0.471489573479282,-1.13986513473165
AM2,AM2-11,5,6,2.33333333333333,0.666666666666666,0.235744786739641,0.0949887612276376
AM2,AM2-12,2,9,16,-2,1.6165356805004,-0.284966283682913
