Analysis,CorrelationType,Correlation,P,N
Rank_Week1_vs_Week2,Spearman,0.405594405594406,0.0492547708906326,24
DavidsScoreZ_Week1_vs_Week2,Pearson,0.471630769964265,0.0199844576904738,24
