Panel,SparsityRange,Predictor,Metric,AnimalID,AnimalNumber,ScanDay,PredictorValue,Pre,Test,TestMinusPre
Figure_S9C,40-50,Rank,g_delta_C,0007CA3BEA,11,3,8,0.253856960020322,0.0303181420827501,-0.223538817937572
Figure_S9C,40-50,Rank,g_delta_C,0007CB2246,12,3,10,0.246505985216297,0.126193530363136,-0.120312454853162
Figure_S9C,40-50,Rank,g_delta_C,0007CB2584,13,3,3,0.314565261207001,0.0864298114867301,-0.228135449720271
Figure_S9C,40-50,Rank,g_delta_C,0007CB2275,14,3,2,0.298017463553689,0.134335776622645,-0.163681686931044
Figure_S9C,40-50,Rank,g_delta_C,0007CB39B0,17,3,11,0.0748676690842931,0.0506895873166027,-0.0241780817676904
Figure_S9C,40-50,Rank,g_delta_C,0007CA3D87,18,3,5,0.287224348449818,0.0323486943694239,-0.254875654080394
Figure_S9C,40-50,Rank,g_delta_C,0007CB3395,19,3,4,0.153104635142623,0.00822203353298222,-0.144882601609641
Figure_S9C,40-50,Rank,g_delta_C,0007CB6A8C,22,3,6,0.102597954882317,0.110365674078118,0.00776771919580063
Figure_S9C,40-50,Rank,g_delta_C,0007CB6B2C,23,3,1,0.103006726732667,0.0220910083939487,-0.080915718338718
Figure_S9C,40-50,Rank,g_delta_C,0007CB24AD,24,3,7,0.0141059914980837,0.0552736561543653,0.0411676646562816
Figure_S9C,40-50,Rank,g_delta_C,0007CB24DA,25,3,12,0.00010448214837655,0.0974549575176309,0.0973504753692544
Figure_S9C,40-50,Rank,g_delta_C,0007CA38FF,26,1,3,0.145392235751149,0.0894983395699284,-0.0558938961812204
Figure_S9C,40-50,Rank,g_delta_C,0007CB357C,27,1,4,0.195212799192441,0.00211945903290552,-0.193093340159536
Figure_S9C,40-50,Rank,g_delta_C,0007CB239E,30,2,4,0.356664945586459,0.145354479797679,-0.21131046578878
Figure_S9C,40-50,Rank,g_delta_C,0007CB4123,31,2,3,0.335859207298764,0.182501698671658,-0.153357508627106
Figure_S9C,40-50,Rank,g_delta_C,0007CB42F2,32,2,8,0.210397303868405,0.0833207846627991,-0.127076519205606
Figure_S9C,40-50,Rank,g_delta_C,0007CB08A5,33,1,12,0.255143502798491,0.200103370279032,-0.0550401325194596
Figure_S9C,40-50,Rank,g_delta_C,0007CB6EA3,34,1,6,0.0797915997270792,0.0167028805741825,-0.0630887191528967
Figure_S9C,40-50,Rank,g_delta_C,0007CB0ABC,35,1,7,0.223848502033831,0.0883065033256291,-0.135541998708202
Figure_S9C,40-50,Rank,g_delta_C,0007CB1EC1,36,1,11,0.207657062104677,0.146912303858066,-0.0607447582466101
Figure_S9C,40-50,Rank,g_delta_C,0007CA3A35,37,2,1,0.184667753267296,0.0329493740863886,-0.151718379180907
Figure_S9C,40-50,Rank,g_delta_C,0007CB330D,38,2,7,0.152830766864798,0.0973489376527892,-0.0554818292120087
Figure_S9C,40-50,Rank,g_delta_C,0007CB2144,39,3,9,0.147274628584804,0.0129501930991855,-0.134324435485618
Figure_S9C,40-50,Rank,g_delta_C,0007CB0D91,40,2,11,0.0382894755185603,0.0962549256597944,0.0579654501412341
Figure_S9C,40-50,Rank,g_delta_L,0007CA3BEA,11,3,8,0.367825046962065,0.65160466873981,0.283779621777745
Figure_S9C,40-50,Rank,g_delta_L,0007CB2246,12,3,10,0.322789226500253,0.395063745323361,0.0722745188231079
Figure_S9C,40-50,Rank,g_delta_L,0007CB2584,13,3,3,0.393329654810943,0.881576203554155,0.488246548743211
Figure_S9C,40-50,Rank,g_delta_L,0007CB2275,14,3,2,0.289687349200874,0.550182348283388,0.260494999082514
Figure_S9C,40-50,Rank,g_delta_L,0007CB39B0,17,3,11,0.387797395995925,0.510554398196884,0.122757002200959
