Comparison,Pearson_R,P_Raw,FDR_Q,FDR_Significant
Rank_vs_PRE,-0.315711389496978,0.13288052168363,0.398641565050891,0
Rank_vs_TEST,0.188443357830125,0.377865592034698,0.377865592034698,0
Rank_vs_TESTminusPRE,0.484757737254462,0.016360889474204,0.0360790136475836,1
