SparsityPercent,Animal_01,Animal_02,Animal_03,Animal_04,Animal_05,Animal_06,Animal_07,Animal_08,Animal_09,Animal_10,Animal_11,Animal_12,Animal_13,Animal_14,Animal_15,Animal_16,Animal_17,Animal_18,Animal_19,Animal_20,Animal_21,Animal_22,Animal_23,Animal_24
10,0.00274096650700495,-0.066345602594839,-0.0285060100122289,-0.082832756427087,0.105525519134451,-0.144210065674397,-0.294822673370518,0.0487893513096261,-0.0970908619585169,0.116946956364666,0.0378308965758489,-0.00861210630945242,-0.151793755312408,-0.0898620070720039,-0.0489598612586062,0.0514161063600131,-0.151387805873185,0.111877105273705,-0.0352264415750155,0.122624028843256,-0.0109895285890765,0.114876922247311,0.244029682365575,-0.00230631023046557
11,-0.01704052554084,-0.0385608966701285,-0.0706937671045943,-0.0864021542647173,0.0701587732276309,-0.0828491937842685,-0.269387020857752,0.0632681781221971,-0.0727600070555453,0.135697503187153,0.00456649076692572,-0.0199730390585796,-0.173134499740906,-0.0795936530764385,-0.073914625381264,0.0544570037688037,-0.138496421908907,0.0702915047751782,0.0192439691195996,0.0980678943148164,0.0473532660930687,0.0702157227299597,0.228088698036095,-0.0560875369804879
12,-0.160122176523076,-0.107151117560811,-0.0975565992134622,-0.0942071425899461,0.0852438500204192,-0.107364906709413,-0.208209144324157,0.0505528599098322,-0.0634177945081779,0.163699763197309,0.0285007119478785,-0.0196464274891154,-0.237225938265269,-0.0603382202994797,-0.238097250374047,0.0600635303146959,-0.160184145851462,0.0829938308700156,-0.0251802781178954,0.170768115425673,-0.0461928541677687,0.0627382456478667,0.217320098482434,-0.0407081375613414
13,-0.211274657807844,-0.136000873837745,-0.101008847528702,-0.109332385220821,0.0707367135643249,-0.0774310145172061,-0.263659599802075,-0.00122554736386127,-0.064949363149404,0.177254362447689,0.0455877557035373,-0.0172583961977788,-0.253684072105436,-0.0644958522292112,-0.307430998425118,0.0709268339889544,-0.174740269375916,0.0371738407191619,-0.00820325489515328,0.0611643791076452,-0.0609196749798329,0.0645320836113602,0.102961589114646,-0.0538143196216797
14,-0.266525714684145,-0.107249612088047,-0.0931678530212589,-0.133340636040412,0.0303762179428977,-0.0367092615971365,-0.272552749492189,-0.035010601327241,-0.0696745348038776,0.0410127502683476,-0.0193028086253986,-0.033013251225453,-0.252700471026456,-0.118914056148426,-0.361458542111168,0.0995079369984888,-0.145024029483622,0.0216546974890546,-0.0299826719191381,-0.135153691850461,0.00442349825218402,0.0220527590246876,0.0430913352663898,-0.0858579398409249
15,-0.249251843420892,-0.0805771397623841,-0.0461531737437042,-0.147923106586035,0.0060557357183898,-0.0440401342300724,-0.344053008173276,-0.0568826526495544,-0.0285704632868886,0.0233316918584373,0.010586492794361,-0.0356701207410414,-0.287896793658501,-0.0876705958544286,-0.384979232456891,0.101180784448286,-0.13653394127664,0.0157561998776703,-0.0357085581298627,-0.158937911548426,-0.0281038741101978,-0.0238211795934071,0.00469982788377321,-0.0726568283756176
16,-0.202298057497018,-0.0486361890399456,-0.0531174652168136,-0.138114003531961,-0.0224603394373798,-0.0405065788104935,-0.364707586144912,-0.0594005673632889,-0.0455911108656838,0.0118792034926229,0.0281077878273746,-0.0166519375091295,-0.146084581294457,-0.09660867284818,-0.350990990273538,0.136733976382252,-0.0833570707970456,0.00416016202210434,-0.0357139681710106,-0.168462806812091,-0.0438654355063629,-0.030916692948364,0.000730475787391383,-0.0545991399768071
17,-0.196080819038744,-0.0637758718733763,-0.0431003489259748,-0.149443687532807,-0.0141225032899323,-0.0676417062495897,-0.361233634123051,-0.0482739055489161,-0.041044269562263,-0.0324588301283337,0.0229493045383702,-0.0237884533107536,-0.139841971013227,-0.0979514204295088,-0.236159792305376,0.146461209651104,-0.0749884200526771,-0.00166765154584925,-0.024933598469021,-0.138180102838843,-0.077778513459118,-0.0135368602224523,-0.0413841156265591,-0.061781081541761
18,-0.23024379377783,-0.056802018611372,-0.042466834564353,-0.139417309941008,-0.0100391278822273,-0.0915200764516214,-0.377947284773847,0.0079825420056735,-0.0473421987057449,-0.0460455955027681,0.0299178582579012,-0.0260925729931887,-0.124466835662796,-0.0658653005488971,-0.26369151121637,0.144466104744196,-0.0668468167421978,-0.0139909893154568,-0.0363711116581028,-0.133964331115033,-0.0842411965050105,0.0126196324738868,-0.0588528461142126,-0.0323977916801591
19,-0.2427407674518,-0.0542311945339332,-0.0767406873801237,-0.144661114980156,-0.00765026962004334,-0.0872031057761463,-0.420911013645062,0.00662476616692009,-0.0638880972357602,-0.0282761461386098,0.0310315695599859,-0.0379202730380651,-0.150191077864835,-0.0537139026858473,-0.273425944210581,0.0968752505922807,-0.0445042809898812,-0.0385061224908131,-0.0483869444345687,-0.14380529195978,-0.0771998946890452,-0.00555425007909072,-0.0675037884888994,-0.0611382582137706
20,-0.258387525731699,-0.0523615621141822,-0.0742215367005029,-0.157930811869205,0.00839146138947255,-0.0673030506253036,-0.407169408771227,0.0281372394218357,-0.00800739544717322,-0.044555759454366,0.041343561320244,-0.0537926202990819,-0.14258121171536,-0.0558796849247061,-0.262504097381003,0.0983781849060349,-0.0592615417345079,-0.0468629575012923,-0.0282546860403432,-0.0954804459187204,-0.0834974961933077,-0.00806301679682431,-0.0557707624526216,-0.0590661631613736
21,-0.281494229715869,-0.068413259778754,-0.0719025674468674,-0.144477214275274,0.0206376462780334,-0.0638045147820885,-0.400835351734402,0.0302268746758751,-0.0146785506082383,-0.0386298085108842,0.0332556508613702,-0.0444586090624934,-0.147315264755325,-0.0520294839859046,-0.244482424877992,0.106390178901306,-0.0610370422279478,-0.0326304821500409,-0.034289687759915,-0.0985952946215746,-0.0862247685210299,0.0208418543874014,-0.0906307143131651,-0.0891302485688225
22,-0.255949007096639,-0.0573953914388734,-0.0665415830896019,-0.15958226722855,0.0241925130185674,-0.0611940720602482,-0.376508865790734,0.0250783839904221,-0.0246482586609476,-0.0300871073674425,0.0282256035137325,-0.0518868616241597,-0.146138273647937,-0.0455500197756943,-0.256004227520203,0.124146677838126,-0.0611773945970817,-0.0224228891902971,-0.0330474661615288,-0.105398224926593,-0.0787901760532996,0.0464877031946327,-0.0757733583640545,-0.10363347443646
23,-0.264090954293203,-0.0368174102818221,-0.0621017699187836,-0.16393533384362,0.0285518708409078,-0.0588912972086084,-0.349356943231135,0.0433560999935296,-0.0373887605008086,-0.0474231243184426,0.0343174869341418,-0.0593616628482365,-0.156162638340035,-0.0621129829020352,-0.258238967941622,0.106203950403168,-0.0645304982662627,-0.0266654549017165,-0.0245185308449362,-0.106422328310043,-0.0742533682156757,0.0197659731618722,-0.0809483994683329,-0.102739711934929
24,-0.265696085554848,-0.0251093245328007,-0.0580834993189648,-0.179721455781606,0.0158343329788551,-0.0574974310922715,-0.361102749768209,0.049240475181642,-0.0626659066852981,-0.0614896198657552,0.0358242690290831,-0.0559216240736513,-0.146645592231864,-0.0612642694975891,-0.153928146834103,0.0943256463497366,-0.0610434546505729,-0.0649400745989831,-0.0338751376895461,-0.105026563240272,-0.0684930931430353,0.0262113189222485,-0.0883797181038788,-0.109268989834177
25,-0.266533784771318,-0.0342543001763089,-0.0718512093617517,-0.174275362116907,0.0134100909321331,-0.0456584797426782,-0.373866543451067,0.024299390459796,-0.0525460282745505,-0.0531897097514525,0.0428093124464477,-0.0679628138690429,-0.129571391574299,-0.055826612105383,-0.139521993437667,0.0931481454058323,-0.0671424243623009,-0.0666073469543611,-0.0173142104307689,-0.103182151917046,-0.090426785698001,-0.00271246847082973,-0.0967289355913055,-0.0973073232550998
26,-0.253238379984917,-0.0448501976007527,-0.0855278013060661,-0.184103966363882,-0.0124445743555357,-0.0405992372254527,-0.353555726278647,0.0299584671196971,-0.0584790225004762,-0.0422395089451486,0.0226931957778813,-0.072299220977267,-0.138043786468944,-0.0356175329612594,-0.120948400466785,0.103067487111815,-0.0706909015998212,-0.066580637763373,-0.0217644964523238,-0.0892219165369328,-0.066218236706824,0.00362672955351384,-0.093440636981062,-0.0807798807021586
27,-0.242933156919114,-0.0379741812490273,-0.0830800101228308,-0.122757282844736,-0.0178962904962202,-0.0447036722177093,-0.365528842888787,0.0436522348255829,-0.0597113408711744,-0.0067812251109225,0.0246123245381971,-0.0775045676912692,-0.141253345832656,-0.0373860650319232,-0.136360328294402,0.0886542578800814,-0.0393728320519444,-0.0726764763658994,-0.0153349541484855,-0.079671040569145,-0.0572759257934904,-0.00348593780770012,-0.0961114666328401,-0.113105313783499
28,-0.242938644020706,-0.0320717774700039,-0.0869326349770742,-0.11716019507714,-0.0107220691691864,-0.0429504105837292,-0.367264951818984,0.0342238349614288,-0.0701518031843713,-0.0128919307173323,0.0156394967909208,-0.0774515943952756,-0.146611835341056,-0.0400317265234431,-0.116436725006803,0.0784783561622452,-0.0386519848434657,-0.0720327950597375,-0.0198292539356018,-0.0757342740663007,-0.0631684239121729,-0.00723254664182937,-0.0929378540849082,-0.124550226961048
29,-0.248417250126504,-0.024386258109379,-0.085498270564073,-0.125624731304244,-0.0185853834040119,-0.0503836625603772,-0.364263679813675,0.0106066265337149,-0.0741462784432748,0.00315779572535546,0.0144902479157256,-0.0876479081970254,-0.150465826983501,-0.0461853139723655,-0.0890770848279399,0.0727174605468298,-0.0383739671758325,-0.0825975283491445,-0.0212632903846065,-0.0811180210086793,-0.0420090999199494,-0.0113491101564982,-0.106502222674141,-0.0948244539930271
30,-0.255403575766873,-0.0174221909499181,-0.0959883929321315,-0.132849160395628,-0.0268949898514907,-0.0575601359036013,-0.374004088446838,0.0143192110909949,-0.0694119935896602,0.00475248518255167,0.0196356461387523,-0.102806556310872,-0.158011854478182,-0.0333897573983493,-0.086354065957596,0.0666744928959564,-0.047301403177429,-0.0905665294082352,-0.0292073510596724,-0.0774941057865876,-0.0292548065463986,-0.01694499892783,-0.112118290254034,-0.0233935409291347
31,-0.248586884110996,-0.0177322828756901,-0.100546017909025,-0.121160467302812,-0.0369501241713301,-0.0651493849205023,-0.348341998244487,0.00580890671555689,-0.0654218623809624,0.0037947810942538,0.0201888322384227,-0.107945189369072,-0.161927827602402,-0.0329503705809214,-0.0748425215277593,0.0574940857550199,-0.0539479012819301,-0.0924968725499272,-0.0181143150903181,-0.0645120991239103,-0.0135182833810892,-0.0440943467584137,-0.0998518635159723,-0.00774619241217767
32,-0.263765816980095,-0.0195550818749519,-0.114909316756915,-0.121986199181947,-0.039266926762948,-0.0678943141988345,-0.314930574313385,-0.0156883244413585,-0.0696698965456561,0.00193081630634651,0.011775566829659,-0.112792050807766,-0.161628839308521,-0.0297390060657325,-0.0759855033243449,0.0555428694707396,-0.049589271905059,-0.0983099906992226,-0.0298783512244887,-0.0742165736488658,-0.0146184656467411,-0.0442602447175335,-0.0767077249049316,0.0108931065046746
33,-0.26872361704422,-0.0160563980978767,-0.171101085751092,-0.120849592291562,-0.0525837307200415,-0.0767883833620825,-0.31737326284409,-0.016868568512812,-0.0716623099895796,0.000277581917006664,0.00686255318310347,-0.119842571161099,-0.170406815716864,-0.0485761213431177,-0.0687126885623039,0.0537754515910209,-0.040523072340456,-0.107282217744562,-0.0280151816764582,-0.0790874712953994,-0.0174626134066606,-0.0337640763391387,-0.0851453985773731,0.0212979503166456
