SparsityPercent,Animal_01,Animal_02,Animal_03,Animal_04,Animal_05,Animal_06,Animal_07,Animal_08,Animal_09,Animal_10,Animal_11,Animal_12,Animal_13,Animal_14,Animal_15,Animal_16,Animal_17,Animal_18,Animal_19,Animal_20,Animal_21,Animal_22,Animal_23,Animal_24
10,-0.0403798543848355,0.0876311632685376,-0.0352765427058966,0.0825064926708448,-0.206043231021953,0.0696347443396279,0.0299496260842848,0.147989837884507,-0.210736661644288,0.014252982730745,0.331100877473528,-0.0133401320366945,-0.126218757036803,-0.206895031001697,-0.080107608378134,-0.0886353797641763,-0.036563383140493,-0.0145280252717567,0.0970618202494649,0.0778040007063479,0.0406837954622845,0.300178636355431,-0.0780089969717006,0.0458929745990143
11,0.0358645020508546,0.014520993585342,0.00724934584869019,0.0570028759223369,-0.163580988085814,0.0681297024231131,0.050946930673785,0.0951289449319822,-0.193004711761059,0.0220717788593683,0.366683640941428,0.0139018984132102,-0.119021484016087,-0.20223231077762,-0.0749556888973525,-0.0497557726877842,-0.0385015426634749,-0.0517265866535611,0.0750500278026789,0.0276557545863859,-0.00761253062527545,0.131903023126348,-0.0842646414083422,0.0722270449435958
12,0.050967223287538,0.0402497916557655,0.00633112601357955,0.0966110027638869,-0.168443096513102,0.00204630399961403,0.0610018550672591,0.104891621114141,-0.221348267757803,0.0268783808308601,0.266268115651649,0.0326801300543395,-0.0850399426351692,-0.144116225747496,-0.0779240948017084,-0.100620905419961,-0.0410620232410115,-0.0675384549893264,0.0243621293994982,0.022654250042579,0.00655816855763081,0.150543147465664,-0.119983595578541,0.0697079915554573
13,0.0438111620159698,0.0719731881965717,0.0467848274412377,0.171580072106172,-0.0841929832550481,-0.0118564173394962,0.0438942901337771,0.123855469407535,-0.206425456024644,0.0159646487796781,0.192031481830597,0.0414981923777604,-0.11076401210764,-0.130834848277098,-0.057330090594935,-0.129065914109097,-0.0718360762830896,-0.0469011879900512,-0.0218364847413657,-0.0203120501295216,0.0522521306466108,0.151300075168298,-0.0813191562832259,0.0507697564000096
14,0.0445307631572011,0.0483776150222232,0.0549579289899186,0.219480258701958,-0.0138823550472517,-0.0081943788321942,0.0735071681123336,0.134145226202658,-0.279013034206471,0.0152169416744934,0.19897675241266,0.00544799699075149,-0.106410188235742,-0.113606626943903,-0.015067389082085,-0.130658935311865,-0.122551978942384,-0.0657687002125293,-0.0793940555961909,-0.038216342012783,0.0346520230953283,0.131404178742599,-0.149911028507596,0.064369878060447
15,0.0240286539462696,0.035386538934009,0.0344990488629067,0.232713437724171,0.0384100884696215,0.0172667847199435,0.090579842941641,0.154304441448514,-0.319714310705373,-0.00125649078473566,0.203141365461692,0.00739945844774847,-0.050080717759624,-0.105794980386744,-0.017768931554856,-0.150778943525708,-0.13884440200674,-0.0490873817649708,-0.116369641791576,0.0186644885035917,0.042252678151674,0.158097989092949,-0.147519201919237,0.0673910932371443
16,0.0508895553393415,0.0383284499435441,0.0349469134905475,0.209008540600023,0.0624297478219363,0.0184451436260273,0.116248173421262,0.166749664433311,-0.329143606570094,0.0141845620476025,0.197820282122692,0.0137787565980227,-0.0604901352690019,-0.103176831208428,0.00197560012100506,-0.153193498155879,-0.144698715407053,-0.0240019291352083,-0.0625394540504169,0.0610382568587592,0.0787739247150731,0.117887524010646,-0.129064912020142,0.0476295038346487
17,0.0399189970326093,0.0196658317243777,0.0593016988434298,0.210639355058925,0.0521058186283273,0.035176663171735,0.137068045326643,0.192687415068696,-0.325943564001705,0.0148072789693549,0.19960852735228,0.00292742789103051,-0.0558148038898518,-0.107367734093205,-0.0242190607740126,-0.116165848547716,-0.171679736270049,-0.0208563934978891,-0.0480925856659764,0.0877336364644802,0.0595719298626021,0.117551674592288,-0.186887308036056,0.018017367912033
18,0.0464513077053452,0.00306105897099429,0.0561146502324479,0.181009672571256,0.039084217320018,0.0244239310267765,0.112071377783332,0.195858512054785,-0.34582745630215,0.026856844049747,0.0241409666711317,0.0265923280640361,-0.0329292203877065,-0.102040549035311,-0.00803638794742767,-0.113471822242656,-0.195183782165593,0.0181205142123168,-0.0652796289380274,0.0546826412336404,0.0833710695163631,0.118968979027838,-0.15500758533152,0.0397160484056072
19,0.0140303033853103,0.0207299960006866,0.0249221003919236,0.173496049685728,0.0595686040375848,0.00350877239962033,0.129667635709159,0.199549155183977,-0.335529872683709,0.0234373216222685,-0.00246251993221958,-0.0229320175051224,-0.0514233719052052,-0.0883288412748662,-0.00960641000448004,-0.127867481246163,-0.0887248403635128,0.00201505533405455,-0.107939309371003,0.0417693150162894,0.085949446233559,0.0962151224401552,-0.156538072722275,0.0225268112263951
20,-0.000480610635418488,0.0342407363242694,0.0337951695043321,0.0964470620829064,0.0719210297821772,0.0125705357039876,0.147318507509167,0.208416765259289,-0.359397747281301,0.00981436210030528,-0.00426256223068366,-0.0221093266967747,-0.0687813060413917,-0.0698274535874179,0.0129359911134472,-0.124086494777018,-0.0469796228427116,-0.00139961389002186,-0.122208271973942,0.0236142632193008,0.0852116609589741,0.097712127163148,-0.112371251647163,0.0175298708563328
21,-0.0223238300131993,0.0458111101595263,0.0465179066419941,0.0870496534194678,0.0815025907297727,-0.007403265786741,0.123785916494351,0.217770092823469,-0.361982578433048,-0.00242488657603579,-0.0114638621225923,-0.0238008711833811,-0.0551651364410894,-0.0862280664679592,-0.0175340901500969,-0.140492235641899,-0.0439325143739765,-0.00541325080717892,-0.0811115318799578,0.0213676402011866,0.0615151328278249,0.0866231229986311,-0.124246449840555,0.00146576605975524
22,-0.0290617760144185,0.0537745156504641,0.018427647101837,0.0854625064365576,0.100416020264237,-0.0060606025766039,0.122862428643373,0.2196458823926,-0.377738488504595,-0.00324660515109698,0.00808189894540279,0.0141709611572256,-0.0586566225552545,-0.0630394922372042,0.00125361706520288,-0.115889926323002,-0.0582938927102801,-0.0031245239406098,-0.0611591064377397,0.0213440764446489,0.051319235616569,0.0769505796953542,-0.13024298504475,0.00940106427129983
