SparsityPercent,PermutationP_Conditioning_PRE_vs_TEST,PermutationP_Delta_Conditioning_vs_Control,PearsonR_DeltaConditioning_vs_Rank,PearsonP_DeltaConditioning_vs_Rank
10,0.6673,0.6113,0.388962118854116,0.0603069894071525
11,0.5546,0.6407,0.326581063921132,0.119336216880793
12,0.2369,0.4141,0.388219014260043,0.0608419623952492
13,0.0497,0.103,0.345833852365575,0.0978594081207608
14,0.0013,0.0257,0.21322681078607,0.317119113944702
15,0.0004,0.0161,0.223574880326365,0.293632738946214
16,0.0008,0.015,0.268798621816455,0.204059225723576
17,0.0007,0.017,0.28496014446488,0.17712174393675
18,0.0007,0.0259,0.294647179834711,0.162212580749523
19,0.0001,0.0156,0.318016322868354,0.129920057020556
20,0.0004,0.0207,0.317823560654959,0.130165801443598
21,0.0001,0.0322,0.264559109722817,0.211560649815701
22,0.0013,0.0348,0.278838851947563,0.187017780762035
23,0.0006,0.0223,0.301152905558528,0.152708102703197
24,0.0002,0.0098,0.285744546983819,0.17588038113701
25,0.0002,0.0076,0.295990129494583,0.160217446472955
26,0.0001,0.019,0.277468770913813,0.189283689599147
27,0,0.02,0.261739013791393,0.216651910215374
28,0,0.0121,0.265843386310841,0.20926895413137
29,0.0002,0.0105,0.26680658994913,0.207561200459682
30,0,0.0119,0.298432023179437,0.156633991020455
31,0,0.0157,0.296568622298455,0.159363353996708
32,0,0.0175,0.317704841139288,0.130317318718376
33,0,0.0074,0.345219021340667,0.098497403253694
34,0,0.0094,0.361330706983849,0.0827726230786834
35,0,0.0114,0.378943301455608,0.0678314851559154
36,0,0.009,0.383622144886158,0.0642329662422037
37,0,0.013,0.388279059709179,0.0607985994812421
38,0,0.019,0.387158960938507,0.0616114272890022
39,0.0001,0.0244,0.391150927122557,0.0587522746330782
40,0.0002,0.0238,0.374788284643015,0.0711545373590432
41,0.0001,0.0232,0.424490522024715,0.0386876422223772
42,0.0003,0.0346,0.4192043951005,0.0414440635589189
43,0,0.0262,0.42623511488141,0.0378104242604306
44,0.0001,0.0329,0.42299446675265,0.0394526201417724
45,0,0.032,0.405368724280748,0.0493933246725158
46,0.0001,0.0304,0.423843158760913,0.0390172078636349
47,0,0.0232,0.388238060330072,0.0608282053510201
48,0,0.0249,0.382624024415977,0.0649880502361399
49,0.0001,0.0239,0.343744291414084,0.100040272072559
50,0.0001,0.014,0.374733753670274,0.0711989589121489
