Comparison,Permutation_P,ObservedDifference,EffectSize,NumberOfPermutations,RandomSeed
Conditioning_PRE_vs_TEST,9.99900009999e-05,-1.61582155049981,-0.311402366427123,10000,1234
Control_PRE_vs_TEST,9.99900009999e-05,-0.37294269940141,-0.078902902717076,10000,1234
Delta_Conditioning_vs_Control,9.99900009999e-05,1.24287885109837,0.256982801853464,10000,1234
