Pre_Conditioning,Test_Conditioning,Pre_Control,Test_Control,Delta_Conditioning,Delta_Control
14.3377518662818,19.1404141960046,13.0757585585386,8.86147671786757,4.80266232972279,-4.21428184067102
7.90165039638724,17.427776659563,12.9427210552032,11.8601368454814,9.52612626317581,-1.08258420972184
7.26943080650003,2.95935861580849,8.36920435168417,13.7790448823797,-4.31007219069154,5.40984053069556
14.1601122133722,3.42968605414218,8.98057335631617,8.42254599209683,-10.7304261592301,-0.558027364219338
15.9006849496933,19.178905639459,13.9588629295837,16.3801527851304,3.27822068976573,2.42128985554662
14.1324719133973,17.7360114476575,9.93255816960941,11.7198124414766,3.60353953426028,1.7872542718672
16.0708179854839,22.5850230777445,13.4243133344019,11.2941136589731,6.5142050922606,-2.13019967542878
14.1843927634286,19.7097911827455,11.4967655149414,12.3493627670977,5.52539841931691,0.852597252156324
8.88265428878708,8.81935374880877,14.2601129578717,12.3495227607974,-0.0633005399783091,-1.91059019707431
9.78204549679173,3.94788772401134,7.85868417965602,11.1908191163522,-5.83415777278038,3.33213493669622
6.06853889673034,6.98788745414215,9.03089788320147,7.52948324993473,0.919348557411809,-1.50141463326674
14.2272833675066,17.3857005832655,13.8203485238529,12.493681053994,3.1584172157589,-1.3266674698589
15.0812352264539,20.6207220153583,15.0257818826331,14.0866132365293,5.53948678890444,-0.939168646103857
14.2201322478571,22.2053762743215,13.4840161943581,8.01469335894278,7.98524402646439,-5.46932283541537
13.1219580189521,19.2036137992385,12.078139895219,14.9593423871205,6.08165578028644,2.88120249190147
12.6303071322402,19.927534524525,18.2852651999803,12.854264762739,7.29722739228478,-5.43100043724129
7.84438899087791,4.50403371094002,8.71732977502076,12.2088863895176,-3.34035527993789,3.49155661449683
10.2239422170656,15.0886051308522,7.51169236100224,8.83098087151773,4.86466291378657,1.31928851051549
12.6804933561003,20.428687158643,16.8314841206396,10.0281238365902,7.74819380254264,-6.80336028404941
6.83766223988034,4.61285308885263,6.84745687271975,7.65270028328761,-2.22480915102771,0.805243410567865
9.04145962296923,12.0127477884377,6.0235946405775,8.00363691430145,2.97128816546845,1.98004227372395
8.29592222995018,8.28524654912509,6.63814600103684,5.97902190238582,-0.0106756808250914,-0.659124098651029
10.777191028983,13.1197428049389,8.86672246752888,9.33889723859921,2.3425517759559,0.472174771070328
14.3727210955647,7.12322911394864,13.6681347167343,7.79579194740454,-7.24949198161604,-5.87234276932976
18.116572665515,20.0864167265083,7.47553507702354,8.85702790291199,1.96984406099333,1.38149282588846
11.483505238647,21.6962725882348,16.2001695089766,13.1560828365419,10.2127673495878,-3.04408667243471
5.62814121488864,5.29404787713834,9.78693629303192,9.98178458730478,-0.334093337750305,0.194848294272864
9.82851383707212,6.61489274048359,10.4226586352855,13.6997355500247,-3.21362109658853,3.27707691473925
7.52145692766594,7.74899016675586,3.52442542852787,8.00934237531258,0.227533239089918,4.48491694678472
9.20602237407913,8.89247330510985,7.10113288492432,10.9707667202933,-0.313549068969275,3.86963383536902
5.89854166595604,10.8705228477443,5.91437083062287,5.55971084393721,4.97198118178827,-0.354659986685662
8.84167268358096,4.60330829082526,15.7473269172522,10.7404306971639,-4.2383643927557,-5.00689622008833
6.35684946903779,4.86397299435034,11.1003414297075,7.24841546062547,-1.49287647468745,-3.85192596908208
8.47965749285361,6.07294133031406,8.320640427033,10.1764882842162,-2.40671616253955,1.85584785718325
12.5956676733696,15.5032558852448,9.49635481960644,9.00276446435054,2.90758821187526,-0.493590355255906
5.36197335250556,7.54113178530687,15.3590403086365,12.3679184098117,2.17915843280131,-2.99112189882483
12.1369215929064,19.1873573899785,8.75603906815468,6.85227181869428,7.0504357970721,-1.9037672494604
16.1022273675562,20.4278687449756,12.3202471796905,14.0423391251134,4.32564137741944,1.72209194542286
9.15149298306924,19.2836487129182,13.9062511430372,5.16523038061764,10.1321557298489,-8.74102076241959
