Subject,ID,Examn,Study
ZI_M230907F,3222,TurboRARE_T2_axi,2
ZI_M230907F,3222,Localizer,1
ZI_M230907E,3228,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230907E,3228,Localizer,9
ZI_M230907E,3228,Fieldmap_2,8
ZI_M230907E,3228,EPI_FID_1.1_22Slc,7
ZI_M230907E,3228,EPI_FID_1.1_22Slc_test,6
ZI_M230907E,3228,Fieldmap_1,5
ZI_M230907E,3228,TurboRARE3D_Awake,4
ZI_M230907E,3228,TurboRARE_T2_sag,3
ZI_M230907E,3228,TurboRARE_T2_axi,2
ZI_M230907D,3227,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230907D,3227,Localizer,9
ZI_M230907D,3227,Fieldmap_2,8
ZI_M230907D,3227,EPI_FID_1.1_22Slc,7
ZI_M230907D,3227,EPI_FID_1.1_22Slc_test,6
ZI_M230907D,3227,Fieldmap_1,5
ZI_M230907D,3227,TurboRARE3D_Awake,4
ZI_M230907D,3227,TurboRARE_T2_sag,3
ZI_M230907D,3227,TurboRARE_T2_axi,2
ZI_M230907D,3227,Localizer,1
ZI_M230907C,3223,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230907C,3223,Localizer,9
ZI_M230907C,3223,Fieldmap_2,8
ZI_M230907C,3223,EPI_FID_1.1_22Slc,7
ZI_M230907C,3223,EPI_FID_1.1_22Slc_test,6
ZI_M230907C,3223,Fieldmap_1,5
ZI_M230907C,3223,TurboRARE3D_Awake,4
ZI_M230907C,3223,TurboRARE_T2_sag,3
ZI_M230907C,3223,TurboRARE_T2_axi,2
ZI_M230907C,3223,Localizer,1
ZI_M230907B,3220,B0Map-ADJ_B0MAP_mouse_flix,11
ZI_M230907B,3220,Localizer,10
ZI_M230907B,3220,Localizer,9
ZI_M230907B,3220,Fieldmap_2,8
ZI_M230907B,3220,EPI_FID_1.1_22Slc,7
ZI_M230907B,3220,EPI_FID_1.1_22Slc_test,6
ZI_M230907B,3220,Fieldmap_1,5
ZI_M230907B,3220,TurboRARE3D_Awake,4
ZI_M230907B,3220,TurboRARE_T2_sag,3
ZI_M230907B,3220,TurboRARE_T2_axi,2
ZI_M230907A,3224,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230907A,3224,Localizer,9
ZI_M230907A,3224,Fieldmap_2,8
ZI_M230907A,3224,EPI_FID_1.1_22Slc,7
ZI_M230907A,3224,EPI_FID_1.1_22Slc_test,6
ZI_M230907A,3224,Fieldmap_1,5
ZI_M230907A,3224,TurboRARE3D_Awake,4
ZI_M230907A,3224,TurboRARE_T2_sag,3
ZI_M230907A,3224,TurboRARE_T2_axi,2
ZI_M230907A,3224,Localizer,1
ZI_M230906H,3209,Fieldmap_3,13
ZI_M230906H,3209,B0Map-ADJ_B0MAP_mouse_flix,12
ZI_M230906H,3209,B0Map-ADJ_B0MAP_mouse_flix,11
ZI_M230906H,3209,Localizer,10
ZI_M230906H,3209,Localizer,9
ZI_M230906H,3209,Fieldmap_2,8
ZI_M230906H,3209,EPI_FID_1.1_22Slc,7
ZI_M230906H,3209,EPI_FID_1.1_22Slc_test,6
ZI_M230906H,3209,Fieldmap_1,5
ZI_M230906H,3209,TurboRARE3D_Awake,4
ZI_M230906H,3209,TurboRARE_T2_sag,3
ZI_M230906H,3209,TurboRARE_T2_axi,2
ZI_M230906H,3209,Localizer,1
ZI_M230906G,3207,B0Map-ADJ_B0MAP_mouse_flix,9
ZI_M230906G,3207,Fieldmap_2,8
ZI_M230906G,3207,EPI_FID_1.1_22Slc,7
ZI_M230906G,3207,EPI_FID_1.1_22Slc_test,6
ZI_M230906G,3207,Fieldmap_1,5
ZI_M230906G,3207,TurboRARE3D_Awake,4
ZI_M230906G,3207,TurboRARE_T2_sag,3
ZI_M230906G,3207,TurboRARE_T2_axi,2
ZI_M230906G,3207,Localizer,1
ZI_M230906F,3208,B0Map-ADJ_B0MAP_mouse_flix,9
ZI_M230906F,3208,Fieldmap_2,8
ZI_M230906F,3208,EPI_FID_1.1_22Slc,7
ZI_M230906F,3208,EPI_FID_1.1_22Slc_test,6
ZI_M230906F,3208,Fieldmap_1,5
ZI_M230906F,3208,TurboRARE3D_Awake,4
ZI_M230906F,3208,TurboRARE_T2_sag,3
ZI_M230906F,3208,TurboRARE_T2_axi,2
ZI_M230906F,3208,Localizer,1
ZI_M230906E,3210,TurboRARE3D_Awake,10
ZI_M230906E,3210,B0Map-ADJ_B0MAP_mouse_flix,9
ZI_M230906E,3210,Fieldmap_2,8
ZI_M230906E,3210,EPI_FID_1.1_22Slc,7
ZI_M230906E,3210,EPI_FID_1.1_22Slc_test,6
ZI_M230906E,3210,Fieldmap_1,5
ZI_M230906E,3210,TurboRARE_T2_sag,3
ZI_M230906E,3210,TurboRARE_T2_axi,2
ZI_M230906E,3210,Localizer,1
ZI_M230906D,3206,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230906D,3206,Localizer,9
ZI_M230906D,3206,Fieldmap_2,8
ZI_M230906D,3206,EPI_FID_1.1_22Slc,7
ZI_M230906D,3206,EPI_FID_1.1_22Slc_test,6
ZI_M230906D,3206,Fieldmap_1,5
ZI_M230906D,3206,TurboRARE3D_Awake,4
ZI_M230906D,3206,TurboRARE_T2_sag,3
ZI_M230906D,3206,TurboRARE_T2_axi,2
ZI_M230906D,3206,Localizer,1
ZI_M230906C,3205,EPI_FID_1.1_22Slc,11
ZI_M230906C,3205,B0Map-ADJ_B0MAP_mouse_flix,10
ZI_M230906C,3205,Localizer,9
ZI_M230906C,3205,Fieldmap_2,8
ZI_M230906C,3205,ABORTED,7
ZI_M230906C,3205,EPI_FID_1.1_22Slc_test,6
ZI_M230906C,3205,Fieldmap_1,5
ZI_M230906C,3205,TurboRARE3D_Awake,4
ZI_M230906C,3205,TurboRARE_T2_sag,3
ZI_M230906C,3205,TurboRARE_T2_axi,2
ZI_M230906C,3205,Localizer,1
ZI_M230906B,3213,B0Map-ADJ_B0MAP_mouse_flix,11
ZI_M230906B,3213,Localizer,10
ZI_M230906B,3213,Localizer,9
ZI_M230906B,3213,Fieldmap_2,8
ZI_M230906B,3213,EPI_FID_1.1_22Slc,7
ZI_M230906B,3213,EPI_FID_1.1_22Slc_test,6
ZI_M230906B,3213,Fieldmap_1,5
ZI_M230906B,3213,TurboRARE3D_Awake,4
ZI_M230906B,3213,TurboRARE_T2_sag,3
ZI_M230906B,3213,TurboRARE_T2_axi,2
ZI_M230906B,3213,Localizer,1
ZI_M230906A,3216,ABORTED,13
ZI_M230906A,3216,EPI_FID_1.1_22Slc,12
ZI_M230906A,3216,B0Map-ADJ_B0MAP_mouse_flix,11
