Pre_Conditioning,Test_Conditioning,Pre_Control,Test_Control,Delta_Conditioning,Delta_Control
0.684894137336046,0.532673267065358,0.704099474115402,0.710179775786134,-0.152220870270688,0.00608030167073159
0.713047056846794,0.709828172199887,0.637878428249536,0.729773787232013,-0.00321888464690712,0.0918953589824768
0.652161246251827,0.360822652944607,0.693092186867408,0.722617433441218,-0.291338593307219,0.0295252465738098
0.700445721962296,0.598499310546407,0.676019208119874,0.710754497254829,-0.101946411415888,0.0347352891349543
0.724009354814936,0.62656973784195,0.555599872228793,0.651814193837558,-0.0974396169729853,0.0962143216087649
0.686660693216847,0.588241258831109,0.732412301355124,0.698953634328403,-0.0984194343857373,-0.0334586670267205
0.607727962168228,0.480847736382659,0.661248279250487,0.741333378488894,-0.12688022578557,0.0800850992384068
0.682462120785913,0.613813494981747,0.491809615608372,0.71906111393025,-0.0686486258041654,0.227251498321878
0.700114680863171,0.626215548457024,0.696498634526515,0.494651522493107,-0.0738991324061464,-0.201847112033408
0.645318054113175,0.622890707370468,0.68018341616322,0.693382013128487,-0.0224273467427071,0.0131985969652669
0.640338547892417,0.640021858623984,0.692002503328985,0.701998787614229,-0.000316689268433312,0.00999628428524357
0.746514305495357,0.593460623551911,0.69661804373531,0.698828606858727,-0.153053681943446,0.0022105631234175
0.702725907394957,0.537073872450569,0.733981211656924,0.529364929315955,-0.165652034944388,-0.204616282340969
0.669768181030952,0.653507058225135,0.709345198779172,0.682267509673206,-0.0162611228058172,-0.0270776891059656
0.68215670718398,0.650953688742029,0.761372123884578,0.702226982099238,-0.0312030184419513,-0.0591451417853395
0.635270954287022,0.696642430928677,0.704220479078421,0.614136059792253,0.0613714766416558,-0.0900844192861682
0.725967912543888,0.683406517309694,0.676173029996074,0.573132928488288,-0.0425613952341943,-0.103040101507786
0.716181470546025,0.482960856490857,0.688278295031289,0.733475781663245,-0.233220614055167,0.0451974866319561
0.710725076873208,0.663071892760121,0.64543386329331,0.591216206408673,-0.0476531841130869,-0.0542176568846366
0.713436379355277,0.657538901286136,0.724224666754413,0.701693985805572,-0.0558974780691408,-0.0225306809488411
0.587462339253307,0.548376366534343,0.659855104009004,0.671351070561829,-0.039085972718965,0.0114959665528249
0.653865148498225,0.610032430652132,0.672621402724114,0.685654956627518,-0.0438327178460926,0.0130335539034042
0.710078913613744,0.589332786428787,0.63369824764621,0.409568507606337,-0.120746127184957,-0.224129740039872
0.443103178000964,0.512194796376219,0.689302755264904,0.708570935596725,0.0690916183752546,0.0192681803318205
