Comparison,Parametric_P,Permutation_P_Raw,Permutation_FDR_Q,FDR_Significant,NumberOfPermutations,RandomSeed
Conditioning_PRE_vs_TEST,0.000152624121921635,0.0001,0.0001,1,10000,1234
Delta_Conditioning_vs_Control,0.0229733547897773,0.0225,0.03375,1,10000,1234
