animal_ID,block,block_label,lid
1,1,PRE,29273.5095870597
1,2,PAIRING,26241.9466621592
1,3,TEST,27734.5127358535
1,4,ADDITIONAL TEST,32978.7938633579
2,1,PRE,32570.5194702164
2,2,PAIRING,29401.5822931074
2,3,TEST,28694.508314381
2,4,ADDITIONAL TEST,31569.8504553529
3,1,PRE,28085.4644922472
3,2,PAIRING,22914.6620931742
3,3,TEST,32616.4948363886
3,4,ADDITIONAL TEST,30133.7661043187
4,1,PRE,27079.4551085752
4,2,PAIRING,20427.5423864958
4,3,TEST,26467.0550714662
4,4,ADDITIONAL TEST,27570.6779905261
5,1,PRE,24474.5604878484
5,2,PAIRING,19939.365798949
5,3,TEST,21289.1014005316
5,4,ADDITIONAL TEST,22699.7219848819
6,1,PRE,25264.3540835544
6,2,PAIRING,22304.1883575694
6,3,TEST,20188.4091365648
6,4,ADDITIONAL TEST,27344.5330783144
7,1,PRE,38990.6013673605
7,2,PAIRING,24972.8879572401
7,3,TEST,32024.7182659707
7,4,ADDITIONAL TEST,37187.2448571745
8,1,PRE,30409.2799726281
8,2,PAIRING,22999.3049430737
8,3,TEST,25822.1262320673
8,4,ADDITIONAL TEST,32924.0867093618
9,1,PRE,40640.6103616522
9,2,PAIRING,30726.959294957
9,3,TEST,32627.3585733862
9,4,ADDITIONAL TEST,36965.1604727465
