animal_ID,PRE,PAIRING,TEST,ADDITIONAL_TEST
1,29273.5095870597,26241.9466621592,27734.5127358535,32978.7938633579
2,32570.5194702164,29401.5822931074,28694.508314381,31569.8504553529
3,28085.4644922472,22914.6620931742,32616.4948363886,30133.7661043187
4,27079.4551085752,20427.5423864958,26467.0550714662,27570.6779905261
5,24474.5604878484,19939.365798949,21289.1014005316,22699.7219848819
6,25264.3540835544,22304.1883575694,20188.4091365648,27344.5330783144
7,38990.6013673605,24972.8879572401,32024.7182659707,37187.2448571745
8,30409.2799726281,22999.3049430737,25822.1262320673,32924.0867093618
9,40640.6103616522,30726.959294957,32627.3585733862,36965.1604727465
