animal_ID,PRE,TEST_81_100,TEST_101_120,TEST_121_140,TEST_141_160
1,29273.5095870597,25649.1809706928,29809.145919919,32733.0832011324,33225.6595757051
2,32570.5194702164,30398.6053830995,26988.2105176357,31924.4618861593,31215.8400608698
3,28085.4644922472,32940.6365653741,32291.3945133587,29569.1913529579,30699.2989799924
4,27079.4551085752,24475.7849736255,28515.7656528985,31000.548218361,24241.2581216559
5,24474.5604878484,20185.1131756414,22412.3228697578,19921.8571630474,25353.8087683827
6,25264.3540835544,20633.8848054916,19741.9904624115,24932.0741101882,29781.8414092024
7,38990.6013673605,29143.5150425849,34910.8424171506,37813.1037231198,36561.3859912291
8,30409.2799726281,25704.8719144987,25937.9738997251,30014.6409810407,35791.5098570698
9,40640.6103616522,34471.1910670706,30719.4070718964,38019.1995642149,35888.1650155232
